manual_headline,claude_headline,gemini_headline,openai_headline
NO_HEADLINE,"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds.","City to apply for $250,000 state grant for Emerald View Trail rehabilitation.",Council approves grant application and city funding for Emerald View Trail rehabilitation project
NO_HEADLINE,Council passes ordinance clarifying rules for posting residential parking permit signs.,New ordinance clarifies which streets and at what times residential parking permits will be enforced.,Council approves clearer rules for residential parking permit signage
NO_HEADLINE,Council expands residential permit parking program to more South Side Flats streets.,More streets in the South Side Flats added to residential permit parking zone.,Council approves expansion of Residential Permit Parking Area KK in South Side Flats
NO_HEADLINE,Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.,Council approves sewer connection for new Walnut McKee Apartments.,City Council approves sewage plan revision for 296 McKee Place at no cost to the City
NO_HEADLINE,Council approves sewage plan revision for South Side townhome development at no cost to the City.,Council approves sewer plan for new Josephine Street Townhomes.,City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City
NO_HEADLINE,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties.",City grants ALCOSAN underground land access for a major sewer project.,"City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200"
NO_HEADLINE,"Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call.",Council schedules hearing on aging public safety vehicles.,"Council schedules special meeting to address EMS, fire, and police fleet issues"
'Tiny Lots' Approved After Spirited Debate,Council holds public hearing on bill to reduce minimum lot sizes for residential development.,Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts
NO_HEADLINE,"Council holds resolution to sell city-owned property on Itin Street for $3,755.",Council holds proposed sale of Itin Street property for one week.,City Council holds resolution for sale of 23rd Ward property for one week
NO_HEADLINE,"Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks.","$33,292 transfer for council staff tuition reimbursement is held for six weeks.","City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks"
"$40,000 Contract with Law Firm for “Immigration Matters” Authorized","Council approves $40,000 contract with law firm for immigration legal services.","City approves $40,000 contract for immigration legal services.","Council approves $40,000 contract for immigration legal services with Fragomen firm"
NO_HEADLINE,Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.,Legislation to increase paid sick days for workers advances to a public hearing.,Council holds Bill 1736 on paid sick leave accrual rates for public hearing
NO_HEADLINE,Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.,Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city
NO_HEADLINE,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,Six new bus shelters will be built in Hazelwood at no cost to the city.,City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city
NO_HEADLINE,Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City
NO_HEADLINE,Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.,The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.,Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street
