manual_headline,claude_headline,gemini_headline,openai_headline
NO_HEADLINE,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,Council approves a public hearing to gather resident ideas on the city's trash problem.,Council approves public hearing to address citywide trash problem
Council Reopens Discussion of the Process to Purchase City Property After a Rescinded Sale,"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",Council committee recommends canceling a property sale and refunding the buyer's hand money.,Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property
NO_HEADLINE,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases
Untested Sexual Assault Kits to Be Processed,"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.","City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.","Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms"
NO_HEADLINE,"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.,"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds"
NO_HEADLINE,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,Council holds resolution on waste operations agreement with University of Pittsburgh for one week
NO_HEADLINE,Council committee approves changes to residential parking permit signage rules.,A city committee recommends allowing residential parking permit signs in some non-residential areas.,Council approves ordinance clarifying residential parking permit signage rules
NO_HEADLINE,Council approves expansion of residential permit parking program in South Side Flats.,Council approves expanding the residential permit parking area in the South Side Flats.,Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats
Proposed July 2024 Contract for Shelter Services Held Another Five Weeks,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.,Council holds resolution to fund non-congregate shelter services with Auberle for five weeks
NO_HEADLINE,Council approves sewer plan for McKee Place apartment development after correcting zip code error.,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.,Council approves amended sewage plan revision for 296 McKee Place with corrected zip code
NO_HEADLINE,Council approves sewage plan revision for South Side townhome development at no cost to the city.,Council recommends a sewage plan update for a new townhome development on the South Side.,Council approves sewage plan revision for 215 South 21st Street development at no cost to city
NO_HEADLINE,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.","City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.","City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment"
