segment,matched_agenda_segment
"bill number 1733 resolution appointing Clarice Jordan to the Pittsburgh HIV AIDS Commission. per title one: administrative article 9: boards, commissions and authorities. chapter 179 C- establishment of Pittsburgh HIV AIDS Commission per title one: administrative. article 9: boards, commissions and authorities. chapter 179 C- establishment of Pittsburgh HIV AIDS Commission per title one: administrative article 9 boards. commission 179 C 0 2 1 and 179 C 0 2 2 of the Pittsburgh City Code of Ordinances. commission 179 C 0 2 1 and 179 C 0 2 2 of the Pittsburgh City Code of Ordinances. we need a motion to interview or approve. second: all those in favor, all those in favor of approving the motion to approve our nominees for the various commissions, please say aye, aye, aye, aye. we will now move on to two communications: bill number 1734, communication from Jake Paul act, director of the Office of Management and Budget, submitting the City Council attached status update from the grants office for the week ended April 11th 2025.",13
"and bill number 1735, communication from Felicity Williams, deputy chief of staff, submitting the equal opportunity review Commission quarterly report for the period ending March 31st 2025. we need a motion to read, receive and file. so move second: all those in favor. aye, motion passes. and now we have one piece of sponsored legislation from council president Lavelle, in bill number 1736, ordinance amending the Pittsburgh code, title 6, conduct, article 1, regulated rights and actions, chapter 626, paid sick days Act, section 6 to 6: 0, 3, accrual of sixth time so as to change the rate at which employees can impute, accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated. thank you very much.",16
that now moves us on to unfinished business.,-1
"we have two appointments: bill number two, three, two, four, nine, eighty six resolution reappointing Afton Giles as a member of the clean Pittsburgh Commission, term to expire September 1st 2028.",17
"and bill number 2025. 1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors, term to expire December 31st 2029. we need a motion to approve. motion to approve. second, second, second discussion. all those in favor, please indicate by saying aye, motion passes. is there any other unfinished business before council?",18
"seeing none, we will now move on to reports of committees for final action.",-1
"we have the Finance and Law Committee. councilwoman Kale Smith, can you please submit my legislation for final action. thank you, thank you. council person Strassburger.",-1
presents bill number 1724. reported a Committee on Finance and Law for April 9th 2025 with an affirmative recommendation.,19
"bill 1687 resolution authorizing the issuance of a warrant in favor of the County of Allegheny in an amount not to exceed thirteen thousand six hundred and forty seven dollars over one year, in full and final settlement of a claim for damage to the glycol line sidewalk heating system, the allegheny county courthouse by domey traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 20th, december 3rd 2024. you have heard the reading and the title of the bill. is there any discussion on the bill? seeing none, the bill is now ready for final action. all in favor of the passage of the bill will vote aye when their name is called. those opposed will vote no. will the clerk please call the roll mr charlotte, aye. mr coghill- aye. ms gross: aye. mr mosley: aye. mrs kail smith. mrs warwick: aye, mr strasburger, chair: aye. seven eyes, zero nose. the bill, having received the legally required number of votes, is passed finally.",20
"council person barbara warwick. presents the committee on public works and infrastructure. thank you, madam president. director of the Office of Management and Budget to apply for a grant from the Pennsylvania Department of Economic Development's multimodal transportation fund for the Penn Avenue lighting project. the grant proposal includes an ask of four hundred sixty one thousand eight hundred and fifty six dollars for this stated purpose, to accept the grant, reduce the grant amount and authorize necessary expenditures.",22
"and bill 1690 resolution amending resolution 133 of 2024, entitled: resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the city of Pittsburgh and Paschak plus MTR, for the professional design services for the Fort Pitt Park phase one improvements at a cost not to exceed three hundred thousand dollars, by increasing the total cost by one hundred fifteen thousand one hundred and seventy dollars for a new total city cost not to exceed four hundred fifteen thousand one hundred hundred and fifty six dollars for the construction of the park phase one. cost not to exceed four hundred and seventy dollars for the construction of the park phase one. you have heard the reading in the title of the bill. is there any discussion on the bill? bills are now ready for final action. all in favor of the passage of the bill will vote aye when their name is called. those opposed will vote no. will the clerk please call the roll? mr Sharland? aye, mr Coghill. hi miss gross. mr Mosley. hi mrs Kale Smith. mrs Warwick, hi mrs Strassberger. president, aye seven, ayes, zero, noes. the bill, having received the legally required number of votes, is passed finally.",23
"now move on to councilman Kihari Mosley. committee on intergovernmental and educational affairs. Thank You, madam president.",-1
"councilman Mosley presents bill number 1726, reported a committee on intergovernmental and educational affairs for April 9th 2025, with an affirmative recommendation.",24
bill 1681 resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed fifty two thousand nine hundred sixty two dollars and twenty four cent.,25
bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utilities Commission in the amount of seventy two thousand five hundred dollars for delinquent debts owed by the city of Pittsburgh for 811 damaged prevention. calls.,26
"bill 1683 resolution appealing resolution 366 of 2019, effective June 14th 2019, authorizing the urban redevelopment authority of Pittsburgh to acquire all the city's right, title and interests, if any, and into the publicly owned property in a 15th Ward city of Pittsburgh designated in the deed registry office of Allegheny County as block 56 B, slide 56 345, council district number five, at no cost to the city.",27
"bill 1684 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and the Pittsburgh land bank for the cellar block 10 J, lots 259 and 260, fifth Ward city of Pittsburgh, Aaron Street, council district number six, at no cost to the city.",28
"bill 1685 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and Island Avenue Holdings LLC for the sale of block 21 D, lot 42 a in the 27th Ward city of Pittsburgh, Island Avenue, council district number two, at no cost to the city.",29
"bill 1686 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and the Pittsburgh land bank for the cellar block 83 a. for the cellar block 83 a, the cellar block 83 at number six i lady starring city on Pittsburgh. look unique salary fee if n ms that will lateral and will be suppliedtrade pays by by all lease to the active parent and prices lily after we e five anchors and overhead wires upon city-owned property collectively, the DLC assets to manage vegetation on a certain property in the vicinity of the DLC assets and to perform landscaping in the vicinity of the DLC assets at no cost to the city. You have heard the reading and the title of the bills. Is there any discussion on the bills? Madam President, Yes, I have an amendment that I'm hoping I see being passed around. We have it in front of us. Councilwoman, you are muted. If you're speaking, we cannot hear you. Yeah, my phone is cutting out. I apologize. This is the amendment we have in front of us. It's just a request by PWSA. It's a request by the PWSA clarifying who's responsible for landscaping at the pump house in Highland Park. So I'm going to motion to amend. Do we have a second Second? All those in favor of the amendment before us please indicate by saying aye. Aye, Bill 1723 is amended. Is there any further discussion from members? The bills are now ready. Seeing none. the bills are now ready for final action. All in favor of the passable. Aye, The passage of the bills will vote aye when their name is called. Those opposed will vote no. Will the clerk please call the roll Mr Sharland. Aye, Mr Coghill. Aye, Ms Gross. Aye, Mr Mosley. Aye, Mrs Kale-Smith. Aye, Mrs Warwick. Aye, Mrs Strasburger-President: Aye, Seven ayes, zero, noes, The bills having received the legally required number of votes are passed. finally, Any discussion.",30
"So, as the council members have said, we will now move on to the motion and resolution.",-1
We will now move on to the motion and resolution.,-1
"We will now move on to the motion and resolution. So anything from members? Yes, Council Member Warwick. Yes, Council Member Warwick. I just wanted to make a quick comment, That's OK. Yeah, So I just you know, with regard to the attack on Governor Shapiro's House and on his family over the weekend: Obviously horrific attack and terrifying. I can't imagine how stressful that is for the governor and his wife and their kids. But more than that, I just wanted to note the fact that our president referred to the attacker as just some whack job, as if this was some random situation. and it wasn't and it didn't have anything to do with the fact that this is a Jewish governor and that the attack was on the first night of Passover. to sort of wave it off as just some random situation, while at the same time, you know, actively disappearing from the picture Legal residents in the United States to foreign countries under the claim that they are terrorists, with no evidence whatsoever, totally illegal and totally unconstitutional. It's just, it's very scary, And I just wanted to mention it because I know that you know we're all here at city council, we're going about our business, we're doing you know we're going through an election, et cetera, et cetera. you know what I mean And I just wanted to mention it because I know that you know we're all here at We're going through an election, et cetera, et cetera, and everyone is doing that. right, Everyone is just going about their day and going to work and doing the things that we have to do, but people are feeling it and people and it's frightening and I just want to acknowledge that, acknowledge that that is, you know, that sentiment here in Pittsburgh and all across the country, that you know that we are aware here at City Council and that we appreciate the way that everyone is feeling, and certainly you know the way that our Jewish community members are feeling, given this attack on Sunday. So that's all from me. Thank you. Thank you, Council Member. Is there anything further from members? Yes, Council Member, Strassberger, Council. thank you, Councilman Wilson, followed by Councilwoman Kale-Smith, Thank you. If I may, I'd like to register aye votes for the votes that I missed. So noted, Thank you. Thank you, Councilwoman Kale-Smith. Thank you, Thank you. I think this is just, I might say, half a bell on this, a lot. but there's just one thing that's interesting, which is obviously participation- and having a conversation about this is really packed with- is not relying on Generally Support all the time, But we again, I guess, just for the. I'm just wondering if we can. Council Member Warren, Was there a school day that we didn't get an existing? No, not, we didn't. people help and trying to make sure that, and there's people here locally. I mean, I know that on the national level there's a lot going on and I leave that to our congresswoman. I know that she's, you know, doing what she can on that level. but on this level, in the city of Pittsburgh, there's people missing, there's people going missing. there's things that are happening in the city of Pittsburgh on a daily basis that needs addressed by this council and by this administration, because otherwise we're focusing on things we weren't elected to do. but we can do both, but our focus should be predominantly on what's happening in the city of Pittsburgh. that's what we're elected to do and for me, I really I see kids missing all the time in the city of Pittsburgh. every week there's somebody going that you see a post that somebody has gone missing and to try to find that person. and, honestly, there's a lot to be said about what's happening in the homes of these, of our kids, and I think the more we just ignore this and just act like this is normal, the the worse, it's becoming, not better, and I think that we need to address what's happening here in Pittsburgh in terms of our young people leaving homes, missing, homes going missing. there's just a lot. I mean, it's just so much. it's it's depressing, it really is. it's depressing- of what's happening, you know, and in our neighborhoods and each and every day and in our, the homes of kids across the city of Pittsburgh, and I wish we would do more partnering with, you know, DHS and CYF and others to get resources into and and and even our, our rec centers. they should have those resources available where kids are not just in schools but places where kids can get them after school hours or a place where they can reach, you know, resources more comfortably, and I just wish we would do more with that. and I know council on work and I are talking about a couple things with schools and and doing some partnerships in the evenings and other times, but I think generally across the city of Pittsburgh it needs to be done and I'm I know in Sheridan we have there's a lot of youth crime in the community in that area- 15, 16- There's a lot for kids to do and I tell people this all the time: if having something to do was Meant that there would be safety and kids would be safe, Homewood and Sheridan would be some of the safest neighborhoods because they have some of the best Resources. and Sheridan, they have the Jasmine- I read they have this Langley's supposed to be a community-based school Which is supposed to have programs available. They have the library, they have parks, They have people doing like hope for tomorrow and the boxing program at Langley. I know there's a lot of programs in homeward because I used to partner with them and different things. But the problem is is that we set an expectation That an absence is something to do, is is it's okay to commit a crime, And what we ought to be doing is setting the bar a little bit higher for our kids, expecting a lot more for them and Trying to lead them in a better direction. And I just feel like, yes, there should be some more things for people to do. and yes, I'm eager for the Stevens school building to open. You know it has not opened and I do feel like it has been intentionally not open, delayed because it's needs so much work and And there's a. I could say a lot to that and I will say a lot. the conversation continues. I'll say a lot publicly every week, But what I'll say now is there's a lot of projects delayed in our district that would help kids and would do more for kids, But that's still not the overall answer. The answer is yes, give them some things, But let's also remember that we've got to set the bar high for our kids and teach them a little better like they do. in short, to your city, where it's. there's almost nothing for the kids to do down there except for Park in a ball field, But yet it has the highest, some of the highest, homeownership in the city of Pittsburgh, low crime, the kids Succeeding and doing well, and I think it's because they set the bar so high, so I just was. it's when the community embraces everybody. I think it's it's coming together that we need to do a little bit all over the country, all over the city of Pittsburgh. Thank you, Thanks, councilwoman. anything further from members. I think I saw council person Charlene first, followed by council and Mosley. All right, Yeah, thank you. I would like to call for a motion for a.",-1
"well, I'd like to call for a motion for a public hearing on our trash situation in Pittsburgh. Just to make sure members know. after We did the will of counsel last week, My office has been blowing up with people with a lot of really good ideas For what we can do to fix our trash problem here throughout for the entire city, from all of your districts. we've kind of become a- I Don't know a- nexus of this conversation. So we'd really like to hold a public hearing. We'd like it to be in the evening as an opportunity to bring people in and hear from their ideas on what we can do to Solve this trash issue here. So I'd like to make that motion second. second: all those in favor Please say aye, aye, post extensions, motion passes. We will get that scheduled, Thank you. And one last thing: I did ask for a briefing on the CEO works Initiative that is in Homewood, how we can ask for other neighborhoods to apply. I make sure this benefits the whole city. So that, I believe, is in the process of being scheduled right now. Thank you, Councilman Mosley. Yeah, I just wanted to echo the comments of my colleagues about Unfortunate situation that happened at the governor's mansion over the weekend. I've known governor Shapiro For two decades. met him, you know, When we were much younger, when he served in the state legislature with my wife and I'm, you know, Consider him a friend. I've known his family For a long time. So my heart goes out to the governor First and foremost. but, like my colleagues said so eloquently earlier, this really underscores, You know, the unfortunate state of our current politics And it's so, very, so important that you know We can get to a point where you know We can agree without being disagreeable and work together on issues you know and come together because you know, I think, That you know it's not overreacting to start. you're being concerned about, you know, Our own safety as elected officials on every level of government. as you know, these heinous acts you know continue from, You know, what happened in Butler, PA, last summer To what happened at the governor's mansion this weekend. So I hope at some point we can get to a point where You know our public officials are not under attack And and and folks can't disagree with us and we can have robust Dialogue and debate, you know, in the true democratic spirit, without people resorting to violence. So again, you know, I, just you know- fear for the future and hope that you know these, these, this is an aberration and Not a trend. and then I also do want to wish all those who are celebrating Passover a joyous and prosperous Passover celebration as well. Thank you, councilman. anything further from members Seeing none?",32
"we have a few meeting announcements. this afternoon at 1 pm, Council will hold an executive session on bill 1728 as it relates to ongoing litigation matters. tomorrow, Wednesday, April 16th, 10 am, Council will meet for their standing committees. meeting Speaker speaker. registration will close at 9 am. Wednesday morning. to register to speak at this meeting, Please fill out the signup form on the council meeting web page by the deadline. You may also call the clerk's office at 4: 1, 2, 2, 5, 5, 2, 1, 3, 8. Can I please get a motion to excuse the absent member, Approve the minutes and adjourn the meeting. Second, all those in favor. Aye, Aye, meeting is adjourned, Hearing none who doesn't stand by? I, I, Yes, Thank you.",-1
