segment,matched_agenda_segment
"In Bill 1687 resolution authorizing the issuance of a warrant in favor of County of Allegheny in an amount not to exceed 1,300,000 thousand six hundred forty seven dollars over one year in full and final settlement of a claim for damage to the glycol line sidewalk heating system at the allegheny county courthouse by domi traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 3rd 2024. and.",13
"councilwoman warwick, chair of public works and infrastructure. thank you, mr president.",-1
"thank you, councilwoman barbara warwick presents bill 1689 resolution amending resolution number 803 of 2024, entitled resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from pennsylvania department of economic development's multimodal transportation fund for the penn avenue lighting project. the grant proposal includes an ask of 460 856 for the stated purpose to accept the grant, reduce the grant amount and authorize necessary expenditures. and.",14
"bill 1690 resolution amending resolution number one 13 s 133 of 2024, titled resolution authorizing the mayor and director of the district of and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the City of Pittsburgh and PASCHEK plus MTR for the professional design services for Fort Pitt Park Phase I improvements at a cost not to exceed 300,000 by increasing the total city cost by 115,170 for a new total city cost not to exceed 415,170 over one year. And.",15
"Councilman Wilson, Chair of Land Use and Economic Development. Thank you, Mr President.",-1
"Councilman Bobby Wilson presents Bill 1691 Resolution Transferring the Amount of 33,292 within the 2025 operating budget from City Council District's salaries and wages regular to City Council District's employees' benefits for the purpose of tuition reimbursement. And I have four, If you could first read the appointment.",16
"Councilman R Daniel Lavelle presents Bill 1692 Resolution Appointment Isabella Gross as a member of the Shade Tree Commission with a term to expire March 1st 2029. We need a motion to either interview or approve. Motion to approve: Second: All those in favor say aye, Aye. Any opposed. The appointment has been approved. And now we have three communications.",17
"Councilman R Daniel Lavelle also presents Bill 1693 communication from Jake Pollack, Director of Office of Management and Budget, submitting to City Council the attached status update from the Grants Office for the week ended March 28th 2025.",18
"And Bill 1694 communication from Jake Pollack, Director of the Office of Management and Budget, submitting a donation to the Department of Public Safety from Pittsburgh Cultural Trust for the purchase of smoke detectors to be given to city residents in the amount not to exceed 500.",19
"And Bill 1697 communication from Sushila, Executive Director of the Urban Redevelopment Authority of Pittsburgh, submitting the Affordable Housing Bond 2024 Annual Performance Report dated March 28th 2025. We need a motion to read, receive and file, So moved. Second, All those in favor say aye, Aye. All bids have been read, received and filed.",20
"That takes us to the reports of Committee for Final Action, beginning with Councilwoman Erica Strasburg representing the City Council Representative Committee of Finance and Law. Thank you, Mr President.",-1
"Councilperson Erica Strasburg presents Bill 1677 Report of the Committee on Finance and Law for March 26th 2025, with an affirmative recommendation.",22
"Bill 1639 resolution amending Resolution Number 564 of 2024 which authorized 36 open-end professional services agreements with multiple vendors to provide professional services on an on-call basis as required, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 1,500,000 annually for a three-year term and providing for funding of the cost to the city of Pittsburgh. Thank you, Thank you As of this Board meeting. london leader rainy, addition of 713 for most 9,000 hereby to the Committee answered the bill. All bids have been read and received. like a final comment from jo Stevenson, The stuff in this Bell Formula was approved by Councilman Achilles, later Whoops Forest City, and by resolution 11-B and by consent of the mettre of Monsignor Jack Gettij. Finally, I would like to Privilege of this Bill omitted gemeinships, verbal confiscation and the of the stem out of list contract which would go over House flashcards of anger and Live samoa list of disse. criticize That snacking that over fz 1, the Mi proposal of 177 are entitled to free or be the gifts which we are display, related to various professional services as needed by the various departments of the City of Pittsburgh, each agreement being at an amount not to exceed 750,000 annually for a three-year term and providing for funding of the cost thereof by authorizing 56 additional open-end professional services agreements with multiple vendors for same various professional services. You've heard the reading and title of the bill. Is there any discussion? Seeing none, the bill is now ready for final action. All in favor of the passage of the bill will vote aye when the name is called. Those opposed will vote no. Will the clerk please take the roll? Mr Sharlin: Aye. Mr Coghill: Aye. Ms Gross: Aye. Mr Mosley: Aye. Mrs Strasburger: Aye. Mrs Warwick: Aye. Mr Wilson: Aye. Mr LaValle-President: Aye, Eight ayes. The bill has received a legal card. number of votes. It is passed, finally.",23
"That takes us to Councilwoman Barbara Warwick presenting the Committee of Public Works and Infrastructure. Thank you, Mr President.",-1
"Councilwoman Barbara Warwick presents Bill 1678 Report of the Committee on Public Works and Infrastructure for March 26th 2025, with an affirmative recommendation.",25
"Bill 1641 resolution providing for the issuance of a warrant in favor of Cannon Tools for the purchase of one MaxScan tool used to repair DPW vehicles in the amount of 13,499.",26
"98 over one year In Bill 1664 resolution providing for the issuance of a warrant in favor of United Rentals in the amount of 35,025 for the purchase of portable restroom rentals and servicing throughout the city's parks system at various locations, and providing for the payment of the cost thereof. You have heard the reading inside the bill. Is there any discussion? Seeing none. the bill is now ready for final action. All in favor to pass through the bill? vote aye. when her name is called. Those opposed will vote no. Will the clerk please take the roll? Mr Sharland: Aye. Mr Coghill: Aye. Ms Gross: Aye. Mr Mosley: Aye. Mrs Strasburger: Aye. Mrs Warwick: Aye. Mr Wilson: Aye. Mr LaValle-President: Aye, Eight ayes. The bill, having received the lead by a number of votes, is passed finally, And that takes us to Councilwoman Deborah Gross presenting the Committee of Innovation, Performance, Asset Management and Technology. Thank you, Mr President.",27
"Thank you, Councilwoman Deborah L Gross presents Bill 1679 report of the Committee on Innovation, Performance, Asset Management and Technology for March 26, 2025, with an affirmative recommendation.",28
"Bill 1635 resolution authorizing the Mayor and the City Solicitor to enter into a professional service agreement or agreements with SciComm Data Systems Inc. for computer services relating to continuing maintenance, support and upgrades to City law, the Department of Law's current legal case management and administrative support software system for an amount not to exceed 11,424 over one year. You have heard the reading and title of the bill. Is there any discussion? If none, the bill is now ready for final action. All in favor to pass the bill? vote aye When her name is called. those opposed will vote no. Will the clerk please take the roll? Mr Sharlin, Aye Mr Coghill. Aye Ms Gross. Aye Mr Mosley. Aye Ms Strasburger. Aye Mrs Warwick. Aye Mr Wilson, Aye Mr LaValle. President, Aye Eight ayes. The bill, having received a leading part of the votes, is passed.",29
"finally And finally, Councilman Kari Mosley presenting the Committee of Intergovernmental and Educational Affairs. Thank you, Mr President. Thank you, Councilman Kari Mosley.",-1
"presents Bill 1680 reporting on the implementation of the National Education Act, which is the first in the United States to have a national education policy governing the entire country. This agenda would be respected by the Committee for Support of the Committee on Intergovernmental and educational affairs for March 26- 2025 with an affirmative recommendation.",30
"bill 1636 resolution authorizing a cooperation agreement or agreements providing for the transfer of funds not to exceed 125,000 to the City of Pittsburgh Equipment Leasing Authority for the purchase of vehicles for the Department of Public Works Bureau of Environmental Services. This expenditure is associated with a correction to the Pay As Credo contract of 16. 36 sixteen-year under the with grant funds that the city will receive from the Pennsylvania Department of Environmental Protection from the 902 Municipal Recycling Grant.",31
"Bill 1637 resolution authorizing the issuance of a warrant payable in favor of the Chartiers Valley District Flood Control Authority to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year.",32
"And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into a cooperation agreement with the Pittsburgh Downtown Partnership and the City of Pittsburgh to renew the City of Pittsburgh's membership into the CVDFCA and pay fees for the year 2025 in an amount not to exceed 17,204 over one year. And Bill 1638 resolution authorizing the Mayor and the Director of the Department of Public Works and or the Director of the Department of Public Works providing for assignment of ownership and maintenance of certain infrastructure to be constructed by the Pittsburgh Downtown Partnership for the improvement of Market Square at no cost to the City. You've heard the reading and it's out of the bill. Is there any discussion? Seeing none, the bill is now ready for final action. All in favor of the passage of the bill vote: aye. Rename is called. Those opposed will vote no. Will the clerk please take the roll? Mr Sharlin, Aye Mr Coghill. Aye Ms Gross. Aye Mr Mosley. Aye Mrs Strasburger. Aye Ms Warwick, Aye Mr Wilson. Aye Mr LaValle-President, Aye Eight ayes. The bill has received the required number of votes. It is passed.",33
"finally, That takes us to motions and resolutions. Is there anything for members? Councilwoman Gross, and I saw Councilman Mosley as well. I'm sorry, Councilwoman Strasburger. Thank you, It's been a long morning. I'm sorry. I understand It's been a long morning so far. I would like to make a motion to call for a post agenda on the Oakland bid. O bid. Okay, Is there a second Second? All in favor? say aye, Aye, We will work with you to get that scheduled, Councilman Mosley.",34
"Yeah, I just wanted to congratulate the Neighborhood Academy Bulldogs on winning the Class A State Championship last week in Hershey. And you know, kudos to Dr Anthony Williams for the great job he does running the school. And I also want to give a shout out to Courtney Wallace, whose father I played with- I think she was with the Hawks last year- And I just really appreciate it And I really appreciate the support and the support she gives And I'm really excited about his career. I would love to see him at Perry And I wish him the best as he goes on to New Haven to play for Yale. as a basketball player- And obviously clearly he's a great student athlete as well, So looking forward to inviting him down to Council Chambers on the 29th of April to honor them. Okay, So kudos, All right, We've had two championships in two weeks. Congratulations. Anything else for members If not?",-1
"we did read, receive and file the annual report on the affordable housing bond that we took out. That's great that we had very lengthy conversations over whether or not we should do, and so i think it's worthwhile having a discussion of what those dollars are being used for and how they're being deployed. so someone would offer up a motion to hold a post agenda on the affordable housing bond. so moved. second, all those in favor say aye, aye, can you oppose? we'll work to get that scheduled as well.",34
"that takes us to meeting announcements this afternoon at one o'clock. council holding executive section on bill 1687 as it relates to ongoing litigation matters. also this afternoon at 12 o'clock, council will hold a briefing on delta days in pittsburgh, hosted by the pittsburgh alumni chapter of delta, sigma theta sorority. tomorrow, wednesday, april 2nd, council will hold our senate committee meeting at 10 am. speaker registration will close at 9 am wednesday morning. to register to speak at this meeting, please fill out the sign up form on the council meeting webpage by the deadline. you may also call the clerk's office at 412-255-2100. and on wednesday afternoon, with sessions at two and three, council will hold a briefing with stout consultants on affordable housing strategies for pittsburgh. thursday, april 3rd, with sessions at two and three, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process. everyone- no, yeah, everyone's- councilman's first- was absent.",-1
"so we need a motion to excuse the absent member, approve the minutes and adjourn the meeting. so move second. all those in favor say aye, aye, we are adjourned. okay, we'll note that as the committee is adjourned, we are deferring to an. following a motion by the senator chairs the everyday vote. infection prevention policy up in sürplayingiam. Thank you.",-1
