segment,matched_agenda_segment
"Next is Bill 1667 and after it's read, if someone would offer a motion to hold for one week: Bill 1667 resolution authorizing the issuance of a warrant in favor of Swedish Board Adv rod from House Ritchie to approve: Opposediz history: no members into view. Rendwhy Headboard staff include. motion to approve. second in discussion. seeing none. all those in favor say aye, any opposed affirmative recommendation.",-1
"that takes us to invoices. the motion to approve the invoices. second: any discussion. seeing none. all those in favor say aye, aye, aye. any opposed affirmative recommendation need.",-1
"a motion to approve the p cards so moved. second in discussion: seeing none. all those in favor say aye, aye. p cars have been approved.",11
that takes us to public safety and wellness committee. chair by councilman cogkill.,-1
"one new paper: bill 1656. bill 1656 resolution authorizing the mayor and the director of public safety to enter, on behalf of the city of pittsburgh, into a professional services agreement or agreements with kicker inc. to provide video production services, including conceptualization, scripting and production planning, to create videos to aid with police recruitment efforts, at a total cost not to exceed thirty two thousand seven hundred fifty dollars over a one year period. motion to approve. brief discussion. second discussion: councilman, i don't remember discussing this or what this is exactly about, and i see mr polaroid under their your hair. so you want to just come up and explain what you're doing. i'm going to go ahead and i'm going to go ahead and i'm going to go ahead and explain what you're doing. i'm going to go ahead, and i'm going to go ahead, and i'm going to go ahead and i'm going to go ahead, and i'm going to go ahead and i'm going to go ahead and explain what this is. sorry, you know. introduce yourself, please, anthony palermo, commander pittsburgh bureau police chief of staff. thank you, mr palermo. just tell us what this is. sure, we received a, a pccd grant for aid in recruitment roughly a year ago. so, as our ongoing recruitment improvements are going on, one of the things we were looking for is to have a high quality recruitment video produced that we could use to social media, youtube, traditional media, just to kind of promote the opportunities, and so it's for marketing, for recruitment purposes. is it done? no, no, so we have to prove the money and then you're going to do it and you have some. you already have a production company. i mean, who do you honor for that? yeah, so it went out for rfp and look through all of them. this company was selected based on our needs and price, etc. so once it receives final approval, we'll meet and start kind of conceptualizing what it should look like and production schedules. and yeah, well, i'm really happy to see you're focusing on recruitment first of all, as we know, we need desperately. so we still only have one recruitment officer. i believe we have two now. two, okay, great, full-time, great great. i know we have a class coming up in june, correct? and we don't. we do not have one scheduled beyond that. i believe a second one is scheduled for early november. okay, okay, that's it for me. so, thank you, thank you, thank you, yeah, thank you, councilman wolbert. i just was wondering: so is this just for the cost of producing the footage or does this also include like, disseminate? is this like, will they also be doing the social media? and you know, on the streaming channels, they would not do the marketing aspect of it. they would produce the video and then like for- excuse my ignorance on production terms, but like shorts, like shorter reels, and then we would explore. do we need a marketing team or is it something we can do through our pios and social media? people internally got it okay. and then, and just so, because i do recall that there was a grant, i can't remember how much, maybe a hundred, maybe a couple hundred thousand- that the recruitment- yeah, it was roughly three hundred and fifteen thousand, okay, somewhere right around there. okay, and i'm just curious: is this? is this not part of? is that not? it is this what you paid for with with the grant money? great, thank you. thank you, councilman, gross. okay, i also am not very good at this stuff, so was? is it like a national rfp was there? i know we have some guidelines for trying to use local companies. do you know anything about this company? know I don't know what? so it went out. I believe- and excuse my ignorance- Fiona could probably help with this. Come on up, we're gonna bring her up, okay, I just feel like we've never done this before. Right, is this the first time for the? I'm sorry, you'll have to introduce yourself, Fiona Kalman, DBA for Public Safety at the Pittsburgh Bureau of Police. So this is like. I don't remember seeing one of these bills before. is this a new thing for us That the police department has done? Yeah, Yeah. so we did go out nationally on OpenGov, bid out and then made sure that we met all compliances, and that has taken the process a lot more months than it typically would, but check the boxes and do what we could. So again, I don't know why I'm asking these questions, but it's new and it's interesting, Is it that they're gonna be filming here And so they're making shorts, and not necessarily in this room, but in Pittsburgh, Yes, Yes, With our officers. Yes, Yes, As far as what it's gonna look like, I don't know why it's entertaining. Okay, everybody's laughing, it's not just me, okay. Okay, so it's a recruitment video and we're paying 30,000 from a grant, so we're not really anything out of pocket, and hopefully it'll help with recruitment because it'll get on social media or digital media or someplace, And the company that we're going with, Yeah, We've also produced police videos for other cities as well, so they're qualified And it works, Hoping it works. yeah, we plan on having it work, But it worked in the other cities. Yeah, Oh, okay, That's great, all right. so I'm just thanks for answering my questions. I was just, you know, like I said, it's new, and so I was just curious how it was gonna work. Okay, Thank you. Yeah, that's all I have, Mr Chair. Thank you, Councilman. Sorry, There's nothing worse than a poorly timed, so I'll let you tickle. So I'm interested in this. I think we all are interested because it's a new thing, But I'm really glad to see you know. I think the last I heard is that we're starting to see recruitment number or the number of applicants, I should say, starting to go up again, which Correct, I believe is great. Can you talk to us about that at all? Sure, and I don't have the exact numbers, but kind of as a rough example, this, you know: past month, at the civil service examination that's tested monthly, we had roughly 170 people sign up to take it. i think 90 actually showed up, which is over double what we've seen in months prior. so too early to celebrate completely, but it seems our recruitment team, recruitment efforts are starting to bear fruit. that's that's something, something you should, you know, applaud yourself for and and the team that's working on this. that's quite, you know, really something to celebrate here. i, you know i think i've told the story at the table before, but i was in new york in the fall and i saw, you know, i was riding the subway and i saw advertisements like they have in their in their subway saying come join the police force. but it was come join the police force in atlanta. atlanta was advertising in new york subways. so this is is something that i think everybody's trying to figure out: how to be creative and and how to. you know, it's a nationwide issue. how do, how do we get to that point where we're, you know, keeping up with the joneses in terms of recruiting. so i'm i'm glad to see, you know, a video. i'll should probably use officer andre as your, as your, your actor here. i i don't, i don't know, i'm just i, i don't know. yeah, we're going to need volunteers. andre wright is, is your, your ham? so, but yeah, i mean, i i'm excited to see it and excited to see what comes out of this and i hope this bears fruit. so cool idea, thank you, thank you. any further discussion? seeing none. just, just, real, quickly, i just wanted to add: would you send us once, if approved, today, which and then tuesday it'll be final. would you send us all the, the actual product that you get? can you just email that to us? is that how you do that or what you know? like the video? yeah, what? yeah, i'm sure. yeah, right, yeah, i'll be able to send and share and okay, good, yeah, probably a couple months down the road, but, yeah, right, yeah, yeah, i'm just saying like, so we could see it. yeah, that's it, okay, good, can the council? that's it for me, mr president, he wants to be in there. well, i was going to pitch myself. but i mean, you are the public safety. i think i'm available. i mean, if you give me the dates and the times, i'll check my schedule. people often think you do look like a concept. you know what i might open that week. as a matter of fact, i pretend to be one. yeah, you look like one. that's it, mr president. sorry, we're gonna carry it away, thank you. i have one question: does this conflict in any way with our union cable workers? i know the rfp went out a long time ago. i know one of the concerns was the capability in terms of use of drones etc. i can't speak completely to that. i don't know. thank you, any further discussion seeing none. all those in favor say aye, aye. any opposed affirmative recommendation. thank you for being here, thank you. thank you, guys, thanks.",12
that takes us to public works and infrastructure committee shared by councilman warwick.,-1
"our first new paper is bill 1663. i'll be available. bill 1663 resolution amending resolution number 615 of 2024, entitled. resolution authorizing the mayor of the city of pittsburgh and the director of the office of management and budget to apply for a grant from the pennsylvania department of community and economic development's multimodal transportation fund for the smallman street complete street project. the grant proposal includes an ask of two million two hundred seventy nine thousand six hundred sixty two dollars and thirty cents, with a local match of one hundred seventeen thousand one hundred dollars from the 2024 capital budget for a total grant project cost of two million three hundred ninety six thousand seven hundred sixty two dollars and thirty cents. to accept the grant budget proposed. treating his Settings: Austin capital project and promoting Open Med pequele hundred seventy-nin degrees. absense of a graphic buyouts over over the like engineering, final design, right of way and construction phases of the planning process. title will be licensed between closer to testing steps and to moving or meeting the pre-short tapering project program. toARC. right of way and building construction phases of of the Liberty Avenue Highway Safety Improvement Program, providing for the payment of the cost thereof not to exceed 12,905,556- an increase of 5,400,000 from the previously authorized amount, and the municipal share of commonwealth incurred costs not to exceed 29,700, an increase of 24,200 from the previously authorized amount. Future resolutions will authorize the project-specific agreements. Motion to approve. Second: Any discussion Seeing none, all those in favor say aye, Aye, Aye. Any opposed: Affirmative recommendation: Bill 1666.",13
"Bill 1666 resolution providing for a supplemental agreement or agreements with WSP USA Inc. for costs associated with South Negley Avenue Bridge project, providing for the payment of the cost thereof not to exceed 1,188,409. 39, an increase of 317,588. 34 from the previously executed agreement. Motion to approve. Second: Any discussion Seeing none, all those in favor say aye, Aye, Affirmative recommendation, Bill.",15
"oh, that takes us to land use and economic development Committee, chaired by Councilman Wilson.",-1
"we have one deferred paper, Bill 1698. Bill 1698 ordinance supplementing the Pittsburgh Code of Ordinances, Title Nine, Zoning, Article Four, Planning Districts, Chapter 909, Planned Development Districts, Section 909. 01, SP, Specially Planned District 909. 01. P, SP9- Bakery Square. by supplementing the certain provisions of Chapter 909, chapter 9 a, 9. 0, 1 P, with the addition of this new section 9 a, 9. 1, point P, C through F. A motion to a man. I was going to ask you to want to rebuild 1723. Yeah, I just read them together.",16
"And bill 1723 ordinance amending the Pittsburgh code, title 9, zoning, article 1, section 9 a, 2. 0, 3 zoning map by changing from highway commercial district to S P 9 bakery square district, certain property roughly bounded by pen Avenue, East Liberty Boulevard and the Pittsburgh regional transit East bus way, all in the Allegheny County block and lot system, 11th ward, and by changing from urban industrial district to S P 9 bakery square district that certain property roughly bounded by, And bill 1723 ordinance amending the Pittsburgh code 9 zoning, article 1, The existing eastern most boundary of the S P 9 bakery square district in the Allegheny County block and lot system, 12th Ward. A motion to a man That could free discussion That. the second motion to approve both bills first. All right, motion to approve. check that. and I think your motion. I'm assuming you're in by substitution, so take both of those together. yeah. motion to amend. second: brief discussion discussion. yes, i just wanted to provide some context. you know this has been part of a multi-year process that started before my tenure on council between neighborhood groups and larmer neighborhood groups in east liberty, the developer as well as my predecessor, reverend burgess. that resulted in a community benefits agreement which includes the build 100 program that my office now has taken the lead on, working with the developer and the community groups. that will result and at some point in the future, of 100 affordable homes for purchase in the eastern community, particularly in larmer, but it may extend into lincoln, levington and homewood at some point and also- this is part of negotiations that i participated in with the mayor- that will include a 10 affordable rental housing on site at 50 ami and then 5 at 80 to 120 ami and that'll. there's just information in that as well. but this is just to send this over, you know, for a public hearing. i know there's going to be a lot of robust conversation and consideration about this. i welcome that. i look forward to discussing this further, but i do want to applaud the larmer consensus group and the village collaborative for the hard work that they've done over the last three or four years, you know, to move this forward. so i just want to give a little bit of context of what we're looking at. and again, this is part of a community benefits agreement negotiation that took place between the communities, as well as more recent negotiations between the mayor's office and myself around some on-site affordability. that was not part of the original community benefits agreement. all the affordability was going to be off-site and we were able to negotiate on-site affordability as well. so i just want to provide some context. thank you, so we have an amendment by substitution on the table. is there any further discussion? councilman, will you just tell me what? you said it, but i didn't catch it. what are the amis? affordability, off-site- i believe it's going to be 80 ami for affordable home purchase and then on-site it will be 50% at 50 and 5% at 80 to 120. okay, thank you. any further discussion? if none, i'll simply congratulate you. i do remember when reverend burgess sort of started this and for you to now be able to get it. it's not fully across the finish line, but there i know there's been a lot of work to reach both consensus within the neighborhood as it relates to both the off-site affordability and the four home, the home ownership opportunities, as well as the on-site affordability. so i congratulate you on that and i hope that you will continue to do that. and i hope that you will continue to do that and i hope that you will continue to do that. and i know you've been working on this since you took office, so there's been a lot of work to get to this point. so i just want to congratulate you, and i also want to congratulate sean carter, because i know you were working on this long before i was. so all those in favor say aye, aye, aye. any opposed? so the bills have been amended by substitution. now you, i believe these have to be held for a public hearing. so if you want to make a motion to hold both bills for cable cars public hearing, most of the whole. for a cable cast public hearing. second, all those in favor say aye, aye, aye, any opposed. both bills will be held for a cable cast public hearing.",17
"that takes us to intergovernmental and educational affairs committee, chaired by councilman mosley.",-1
"we have one deferred paper: bill 1589. bill 1589 resolution authorizing the mayor and director of the department of mobility and infrastructure, on behalf of the city of pittsburgh, to enter into a cooperation agreement with pittsburgh regional transit for post construction of the city of pittsburgh, which is creating a highway out of the ownership, access and maintenance of certain city steps to be constructed around Downing Street in the sixth ward of the city of Pittsburgh at no cost to the city. motion to hold for six weeks. second, all those in favor say aye, aye. any opposed. bill be held six weeks.",18
"that takes us to our new papers, and the first is bill 1657. well, 1657 resolution amending resolution 21 of 2025, which authorized a cooperation agreement or agreements with the city of Pittsburgh equipment leasing authority for the purchase and leasing of vehicles, equipment and accessories, equipment, support, infrastructure and professional services in fiscal year 2025, by increasing the authorized amount by ninety three thousand dollars to purchase vehicles and equipment for the office of community health and safety, for a new total of seven million nine hundred ninety nine thousand three hundred nineteen thousand three hundred ninety nine thousand three hundred nineteen dollars and thirty seven cents. motion to approve any discussion seeing none. all those in favor say aye, aye.",19
"opposed affirmative recommendation: bill 1658: well, 1658 resolution providing for an amended reimbursement agreement or agreements with Pittsburgh water for costs associated with the Haverhill project, where Pittsburgh water is overseeing the design and construction of the storm water management component, of the storm water management component, as well as the door, roadway replacement and rehabilitation, and has a has or will retain the services of a design consultant, construction management, inspection consultant and construction contractor for the project. the city will reimburse Pittsburgh water for this work at a cost to the city not to exceed nine hundred ninety two thousand six hundred twenty eight dollars and seventy seven cents. an increase of three hundred eighty two thousand five hundred and fifty nine thousand six hundred twenty eight dollars and seventy seven cents. an increase of three hundred eighty two thousand five hundred thirty dollars and thirty cents from the previously authorized resolution. motion to approve: second, second, any discussion seeing none. all those in favor, say aye, aye. any opposed affirmative recommendation.",20
"and lastly, bill 1659. bill 1659 resolution authorizing the mayor and the director of the Department of Mobility and Infrastructure, on behalf of the city of Pittsburgh, to enter into an agility agreement with the Pennsylvania Department of Transportation and the Pennsylvania Department of Transportation and the Pennsylvania Department of Transportation for purposes of exchange, documentation and cooperation with respect to provision of in-kind services between both parties at no cost to the city. motion to approve any discussion. one question just out of curiosity. I'm just curious what agility agreement is. why'd you ask the NFL? that's what they're doing in the NFL, don't they? why'd you ask the NFL? that's what they're doing in the NFL, don't they? this is the director Lucious, hopefully. just one quick question, I'm just just out of curiosity. Kim Lucas, director for the city of Pittsburgh's Department of Mobility and Infrastructure. the agility agreement is a no-cost agreement between us and PennDOT that just tracks things that we basically borrow from them. so in this instance, sometimes we need to use their crash vehicle to help protect the work that we're doing in the right-of-way, and there are sometimes a lot of times we're not able to pay for the work that we're doing in the right-of-way, and there are sometimes a lot of times we're not able to pay for the work, that they need some assistance of that type from us and so this is just a way to not have to pay each other but instead to track sort of what we're borrowing. thank you, thank you. any further discussion if not all those in favor say aye. any opposed affirmative recommendation? I actually want to go back and I apologize because I didn't see this until just now, but I got a note from Patrick Cornell regarding the ability to pay for the work that they're doing in the area and I'm going to go back and I apologize because I didn't see this until just now, but I got a note from Patrick Cornell regarding bill 1675 and councilwoman Strasburgers in the finance, which is regarding councilman's bill to sponsor, which councilman Wilson sponsored a land sale but the real estate team was unaware the parcel was struck from her November resolution and he couldn't immediately tell if it went through the full process again and he wants time to make sure that everything is done by the book with councilman Wilson. he's not against it, he just wants to make sure all I's are dotted and T's are crossed. so if someone wants to make sure that they're not in the way of the plan, then he's not going to be able to get a motion to reconsider the bill 1675 so moved. second, all those in favor say aye, aye. and he's asking for a one-week cold to meet with councilman Wilson to make sure everything is appropriate. so can we make, make a go, make a motion over one week. second, all those in favor say aye. any opposed bill be held for one week. thank you all. that takes us to the end of our agenda.",21
"we do have meeting announcements. this afternoon, with sessions at 2 and 3, council will hold a briefing with stout or an affordable housing strategies for Pittsburgh. then on Thursday April 3rd, with sessions at 2 and 3, council will hold a briefing to discuss the conflict of interest policy for public service grant selection process. then next week council will hold our regular meeting on Tuesday April 8th and our sending community meeting on Wednesday April 9th at 10 am. as you register to speak at these meetings and hearings, please for the signup form on accounts meeting web page by the deadline. you may also call the clerk's office at 4: 1, 2, 2, 5, 5, 21, 38. is there anything for members? if no, then we will be back with the next meeting on Tuesday, April 8th, at 10 am. councilman Wilson, I mean mostly. excuse me, I just wanted to mention- I know there's been a lot of talk about the proposed 35% cuts at PRT and just let the public know that the public comment period has opened as of the 31st of March and is open until June 18th. so I strongly encourage anyone who's concerned, as a rider, as a stakeholder, to ensure that your voice is heard and that your voice is heard. there's also meetings coming up on April 29th and June 12th at the David Lawrence Convention Center and those meetings are going to run from 9 am to 1 pm and 3 pm to 7 pm, and then on May 6th, at Soldiers and Sailors Hall, there also will be a hearing from 9 am to 1 pm and 3 pm to 7 pm. so again, I just encourage the public to make their voices heard, as we, as I mentioned before, you know we are, you know, considering, you know, the comprehensive plan and many zoning and planning policies that require a robust public transit system. we talk about transit oriented development and other policy issues. so it's important that we have a robust system. so I ask everyone to let your voice heard so that eventually we may all have to get on a bus to Harrisburg or something like that so we can get that same allotment of money that Philadelphia got last year to protect their public transportation system. so I just wanted to mention that because this is the first week that the public comment has opened up. one more time we would like allovment of money to be spent because we talked to senators in about two weeks and the actual other, leb Proselyto's president, not, thank you, critical, important issue for us, anything else.",-1
"if not, we need a motion to excuse the absent members, approve the minutes and adjourn the meeting. so move. an Hobby above the Minutes. so moved. All in favor. say aye, Aye, We Are Adjourned, Thank you.",-1
