Headline 1,Headline 2
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety."
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"Council approves an additional $382,513 for the Haverhill stormwater and road project."
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs"
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.
City Council authorizes an agreement with PennDOT to share road and bridge maintenance.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city
"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,Council delays vote on canceling a property sale for one week.
Council holds resolution to rescind 2022 property sale for one week,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
"A resolution for a $33,292 tuition reimbursement is held in committee.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
Council holds tuition reimbursement payment for Mohammed Burny for further review,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council holds resolution to sell city-owned property on Itin Street for $3,755.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Council delays decision on sale of 23rd Ward property.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council holds resolution on sale of 23rd Ward property for two weeks,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement."
"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council delays decision on agreement allowing community college students to train with city emergency medical services.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,Proposed EMS student training partnership with the community college is held in committee.
Council holds decision on EMS student training agreement with Community College of Allegheny County,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.
"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170."
"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees."
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"Council recommends paying a $72,500 debt for 811 damage prevention calls."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.
The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
"Council recommends selling a URA-owned lot on Island Avenue for $3,600.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.
Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council refers resolution to accept $37,000 grant for investigating old sexual assault cases to committee.",Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"Council introduces legislation to accept a $37,000 grant for investigating old sexual assault cases.","City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
"Council authorizes agreement to receive $37,000 grant for sexual assault case investigations and police training",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
Council reviews a sewage plan update for a new apartment building on McKee Place.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council refers resolution to approve sewage plan for South Side townhome development to committee.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",Council refers sewage plan for new South Side townhome development to committee.
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,Council adopts sewage plan revision for 215 South 21st Street at no cost to city
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"City Council considers allowing ALCOSAN to build underground tunnels through nine city properties for $8,200."
"City to be paid $8,200 for allowing ALCOSAN to build sewer tunnels under nine city properties.","City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
"City approves easements for underground tunnels on nine city properties with $8,200 payment",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
City Council refers resolution to transfer 14 properties in 12th Ward to Larimer Consensus Group to settle court cases.,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
City Council introduces legislation to transfer 14 properties to the Larimer Consensus Group to settle multiple lawsuits.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs."
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","Council introduces a resolution to apply for a $250,000 state grant for the Emerald View Trail rehabilitation project."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,"Council authorizes application for $250,000 grant to rehabilitate Emerald View Trail with city match funding"
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council refers resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.
University of Pittsburgh would provide supplemental trash pickup in Oakland under a proposed agreement.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit."
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","City accepts $316,367 to settle lawsuit involving the Finland Street Pedestrian Bridge."
"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council approves three-year agreement with USI Insurance Services for city insurance brokerage services.,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",City Council authorizes a no-cost agreement with USI Insurance Services for insurance brokerage services.
"Council approves no-cost, three-year insurance brokerage agreement with USI Insurance Services",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.
City Council approves over $1 million in new federal funding for improvements on Liberty Avenue.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
Council approves $1.06 million increase in Liberty Avenue project budget with federal funding,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
"Council approves $32,750 contract for video production company to create police recruitment videos.",Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","City Council approves $32,750 contract for police recruitment videos."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos"
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project."
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","City Council accepts a $250,000 state grant for the Smallman Street project."
Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million.",Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.","City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.",Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office"
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council approves $382,513 increase for Haverhill Project bringing total city reimbursement to Pittsburgh Water to $992,629."
"Council approves an additional $382,513 for the Haverhill stormwater and road project.","City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council approves agreement with state transportation department to share road and bridge maintenance services at no cost to the city.,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",City Council authorizes an agreement with PennDOT to share road and bridge maintenance.
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council holds resolution to cancel $40,000 property sale on Bodkin Street for one week."
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",Council delays vote on canceling a property sale for one week.
Council holds resolution to rescind 2022 property sale for one week,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council committee to review $33,292 tuition reimbursement for Mohammed Burny by April 23."
"A resolution for a $33,292 tuition reimbursement is held in committee.","City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,Council holds tuition reimbursement payment for Mohammed Burny for further review
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council holds resolution to sell city-owned property on Itin Street for $3,755."
Council delays decision on sale of 23rd Ward property.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
City Council holds resolution on sale of 23rd Ward property for two weeks,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council holds resolution to transfer $33,292 from salaries to employee benefits for tuition reimbursement."
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","Council places a two-week hold on a $33,292 tuition reimbursement for an employee."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks"
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council delays decision on agreement allowing community college students to train with city emergency medical services.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",Proposed EMS student training partnership with the community college is held in committee.
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,Council holds decision on EMS student training agreement with Community College of Allegheny County
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council approves reduced Penn Avenue lighting grant for East Liberty business district enhancement project.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district."
"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council approves additional $115,170 for Fort Pitt Park design services, bringing total cost to $415,170."
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","Council recommends an additional $115,170 for design work on Fort Pitt Park improvements."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,Council approves easement agreements allowing Duquesne Light and Pittsburgh Water to install utility poles and maintain landscaping on city property at no cost.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.","City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council approves $72,500 payment to state utility commission for overdue 811 damage prevention call fees."
"Council recommends paying a $72,500 debt for 811 damage prevention calls.","City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council approves repealing 2019 resolution that gave redevelopment authority rights to 15th Ward property.,Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
"Council approves sale of two Hill District lots from redevelopment authority to Pittsburgh Land Bank for $16,290.",Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.","Council recommends selling a URA-owned lot on Island Avenue for $3,600."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500."
"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.
Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem
Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.,"Council refers resolution to accept $37,000 grant for investigating old sexual assault cases to committee."
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,"Council introduces legislation to accept a $37,000 grant for investigating old sexual assault cases."
Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,"Council authorizes agreement to receive $37,000 grant for sexual assault case investigations and police training"
Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.,"Council refers resolution to accept $37,000 grant for investigating old sexual assault cases to committee."
"Council introduces legislation to accept a $37,000 grant for investigating old sexual assault cases.",Council reviews a sewage plan update for a new apartment building on McKee Place.
