Headline 1,Headline 2
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,City seeks temporary construction easements for the Smithfield Street repair project.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.
Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.
Proposed ordinance would allow residents to create native plant gardens.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
Council introduces ordinance allowing residents to plant and maintain managed natural landscapes,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Council designates Donny's Place historic over owner and commission objections.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost
Council cancels sale of 136 Bodkin Street property and orders refund of hand money.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,City Council rescinds sale of 136 Bodkin Street.
Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
"Council approves sale of 14 city-owned lots in Larimer for $26,677.",Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms."
"$37,000 grant approved for old sexual assault case investigations.",Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,"Council approves $37,000 grant agreement to support police investigations and training"
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds."
"City to apply for $250,000 state grant for Emerald View Trail rehabilitation.",Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council approves grant application and city funding for Emerald View Trail rehabilitation project
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council passes ordinance clarifying rules for posting residential parking permit signs.
New ordinance clarifies which streets and at what times residential parking permits will be enforced.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council approves clearer rules for residential parking permit signage
Council expands residential permit parking program to more South Side Flats streets.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
More streets in the South Side Flats added to residential permit parking zone.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council approves expansion of Residential Permit Parking Area KK in South Side Flats
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.
Council approves sewer connection for new Walnut McKee Apartments.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council approves sewage plan revision for 296 McKee Place at no cost to the City,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Council approves sewage plan revision for South Side townhome development at no cost to the City.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,Council approves sewer plan for new Josephine Street Townhomes.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties."
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,City grants ALCOSAN underground land access for a major sewer project.
"City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200",City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call."
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,Council schedules hearing on aging public safety vehicles.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,"Council schedules special meeting to address EMS, fire, and police fleet issues"
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council holds public hearing on bill to reduce minimum lot sizes for residential development.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council holds resolution to sell city-owned property on Itin Street for $3,755."
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,Council holds proposed sale of Itin Street property for one week.
City Council holds resolution for sale of 23rd Ward property for one week,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks."
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,"$33,292 transfer for council staff tuition reimbursement is held for six weeks."
"City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks",City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,"Council approves $40,000 contract with law firm for immigration legal services."
"City approves $40,000 contract for immigration legal services.",Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
"Council approves $40,000 contract for immigration legal services with Fragomen firm",City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.
Legislation to increase paid sick days for workers advances to a public hearing.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,Council holds Bill 1736 on paid sick leave accrual rates for public hearing
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.
Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.
Six new bus shelters will be built in Hazelwood at no cost to the city.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city
Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.
Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.
City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects,City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City
Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.
Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.
Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street,City Council discusses pause and funding challenges for Four Mile Run flood mitigation projects
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council considers sewage plan revision for Hermitage Street development at no cost to city.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,City's official sewage plan to be updated for new Hermitage Street development.
Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
"Council transfers $10,000 from salaries to City Clerk's office for professional services.",Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced."
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services"
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements."
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services."
Council proposes eleven contracts with five vendors for on-call special events services.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually"
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council authorizes temporary construction easements on city property for Smithfield Street repair project.
City seeks temporary construction easements for the Smithfield Street repair project.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City
Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,Proposed ordinance would allow residents to create native plant gardens.
Council introduces ordinance allowing residents to plant and maintain managed natural landscapes,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,Council designates Donny's Place historic over owner and commission objections.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.
City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council cancels sale of 136 Bodkin Street property and orders refund of hand money.
City Council rescinds sale of 136 Bodkin Street.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
"Council approves sale of 14 city-owned lots in Larimer for $26,677.",Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms."
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,"$37,000 grant approved for old sexual assault case investigations."
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,"Council approves $37,000 grant agreement to support police investigations and training"
"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds.",Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,"City to apply for $250,000 state grant for Emerald View Trail rehabilitation."
Council approves grant application and city funding for Emerald View Trail rehabilitation project,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council passes ordinance clarifying rules for posting residential parking permit signs.,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
New ordinance clarifies which streets and at what times residential parking permits will be enforced.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,Council approves clearer rules for residential parking permit signage
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council expands residential permit parking program to more South Side Flats streets.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,More streets in the South Side Flats added to residential permit parking zone.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,Council approves expansion of Residential Permit Parking Area KK in South Side Flats
Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Council approves sewer connection for new Walnut McKee Apartments.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,City Council approves sewage plan revision for 296 McKee Place at no cost to the City
Council approves sewage plan revision for South Side townhome development at no cost to the City.,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,Council approves sewer plan for new Josephine Street Townhomes.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,City Council approves sewage plan revision for 215 South 21st Street development at no cost to the City
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties."
City grants ALCOSAN underground land access for a major sewer project.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
"City Council approves easements for ALCOSAN tunnels on nine city-owned properties for $8,200",Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
"Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call.",Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Council schedules hearing on aging public safety vehicles.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
"Council schedules special meeting to address EMS, fire, and police fleet issues",Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council holds public hearing on bill to reduce minimum lot sizes for residential development.
Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council holds public hearing and advances bill to reduce minimum lot sizes in residential zoning districts,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
"Council holds resolution to sell city-owned property on Itin Street for $3,755.",Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Council holds proposed sale of Itin Street property for one week.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,City Council holds resolution for sale of 23rd Ward property for one week
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks."
"$33,292 transfer for council staff tuition reimbursement is held for six weeks.",Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,"City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks"
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,"Council approves $40,000 contract with law firm for immigration legal services."
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,"City approves $40,000 contract for immigration legal services."
"Council approves $40,000 contract for immigration legal services with Fragomen firm",Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,Legislation to increase paid sick days for workers advances to a public hearing.
Council holds Bill 1736 on paid sick leave accrual rates for public hearing,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.
Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.
Council approves amended agreement with University of Pittsburgh for supplemental waste pickup in Oakland at no cost to the city,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.
Six new bus shelters will be built in Hazelwood at no cost to the city.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
City Council approves agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park,City Council approves agreement to live-stream dek hockey games at Marmaduke Park at no cost to the City
Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.
The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.
Council approves Pittsburgh Land Bank acquisition of city property at 219 Reifert Street,Council authorizes agreement for free live-streaming of dek hockey games at Marmaduke Park
Council considers sewage plan revision for Hermitage Street development at no cost to city.,"Council transfers $10,000 from salaries to City Clerk's office for professional services."
"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",City's official sewage plan to be updated for new Hermitage Street development.
"Councilwoman Kail-Smith proposes $10,000 budget transfer to City Clerk for professional services",Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
Council considers sewage plan revision for Hermitage Street development at no cost to city.,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions."
"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",City's official sewage plan to be updated for new Hermitage Street development.
"Council approves payment of $6,158.30 to New Pittsburgh Courier for legal ads",Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",Council considers sewage plan revision for Hermitage Street development at no cost to city.
Council proposes eleven contracts with five vendors for on-call special events services.,City's official sewage plan to be updated for new Hermitage Street development.
"City Council approves 11 on-call service agreements with five vendors for special events up to $750,000 annually",Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
Council considers sewage plan revision for Hermitage Street development at no cost to city.,Council authorizes temporary construction easements on city property for Smithfield Street repair project.
City's official sewage plan to be updated for new Hermitage Street development.,City seeks temporary construction easements for the Smithfield Street repair project.
Council authorizes actions to record temporary construction easements for Smithfield Street repairs at no cost to the City,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.,Council considers sewage plan revision for Hermitage Street development at no cost to city.
Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,City's official sewage plan to be updated for new Hermitage Street development.
Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city,Council approves agreement allowing Riverlife barge access from Allegheny Landing Dock at no cost to city
Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.,Council considers sewage plan revision for Hermitage Street development at no cost to city.
Proposed ordinance would allow residents to create native plant gardens.,City's official sewage plan to be updated for new Hermitage Street development.
Council introduces ordinance allowing residents to plant and maintain managed natural landscapes,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,Council considers sewage plan revision for Hermitage Street development at no cost to city.
Council designates Donny's Place historic over owner and commission objections.,City's official sewage plan to be updated for new Hermitage Street development.
Council designates Donny’s Place at 1226 Herron Avenue as a Historic Structure despite owner opposition,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
Council considers sewage plan revision for Hermitage Street development at no cost to city.,Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.
City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,City's official sewage plan to be updated for new Hermitage Street development.
Council approves loan of Stephen Foster statue to Museum of Contemporary Art at no cost,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
Council considers sewage plan revision for Hermitage Street development at no cost to city.,Council cancels sale of 136 Bodkin Street property and orders refund of hand money.
City's official sewage plan to be updated for new Hermitage Street development.,City Council rescinds sale of 136 Bodkin Street.
Council repeals 2022 property sale of 136 Bodkin Street and orders refund of deposit,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,Council considers sewage plan revision for Hermitage Street development at no cost to city.
"Council approves sale of 14 city-owned lots in Larimer for $26,677.",City's official sewage plan to be updated for new Hermitage Street development.
City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.",Council considers sewage plan revision for Hermitage Street development at no cost to city.
"$37,000 grant approved for old sexual assault case investigations.",City's official sewage plan to be updated for new Hermitage Street development.
Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city,"Council approves $37,000 grant agreement to support police investigations and training"
Council considers sewage plan revision for Hermitage Street development at no cost to city.,"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds."
"City to apply for $250,000 state grant for Emerald View Trail rehabilitation.",City's official sewage plan to be updated for new Hermitage Street development.
Council approves grant application and city funding for Emerald View Trail rehabilitation project,Council adopts sewage plan revision for 7415 Hermitage Street at no cost to the city
