Headline 1,Headline 2
"Council reduces Penn Avenue lighting project grant from $461,856 to $450,000 and authorizes spending.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces legislation to accept a $450,000 grant for the Penn Avenue lighting project.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League","Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending"
"Council refers resolution to increase Fort Pitt Park design contract by $115,170 to committee.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","Additional $115,170 proposed for Fort Pitt Park improvement designs."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council moves $33,292 from salaries to employee benefits for tuition reimbursement program."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",Council introduces a resolution to transfer salary funds for staff tuition reimbursement.
"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
City accepts $500 donation from Pittsburgh Cultural Trust to buy smoke detectors for residents.,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",City accepts a $500 donation from the Pittsburgh Cultural Trust to purchase smoke detectors for residents.
City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",Council approves 56 additional professional services contracts for city departments worth up to $1.5 million each annually.
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",City Council authorizes 56 additional contracts for on-call professional services.
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves 56 additional open-end professional services agreements with vendors
"Council approves $13,500 purchase of diagnostic tool to repair city vehicles.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council approves purchase of a nearly $13,500 diagnostic tool for Public Works vehicles.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League","Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs"
"Council approves $35,025 for portable restroom rentals and servicing in city parks.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","City Council approves $35,025 for portable restrooms in city parks."
"Council approves $35,025 payment to United Rentals for portable restrooms in city parks","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council approves $11,424 contract with Cycom Data Systems to maintain Law Department's case management software.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","Council approves an $11,424 one-year contract for Law Department software support."
"Council approves $11,424 contract with Cycom for CityLaw software maintenance and upgrades","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council approves $125,000 in state grant funds to buy recycling vehicles for Public Works.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council approves $125,000 in state grant funding to purchase vehicles for the recycling program.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $125,000 transfer for new recycling vehicles through state grant","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council approves $17,204 payment to renew Pittsburgh's membership in flood control authority for 2025.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"City Council approves $17,204 to renew flood control authority membership.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League","City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025"
Council approves agreement with Pittsburgh Downtown Partnership to improve Market Square at no cost to the City.,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
City Council authorizes a no-cost agreement with the Pittsburgh Downtown Partnership for Market Square improvements.,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves agreement with Pittsburgh Downtown Partnership to improve and maintain Market Square at no cost to the City
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.
City Council calls for future discussions on the Oakland Business Improvement District and the affordable housing bond.,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"City Council approves accepting $316,367 settlement for damaged Finland Street Pedestrian Bridge.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council committee recommends accepting $316,367 settlement for Finland Street Pedestrian Bridge.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",Council approves three-year agreement with USI Insurance Services to broker city insurance policies at no direct cost.
Council recommends switching to USI Insurance Services as the city's new insurance broker.,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
Council approves over $1 million in additional federal funding for Liberty Avenue road project.,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",Council committee recommends adding $1.06 million in federal funds for a Liberty Avenue project.
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves $1.06 million increase for Liberty Avenue project with new federal funding
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council holds resolution to sell city-owned property on Itin Street for $3,755 until April."
City Council delays a decision on the sale of a 23rd Ward property for green space and parking.,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review
"Council approves $32,750 contract for company to create police recruitment videos using grant money.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","A City Council committee recommends spending $32,750 in grant money on new police recruitment videos."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League","Council approves $32,750 contract with Kicker, Inc. for police recruitment video production"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council recommends accepting reduced $250,000 state grant for Smallman Street Complete Street Project."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","City accepts a reduced $250,000 state grant for the Smallman Street project."
Council approves amended grant and funding for Smallman Street Complete Street Project,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",Council recommends increasing Liberty Avenue highway safety project funding by $5.4 million to $12.9 million total.
City recommends a $5.4 million funding increase for the Liberty Avenue safety project.,"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council approves additional $317,588 for South Negley Avenue Bridge Project contract with WSP USA.","Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council approves an additional $317,588 in costs for the South Negley Avenue Bridge project.","Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge project,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
Council approves amended zoning changes for Bakery Square expansion with affordable housing requirements and schedules public hearing.,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",Bakery Square rezoning plan with new affordable housing moves forward to a public hearing.
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council amends and holds zoning map changes for public hearing in Bakery Square area
Council holds resolution for Pittsburgh Regional Transit agreement on new Downing Street steps for six weeks.,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",Council holds vote on Downing Street steps agreement for six weeks.
Council holds resolution on cooperation agreement for Downing Street steps for six weeks,"Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","Council recommends an additional $93,000 for vehicles and equipment for the Office of Community Health and Safety."
"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety","Council approves $52,962 subscription payment to Pennsylvania Municipal League"
"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.","Council approves increased funding for Haverhill Project, raising city's reimbursement to Pittsburgh Water to nearly $993,000."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.","Council recommends an additional $382,000 for the Haverhill road and stormwater project."
"Council approves $52,962 subscription payment to Pennsylvania Municipal League","Council approves amended reimbursement agreement with Pittsburgh Water for Haverhill Project costs totaling $992,628.77"
Council approves agreement allowing Pittsburgh and PennDOT to share equipment and services at no cost.,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription."
"Council introduces a resolution to pay the Pennsylvania Municipal League $52,962.24 for a one-year subscription.",City Council recommends an agreement for the City and PennDOT to share equipment and maintenance services.
"Council approves $52,962 subscription payment to Pennsylvania Municipal League",Council approves agreement with PennDOT to share in-kind services at no cost to city
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.
Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,"City to pay $72,500 for overdue damage prevention debts."
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"City to pay $72,500 for overdue damage prevention debts.",Council reviews sale of two Hill District lots to the Pittsburgh Land Bank.
Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600."
"City to pay $72,500 for overdue damage prevention debts.","City Council reviews a proposal to sell a vacant lot on Island Avenue for $3,600."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500."
"City to pay $72,500 for overdue damage prevention debts.","Urban Redevelopment Authority to sell a North Aiken Avenue property to the Land Bank for $48,500."
"Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council reduces Penn Avenue lighting project grant from $461,856 to $450,000 and authorizes spending."
"Council introduces legislation to accept a $450,000 grant for the Penn Avenue lighting project.","City to pay $72,500 for overdue damage prevention debts."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council refers resolution to increase Fort Pitt Park design contract by $115,170 to committee."
"City to pay $72,500 for overdue damage prevention debts.","Additional $115,170 proposed for Fort Pitt Park improvement designs."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"Council moves $33,292 from salaries to employee benefits for tuition reimbursement program.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
Council introduces a resolution to transfer salary funds for staff tuition reimbursement.,"City to pay $72,500 for overdue damage prevention debts."
"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
City accepts $500 donation from Pittsburgh Cultural Trust to buy smoke detectors for residents.,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
City accepts a $500 donation from the Pittsburgh Cultural Trust to purchase smoke detectors for residents.,"City to pay $72,500 for overdue damage prevention debts."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors
Council approves 56 additional professional services contracts for city departments worth up to $1.5 million each annually.,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
City Council authorizes 56 additional contracts for on-call professional services.,"City to pay $72,500 for overdue damage prevention debts."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",Council approves 56 additional open-end professional services agreements with vendors
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council approves $13,500 purchase of diagnostic tool to repair city vehicles."
"City to pay $72,500 for overdue damage prevention debts.","Council approves purchase of a nearly $13,500 diagnostic tool for Public Works vehicles."
"Council approves $13,499 purchase of Mac Scan tool for DPW vehicle repairs","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council approves $35,025 for portable restroom rentals and servicing in city parks."
"City Council approves $35,025 for portable restrooms in city parks.","City to pay $72,500 for overdue damage prevention debts."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","Council approves $35,025 payment to United Rentals for portable restrooms in city parks"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council approves $11,424 contract with Cycom Data Systems to maintain Law Department's case management software."
"City to pay $72,500 for overdue damage prevention debts.","Council approves an $11,424 one-year contract for Law Department software support."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","Council approves $11,424 contract with Cycom for CityLaw software maintenance and upgrades"
"Council approves $125,000 in state grant funds to buy recycling vehicles for Public Works.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"City to pay $72,500 for overdue damage prevention debts.","Council approves $125,000 in state grant funding to purchase vehicles for the recycling program."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","Council approves $125,000 transfer for new recycling vehicles through state grant"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council approves $17,204 payment to renew Pittsburgh's membership in flood control authority for 2025."
"City to pay $72,500 for overdue damage prevention debts.","City Council approves $17,204 to renew flood control authority membership."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","City Council approves $17,204 payment to renew membership in Chartiers Valley Flood Control Authority for 2025"
Council approves agreement with Pittsburgh Downtown Partnership to improve Market Square at no cost to the City.,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
City Council authorizes a no-cost agreement with the Pittsburgh Downtown Partnership for Market Square improvements.,"City to pay $72,500 for overdue damage prevention debts."
Council approves agreement with Pittsburgh Downtown Partnership to improve and maintain Market Square at no cost to the City,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"City to pay $72,500 for overdue damage prevention debts.",City Council calls for future discussions on the Oakland Business Improvement District and the affordable housing bond.
Council approves post-agenda meetings on Oakland BID and Affordable Housing Bond,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"City Council approves accepting $316,367 settlement for damaged Finland Street Pedestrian Bridge.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"Council committee recommends accepting $316,367 settlement for Finland Street Pedestrian Bridge.","City to pay $72,500 for overdue damage prevention debts."
"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",Council approves three-year agreement with USI Insurance Services to broker city insurance policies at no direct cost.
Council recommends switching to USI Insurance Services as the city's new insurance broker.,"City to pay $72,500 for overdue damage prevention debts."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",City Council approves no-cost agreement with USI Insurance Services for three-year insurance brokerage contract
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",Council approves over $1 million in additional federal funding for Liberty Avenue road project.
"City to pay $72,500 for overdue damage prevention debts.",Council committee recommends adding $1.06 million in federal funds for a Liberty Avenue project.
Council approves $1.06 million increase for Liberty Avenue project with new federal funding,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"Council holds resolution to sell city-owned property on Itin Street for $3,755 until April.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
City Council delays a decision on the sale of a 23rd Ward property for green space and parking.,"City to pay $72,500 for overdue damage prevention debts."
Council holds resolution on sale of 23rd Ward property acquired at tax sale for further review,"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.","Council approves $32,750 contract for company to create police recruitment videos using grant money."
"City to pay $72,500 for overdue damage prevention debts.","A City Council committee recommends spending $32,750 in grant money on new police recruitment videos."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","Council approves $32,750 contract with Kicker, Inc. for police recruitment video production"
"Council recommends accepting reduced $250,000 state grant for Smallman Street Complete Street Project.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"City to pay $72,500 for overdue damage prevention debts.","City accepts a reduced $250,000 state grant for the Smallman Street project."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",Council approves amended grant and funding for Smallman Street Complete Street Project
Council recommends increasing Liberty Avenue highway safety project funding by $5.4 million to $12.9 million total.,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"City to pay $72,500 for overdue damage prevention debts.",City recommends a $5.4 million funding increase for the Liberty Avenue safety project.
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program
"Council approves additional $317,588 for South Negley Avenue Bridge Project contract with WSP USA.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"City to pay $72,500 for overdue damage prevention debts.","Council approves an additional $317,588 in costs for the South Negley Avenue Bridge project."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge project
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",Council approves amended zoning changes for Bakery Square expansion with affordable housing requirements and schedules public hearing.
"City to pay $72,500 for overdue damage prevention debts.",Bakery Square rezoning plan with new affordable housing moves forward to a public hearing.
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",Council amends and holds zoning map changes for public hearing in Bakery Square area
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",Council holds resolution for Pittsburgh Regional Transit agreement on new Downing Street steps for six weeks.
"City to pay $72,500 for overdue damage prevention debts.",Council holds vote on Downing Street steps agreement for six weeks.
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",Council holds resolution on cooperation agreement for Downing Street steps for six weeks
"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"City to pay $72,500 for overdue damage prevention debts.","Council recommends an additional $93,000 for vehicles and equipment for the Office of Community Health and Safety."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts","Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety"
"Council approves increased funding for Haverhill Project, raising city's reimbursement to Pittsburgh Water to nearly $993,000.","City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls."
"Council recommends an additional $382,000 for the Haverhill road and stormwater project.","City to pay $72,500 for overdue damage prevention debts."
"Council approves amended reimbursement agreement with Pittsburgh Water for Haverhill Project costs totaling $992,628.77","Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts"
"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",Council approves agreement allowing Pittsburgh and PennDOT to share equipment and services at no cost.
City Council recommends an agreement for the City and PennDOT to share equipment and maintenance services.,"City to pay $72,500 for overdue damage prevention debts."
"Council approves $72,500 payment to Pennsylvania Public Utility Commission for delinquent 811 call debts",Council approves agreement with PennDOT to share in-kind services at no cost to city
Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,"Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290."
Council reviews sale of two Hill District lots to the Pittsburgh Land Bank.,Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,Council approves land sale contract between Urban Redevelopment Authority and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.
Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,"City Council reviews a proposal to sell a vacant lot on Island Avenue for $3,600."
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,"Council approves sale of land on Island Avenue to Island Avenue Holdings LLC for $3,600 plus costs"
"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.
Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,"Urban Redevelopment Authority to sell a North Aiken Avenue property to the Land Bank for $48,500."
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,"Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank for $48,500"
Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,"Council reduces Penn Avenue lighting project grant from $461,856 to $450,000 and authorizes spending."
Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,"Council introduces legislation to accept a $450,000 grant for the Penn Avenue lighting project."
"Council approves reducing Penn Avenue Lighting grant to $450,000 and authorizes related spending",Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
"Council refers resolution to increase Fort Pitt Park design contract by $115,170 to committee.",Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.
Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,"Additional $115,170 proposed for Fort Pitt Park improvement designs."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,"Council moves $33,292 from salaries to employee benefits for tuition reimbursement program."
Council introduces a resolution to transfer salary funds for staff tuition reimbursement.,Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,"Council approves $33,292 budget transfer for tuition reimbursement in City Council districts"
City accepts $500 donation from Pittsburgh Cultural Trust to buy smoke detectors for residents.,Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.
City accepts a $500 donation from the Pittsburgh Cultural Trust to purchase smoke detectors for residents.,Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.
City receives $500 donation from Pittsburgh Cultural Trust for smoke detectors,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward
Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,Council approves 56 additional professional services contracts for city departments worth up to $1.5 million each annually.
Urban Redevelopment Authority seeks to cancel its acquisition of a 15th Ward property.,City Council authorizes 56 additional contracts for on-call professional services.
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,Council approves 56 additional open-end professional services agreements with vendors
Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,"Council approves $13,500 purchase of diagnostic tool to repair city vehicles."
