Headline 1,Headline 2
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council refers ordinance clarifying residential parking permit signage rules to committee
"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,"City to pay $72,500 for overdue 811 utility call debts."
Council refers ordinance clarifying residential parking permit signage rules to committee,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts"
Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property,Council refers ordinance clarifying residential parking permit signage rules to committee
"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.",Council introduces legislation to clarify rules for posting residential parking permit signs.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.
"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500",Council refers ordinance clarifying residential parking permit signage rules to committee
Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,Council introduces legislation to clarify rules for posting residential parking permit signs.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,Council refers ordinance clarifying residential parking permit signage rules to committee
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.
Council introduces legislation to clarify rules for posting residential parking permit signs.,Council approves a public hearing to gather resident ideas on the city's trash problem.
Council approves public hearing to address citywide trash problem,Council refers ordinance clarifying residential parking permit signage rules to committee
"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,Council committee recommends canceling a property sale and refunding the buyer's hand money.
Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property,Council refers ordinance clarifying residential parking permit signage rules to committee
Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,Council introduces legislation to clarify rules for posting residential parking permit signs.
City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases,Council refers ordinance clarifying residential parking permit signage rules to committee
"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims."
Council refers ordinance clarifying residential parking permit signage rules to committee,"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms"
"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.
"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds",Council refers ordinance clarifying residential parking permit signage rules to committee
Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,Council introduces legislation to clarify rules for posting residential parking permit signs.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council holds resolution on waste operations agreement with University of Pittsburgh for one week
Council committee approves changes to residential parking permit signage rules.,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,A city committee recommends allowing residential parking permit signs in some non-residential areas.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council approves ordinance clarifying residential parking permit signage rules
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council approves expansion of residential permit parking program in South Side Flats.
Council approves expanding the residential permit parking area in the South Side Flats.,Council introduces legislation to clarify rules for posting residential parking permit signs.
Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats,Council refers ordinance clarifying residential parking permit signage rules to committee
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.
City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.,Council introduces legislation to clarify rules for posting residential parking permit signs.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council holds resolution to fund non-congregate shelter services with Auberle for five weeks
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council approves sewer plan for McKee Place apartment development after correcting zip code error.
Council introduces legislation to clarify rules for posting residential parking permit signs.,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.
Council approves amended sewage plan revision for 296 McKee Place with corrected zip code,Council refers ordinance clarifying residential parking permit signage rules to committee
Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council approves sewage plan revision for South Side townhome development at no cost to the city.
Council recommends a sewage plan update for a new townhome development on the South Side.,Council introduces legislation to clarify rules for posting residential parking permit signs.
Council refers ordinance clarifying residential parking permit signage rules to committee,Council approves sewage plan revision for 215 South 21st Street development at no cost to city
"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.",Council introduces ordinance to clarify parking permit sign posting rules in residential areas.
Council introduces legislation to clarify rules for posting residential parking permit signs.,"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200."
Council refers ordinance clarifying residential parking permit signage rules to committee,"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment"
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council refers resolution to expand South Side Flats residential permit parking area to committee.,"Council refers $40,000 immigration legal services contract to Finance and Law Committee."
"Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.",Legislation introduced to expand residential permit parking in the South Side Flats.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,"Council authorizes $40,000 contract for immigration legal services with Fragomen firm"
Council refers resolution to expand South Side Flats residential permit parking area to committee.,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.
Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.,Legislation introduced to expand residential permit parking in the South Side Flats.
Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
Council refers resolution to expand South Side Flats residential permit parking area to committee.,"Council approves reduced $450,000 state grant for Penn Avenue lighting project."
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",Legislation introduced to expand residential permit parking in the South Side Flats.
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements."
"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council refers resolution to expand South Side Flats residential permit parking area to committee.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
Legislation introduced to expand residential permit parking in the South Side Flats.,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription."
"Council approves $52,962 payment for Pennsylvania Municipal League subscription",Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,"City to pay $72,500 for overdue 811 utility call debts."
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts"
Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property
"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
Council refers resolution to expand South Side Flats residential permit parking area to committee.,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600."
"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.",Legislation introduced to expand residential permit parking in the South Side Flats.
Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council refers resolution to expand South Side Flats residential permit parking area to committee.,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500."
City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,Legislation introduced to expand residential permit parking in the South Side Flats.
"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500",Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council refers resolution to expand South Side Flats residential permit parking area to committee.,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.
Legislation introduced to expand residential permit parking in the South Side Flats.,Council approves a public hearing to gather resident ideas on the city's trash problem.
Council approves public hearing to address citywide trash problem,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",Council refers resolution to expand South Side Flats residential permit parking area to committee.
Council committee recommends canceling a property sale and refunding the buyer's hand money.,Legislation introduced to expand residential permit parking in the South Side Flats.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property
Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,Legislation introduced to expand residential permit parking in the South Side Flats.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases
"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims."
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms"
"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.
"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds",Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council refers resolution to expand South Side Flats residential permit parking area to committee.,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.
Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,Legislation introduced to expand residential permit parking in the South Side Flats.
Council holds resolution on waste operations agreement with University of Pittsburgh for one week,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council refers resolution to expand South Side Flats residential permit parking area to committee.,Council committee approves changes to residential parking permit signage rules.
A city committee recommends allowing residential parking permit signs in some non-residential areas.,Legislation introduced to expand residential permit parking in the South Side Flats.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council approves ordinance clarifying residential parking permit signage rules
Council refers resolution to expand South Side Flats residential permit parking area to committee.,Council approves expansion of residential permit parking program in South Side Flats.
Legislation introduced to expand residential permit parking in the South Side Flats.,Council approves expanding the residential permit parking area in the South Side Flats.
Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.
Council holds resolution to fund non-congregate shelter services with Auberle for five weeks,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
Council approves sewer plan for McKee Place apartment development after correcting zip code error.,Council refers resolution to expand South Side Flats residential permit parking area to committee.
Legislation introduced to expand residential permit parking in the South Side Flats.,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council approves amended sewage plan revision for 296 McKee Place with corrected zip code
Council refers resolution to expand South Side Flats residential permit parking area to committee.,Council approves sewage plan revision for South Side townhome development at no cost to the city.
Council recommends a sewage plan update for a new townhome development on the South Side.,Legislation introduced to expand residential permit parking in the South Side Flats.
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,Council approves sewage plan revision for 215 South 21st Street development at no cost to city
Council refers resolution to expand South Side Flats residential permit parking area to committee.,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties."
Legislation introduced to expand residential permit parking in the South Side Flats.,"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200."
Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment"
"Council refers $40,000 immigration legal services contract to Finance and Law Committee.",Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,"Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services."
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,"Council authorizes $40,000 contract for immigration legal services with Fragomen firm"
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.
Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
"Council approves reduced $450,000 grant for Penn Avenue lighting project",Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170."
"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription."
"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,"Council approves $52,962 payment for Pennsylvania Municipal League subscription"
"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
"City to pay $72,500 for overdue 811 utility call debts.",Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.
Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290."
Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,"City Council approves the sale of a URA-owned property on Island Avenue for $3,600."
Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.
"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500",Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.
City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,Council approves a public hearing to gather resident ideas on the city's trash problem.
Council approves public hearing to address citywide trash problem,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Council committee recommends canceling a property sale and refunding the buyer's hand money.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.
City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room."
"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.",Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms",Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,"Council approves city's application for $250,000 state grant to fix Emerald View Trail."
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds"
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,Council holds resolution on waste operations agreement with University of Pittsburgh for one week
Council committee approves changes to residential parking permit signage rules.,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
A city committee recommends allowing residential parking permit signs in some non-residential areas.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,Council approves ordinance clarifying residential parking permit signage rules
Council approves expansion of residential permit parking program in South Side Flats.,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Council approves expanding the residential permit parking area in the South Side Flats.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.
City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.
Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,Council holds resolution to fund non-congregate shelter services with Auberle for five weeks
Council approves sewer plan for McKee Place apartment development after correcting zip code error.,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.
Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.
