,sentence,classification
49,"that's something we'd really like to, that's something we would really like to be allowable by the state and that currently isn't authorized for pittsburgh.",i
50,i'm so looking into what kind of advocacy efforts we need to do to make sure we have all tools in the toolbox for enforcement.,i
51,"oh sorry, we've also been joined by councilman gross as well.",i
52,thank you.,i
53,"moving on to our next subcommittee, we established a budget subcommittee that includes members from the mayor's office, council, omb, domi and dcp, and a few things we've been working on on the budget subcommittee in particular is around the grants process: working to improve the process internally, making sure that we have very simple things like a centralized sharepoint tracker for grants, that we are setting strict go or no go deadlines so that we are being efficient and effective with our grant applications.",i
54,we've also engaged domey's complete streets advisory group around the budget and we will continue to do so.,i
55,"last year we engaged with them around the draft budget and they came back with recommendations for us, which was much appreciated.",i
56,"we've also been able to secure millions of dollars in funding for vision zero initiatives, whether through grants or through the regular operating in capital budgets for things like automated red light enforcement, sidewalks and traffic calming.",i
57,"our next subcommittee that we established is education, engagement in communications, and this one is probably our largest group with representatives from the mayor's office, council, omb, domi, public safety, city planning, allegheny county.",i
58,we have been doing a number of initiatives through this subcommittee.,i
59,"first and foremost, we wanted to engage students and their families.",i
60,"so, building upon domey's pre-existing safe routes to school program, we partnered with the safe routes to school coordinator to create trifolds for walk and roll to school day in the fall so that we could educate kids and their families about safety and safety in the school district.",i
61,"and we've also engaged with the education engagement in communications and the school district so that we could educate them about safe travel when they're getting to school, to and from school, as well as general road safety.",i
62,"so some of our members of our committee were stationed outside those schools so that when parents were coming up to drop their kids off, we could have conversations with them and hand out information.",i
63,"we'll be continuing to do that in the spring as well and working with them during safe routes to school safety week, which happened just last month.",i
64,to create vision zero pledges for the.,i
65,"We've also recently launched a community safety agreement which is available on the Engage page- the Vision Zero Engage page- that commits residents and people traveling through our city to driving safely, following all traffic signals and stop signs, wearing your seat belt, And that is paired with statistics about safe driving.",i
66,"So people may not know that a majority of our crashes, or a decent number of our crashes, if not the majority, are caused by red light running.",i
67,I think it's around 35%.,i
68,So things like that that bring light to the issue but also have an action item for people to take to become further involved in Vision Zero and do their part.,i
69,We're going to be continuing to work with the Complete Streets Advisory Group.,i
70,"as they get up and running, They're going to be working with their new member chair.",i
71,We're going to use them as a sounding board as well for all of our work and initiatives.,i
72,Our Community Ambassador Program is currently in progress.,i
73,We are working to execute our Safe Streets for All grant agreement with federal DOT.,i
74,"So once that is executed we can begin that process of an RFP going out for our projects listed within that grant And then we can start to work with our community ambassador program, which will be basically sending folks out to priority neighborhoods, making sure that that education piece is really being worked on in the neighborhoods that are most needed.",i
75,We plan to launch a safe driver training for city staff.,i
76,We are looking to make it required for staff that have to drive for their jobs.,i
77,"We are just starting that process now of what that would look like, But we'd also love to open up for a new driver.",i
78,"We're going to open it up to other staff who drive, just not for work to make sure that we are all on the same page when it comes to traffic safety and driving safety.",i
79,"And finally, a community traffic calming toolkit.",i
80,We'd like to work on this to empower residents to be able to make quick build traffic calming in their neighborhood.,i
81,So we have actively applied for a grant for this opportunity.,i
82,"We're waiting to hear back And, depending on the results of that, we'll hopefully be looking into launching that this year.",i
83,And I should note we're joined by Councilwoman Strasburger.,i
84,"Thanks, Finally, our last subcommittee includes the Fatal Crash Response Team.",i
85,"So that includes a number of our departments: the mayor's office, the police collision investigation unit, DOMI, OMB, DPW, the SPC and the county or PennDOT, depending on whose road it is.",i
86,So for this subcommittee it's a little bit different than the rest.,i
87,We only meet when there is a fatal crash.,i
88,"Within two weeks of a fatal crash occurring, we'll go out and complete a site visit And we have a standardized process.",i
89,"So at those site visits we have a questionnaire basically that we fill out And to make sure that the data that we are collecting for each fatal crash is consistent, we are making sure that we are communicating our updates on the Vision Zero Engage page in a formalized way, as well as our public safety information officers communicating each time a fatal crash occurs that our team will be going out and completing a site visit.",i
90,"Since the launch of this group, we've completed six site visits in 2024 and four so far in 2025.",i
91,We are now in the process of completing three site visits in 2021.,i
92,So we are now in the process of completing three site visits in 2021.,i
93,I just wanted to share a quick example because I think it's easier to understand when you have visuals.,i
94,"So this is one of the ones we did early last year, early on in our process, at the Boulevard of the Allies and Marion Street, just down the street from us.",i
95,"We had two fatal crashes here last year And, as you can see on the left-hand side, that is the before.",i
96,So you can see that left turn lane.,i
97,That's actually an emergency-only lane.,i
98,"There is signage up, but the pavement markings only showed just a white diamond, which may have been confusing to folks.",i
99,"So what we did was work with PennDOT because it's their road, And we worked with them to get some yellow hatching to make it very clear that you should not be using this left turn lane as a turn lane or a turnaround.",i
100,We got increased signage up and we haven't seen any fatal crashes since.,i
101,"So we're going to go ahead and get started, Thank you.",i
102,This is also just a local example of Paulson and Rowan Street.,i
103,We had seen a fatal crash here.,i
104,Somebody driving- we believe that he may not have known there was a curve.,i
105,"So what we did was make sure that there was signage there to really make clear that you need to slow down, Do not speed through this intersection because there is a curve ahead.",i
106,So just making simple fixes can make it much safer.,i
107,"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i
108,"And just to sum up, last year, which was year one of the initiative, we did see a decrease in traffic fatalities last year, with 17 total fatal crashes.",i
109,"Like I said, we know this number is 17 too many.",i
110,"It needs to be zero, But we're hoping this is on the right track And we know that the work is just beginning and it's not going to happen overnight overnight, but we feel we are making progress, breaking down barriers to coordination and we're looking forward to further collaboration with agencies, organizations and community members to achieve our goal.",i
111,"going into a little bit about our upcoming goals, we will be hosting a vision zero summit, a one-day summit with bike pittsburgh in fall of 2025, which we're really looking forward to.",i
112,this will be a great opportunity for people to come out and learn more about the work we're doing and help kind of plan for the year ahead.,i
113,we'll be working on drafting and submitting a vision zero budget ask for 2026.,i
114,"that's cross-departmental, so it's not all just going to come from one department, because this is truly a cross-departmental issue.",i
115,we'll be expanding the reach of the fatal crash response group by reviewing the data and the data that we're going to be using to help us with that.,i
116,"and we're also doing serious injury crashes and high crash police zones, starting with zone 2 with the intent to expand city-wide.",i
117,so making sure we're solving for the problem of that data lag by meeting on a more quarterly basis with commanders who can tell us what's going on in their zones.,i
118,"and finally, we'd like to establish a subcommittee that is focused on policy and legislative priorities so that we can make sure we're doing everything in our power to create safer streets in pittsburgh.",i
119,"so we do have the memo up on the vision zero engage page, along with our community safety agreement, which we encourage everybody listening to fill out, and i believe the memo will outline all of our action items.",i
120,"they are color coded and we do have a majority of them that are either completed or on track for 2025 and for the rest of them, we're looking forward to getting those on their way.",i
121,thank you great.,i
122,thank you very much.,i
123,does anyone else have anything to add?,i
124,before we move to to questions from members?,i
125,"no, okay, thank you.",i
126,i want to thank you everyone for being here today.,i
127,thank you for that a very detailed presentation.,i
128,"my first question is: you know, whether here locally or nationally, what is your role in this situation?",i
129,i think that is a critical question.,i
130,"yeah, thank you.",i
131,are there successful examples and best practices around education and advocacy programs?,i
132,"The reason why I ask that question, as Angie knows, I constantly are sending emails over to Domi from the numerous traffic common requests we get from residents all over the city, And I know there used to be the old saying: everybody wants a chicken in every pot and a cop on every block.",i
133,"I think nowadays everybody wants a speed bump on their street And we know that it's just not conceivable to have a speed bump on every single street And we can only do so much from where we sit to manage people's driving behavior, And I try to get that across to our residents.",i
134,"I just got an email, actually this morning, about a near accident over in the Friendship community where someone was speeding and almost hit a car, Hit a family, And I know that as much as we would love to be able to do traffic calming on every single block in the entire city, we just know that's not reality.",i
135,But can you speak to- or you or anyone else on the panel can speak to- successful education and advocacy programs that have shown the change of behavior over time?,i
136,"Because unless people drive more responsibly, there's only so much that we can do around traffic calming and interventions we can make.",i
137,So I'm just curious to know if you have any thoughts on that.,i
138,I'd like to go ahead and start to address that comment.,i
139,"So this is Angie with Domi And I have to say exactly So that is why we are doing a Vision Zero initiative, Because we know that roadway safety is not going to be end all be all roadway design or infrastructure solutions.",i
140,"We know that we have to get at the behavior of everyone, Whether they are driving, Whether they are walking, Using a mobility assisted device Or on a bike or other sort of conveyance.",i
141,"And so I think we did look at best practices And what we've seen, and we are by no means the first city to do a Vision Zero program.",i
142,I think we have actually really benefited in some ways from coming along a little bit later in the game.,i
143,"We've seen these policies and programs take root Nationally, internationally And even within the state of Pennsylvania.",i
144,So we're here to really say these things work.,i
145,"Safety can't wait From the Domi perspective, But we need residents, visitors, Everybody in the city of Pittsburgh, to understand the importance of roadway safety and rules of the roads.",i
146,"But we also want them to drive with compassion And to think about other, the experience of others, as they're moving through our city.",i
147,"And the only thing that I can say is that, you know, we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time And we've been here for a long time, And the only way we're going to accomplish that is by working holistically And beyond just a Department of Transportation.",i
148,"So I have been so gratified and really pleased with, I think, the diversity of representation we've had from various city and external departments.",i
149,"You know, having our Safer Together coordinators, who receive a lot of those same 311s that ultimately come to Domi, Having parking authority who's got the sort of enforcement capacity and has to deal with.",i
150,"you know, processing violations for some of these types of behaviors really starts with getting everybody in the room and understanding what our respective roles are.",i
151,"And then, I think, more outlets like this so that members of council and, by extension, the public can see the work that we're doing, that we're collaborating, that we know the solutions go beyond just in small speed humps.",i
152,"And so we've, we plan on doing a number of behavioral or more education campaigns.",i
153,"One of the ones that I was able to take a part of this year was the safety pledge that our education and communications committee put together with Harriet Jackson, who's our Safe Routes to School coordinator.",i
154,"We were at Propel Northside for safety week, talking to- I believe it was- fifth graders And we walked them through the safety pledge And they all signed the pledge and got a seat Sticker that they would, you know, follow the rules of the road and look out for others, So that safety pledge would not have happened.",i
155,"We would not have had that material to present to our Northside Propel scholars if Vision Zero hadn't convened, if we weren't able to use both our education committee and our Complete Streets Advisory Group as external reviewers of the materials.",i
156,"So that, I think, is just one example of something that we were able to do sort of on the education piece And if there's anything that anyone else wants to add.",i
157,"But, Panini, you go first, Councilman, to answer your question.",i
158,"yes, Education is a proven safety counter measure.",i
159,So we actually have a National Highway Transportation Safety NHTSA.,i
160,"They do a lot of research on that And what they have seen is whenever we do targeted education it works, And that's pretty much what we are trying to do here.",i
161,"But the goal is you have to identify that focus group that you are going for, that education particular, And the messaging needs to be very clear and focused If we can follow that.",i
162,"yes, Those education campaign number of cities in California and also in Maryland actually have seen decrease in their crashes just by safety campaign and awareness creating around school sparks That type of scenario.",i
163,"I also like the things in the plan that maybe don't jump out as education campaigns, but that, I think, would help as education campaigns.",i
164,"I mean, I think one of the things that I've often been struck by is the kind of difference in what, shall I say, community.",i
165,I'm trying to think of the right word here.,i
166,"When you talk to people in our neighborhoods about gun violence and, right, the community has a pretty high level of education about that and a pretty high level of wanting to engage and to think about that themselves and so on and so forth.",i
167,"right, It's a little bit different, I think.",i
168,still with crashes.,i
169,"I mean, Lee told me like 90% of roadway fatalities happen between a person and somebody who lives really close by to them, really close by.",i
170,I don't think that's really in the consciousness of people who live in our neighborhoods and who drive the cars.,i
171,"right, So there's a difference in the feeling about whether it's a community problem or not.",i
172,And so one of the things that I like that's in this plan are the community intervention.,i
173,"I've forgotten what you call them exactly, but I can put a planter on the corner here, right, I can.",i
174,"maybe we're waiting for Domi or whoever to do a speed bump, but in the meantime we can do what's in the toolkit to make the corners less blind, to do those kinds of things, And I think of that as much as anything.",i
175,"It will also prevent roadway crashes, but it's also a way to make sure that we're not just driving around in a car, but we're also a way for a council person to get out into their neighborhood and say: let's do a thing here, Let's get people invested in community road safety, which I also think will then start to penetrate people's consciousness in a way that is a little bit different than saying to a particular driver: hey, slow down.",i
176,Thank you for that.,i
177,I just have a couple other questions.,i
178,My next question was about just getting a little bit more insight on the collaboration you know with the state and PennDOT.,i
179,I know in the past there's been a perception that it's difficult.,i
180,"I actually had a meeting with the Lieutenant Governor last time I was in Harrisburg and we had a conversation, you know, with PennDOT about traffic calming on state roads.",i
181,"It's an issue that I talk about a lot with Councilwoman Gross and Councilwoman Strassburger because we share so many state roads, whether it's, you know, Penn Avenue or Fifth Avenue between District 7, 8 and 9, And I had a really great conversation.",i
182,I sent them over a spreadsheet.,i
183,"I sent them a list of the state roads that were, you know, in the city that have been an issue and they're taking a look at that.",i
184,"But I would like to hear more about, you know, ways that you know we could work closer, you know, with PennDOT, because so many of our primary roads in the city are state roads And you know I get calls from constituents: oh I can't.",i
185,"you know we, you know, put speed bumps all down Penn Avenue between Braddock and Fifth Avenue.",i
186,"I'm like state road, like we can't, you know.",i
187,So I would love to hear more about the collaboration with the state and how us as councilmembers can be helpful in that.,i
188,"particularly, going to Harrisburg and advocating on our behalf, Councilman, you brought, I would say, the elephant in the room.",i
189,"So, state route- we have only 12% state route in our city roadway- the boundary- And they're responsible closely nearly half of the crash that happen every year in the city.",i
190,Five of our top ten high-severity crash corridor that we have.,i
191,These are all state-owned.,i
192,In the last couple of years we actually did make some really good progress when coordinating with the state.,i
193,"especially, you know, the Safe Street for All grant played a huge role.",i
194,We are partnering with the state and also the county to develop our first Allegheny County Safety Action Plan And that also create our partners in the MPO Southwestern Pennsylvania Commission.,i
195,They have started another regional safety action plan.,i
196,"So, whatever you create this type of avenue, that's where you get to have those discussion, talk about whatever going on in the east side and what type of issue they are having on their side, The way we can operate- unfortunately for our state partners they have to cross a lot more red tape to make those things work- And also the way we envision the project.",i
197,"it can be low cost, quick bill, just a flex post and paint work.",i
198,When they're addressing health care- and this is a you know they're at the state level And they're at the state level We are working with them.,i
199,So you know we work with them for a long time And we do a lot of work for them.,i
200,"So I think the state and state you know once we have the opportunity, we are working on it.",i
201,they're addressing their state road.,i
202,it's really difficult to bring the safety benefit just by flex post for a state road.,i
203,"Simply, you have a very high volume, So this type of measure doesn't work.",i
204,"So whenever they try to undertake their corridor, it gets really expensive.",i
205,They have to go through a lot of red tape procedure.,i
206,They have a lot of oversight and process that needs to go through.,i
207,So that's where a lot of hang up happen.,i
208,But Stephanie already brought up that they are in our fatal crash response team and we're really glad the way they're collaborating with us.,i
209,Things are getting better.,i
210,"We get to create number of avenue through these plans where we get to talk with each other, understand how we can support each other.",i
211,But the truth of the matter is there's still a long way to go on that avenue.,i
212,One more thought: I think where we're making good progress is also on the road.,i
213,So what is not yet built with PennDOT?,i
214,So we've got this existing set of roadways And I think probably none of our roads were really built with safety in mind first.,i
215,"Whether we built them or PennDOT built them, that's not what people were thinking about.",i
216,It is what people are thinking about now.,i
217,"And so the conversations with PennDOT where I feel like all right, we're getting somewhere is when maybe PennDOT will say: what if we added a lane here, That would reduce congestion?",i
218,"And of course we immediately think, nah, no, That would increase speed And that we can have those conversations And we can say: listen, how bad is the congestion Like?",i
219,what are you really talking about here?,i
220,"Because every time you let people go faster, we know what's going to happen.",i
221,And there's a real openness.,i
222,I think there as there is a real openness to building multimodal facilities into their projects and so on.,i
223,"So I think there's the trying to correct for the errors of the past, which is, as Pini is saying, pretty tricky, But there's a lot of hurdles that we have to get through.",i
224,And then there's the what are we doing going forward?,i
225,And I think there we've made a tremendous amount of progress with PennDOT.,i
226,And you said: what's the percentage of crashes that are attributed to state roads?,i
227,So 12-person roadway responsible for nearly half of the total crash.,i
228,"Year to year it bounced from 44% to 48%, which year you're looking at?",i
229,"Wow, Thank you.",i
230,"And my final question was: I know it was shared on your Yeah, Slot deck- that last year was 17 crashes.",i
231,What was?,i
232,and I said it was a decrease.,i
233,What was it down from?,i
234,What was the prior number?,i
235,"So in 2023, it was 20.",i
236,2022 had been the highest for the last couple of years with 24.,i
237,"OK, Thank you.",i
238,"That's also my question, Chair.",i
239,"Great Thank you, Councilwoman Gross.",i
240,"Thank you, I don't have That many questions.",i
241,I am grateful for the work that you're doing.,i
242,"I appreciate that we have got people kind of across multiple departments here that are working on the collaborative, So to have set the goal, to have convened the right people at the table.",i
243,it seems like we're already seeing results.,i
244,"We all know that we have a backlog of traffic calming requests, right.",i
245,"I always like to give a shout out to the constituents of District 7 when, back in 2018, not only did they many, many years ago have, you know, they kind of first trial speed humps on the alley part of Goldway, which was preceded by time on council, But then we kind of we got the newer speed bumps, I think that are that were kind of the first ones that Domi had done on both on Millwood and then following up that on Edmond and Bloomfield, And that was, you know, a concerted consensus building, And so I think that's a really good kind of exercise with Domi that the constituents were very, very clear that they wanted, And I think it might even have been on the record.",i
246,when we were discussing it at the table here.,i
247,Council members were like that's.,i
248,you're crazy.,i
249,You know you shouldn't do that.,i
250,People will hate it.,i
251,"But, as we see, my constituents were right.",i
252,"You know, sometimes you got to let the people lead And now we have those requests coming from all across the city.",i
253,But it is.,i
254,"I do appreciate that you're pairing that communications and education, because people really, just they really need to slow down And we would have a lot less fatalities, certainly less injuries, and not have to do so much of the infrastructure changes if people would just drive slowly.",i
255,So I applaud all of your work.,i
256,I don't have any questions.,i
257,"Thank you, Madam Chair, Great.",i
258,"Thank you, Councilwoman.",i
259,"Thank you, Madam Chair, And thank you all And apologies for walking in late, But I think I've read the memo, or I was reviewing it, And I think I know a lot of what's in here.",i
260,"It's been a pleasure to have my office take part in the Vision Zero Task Force as much as we can And really grateful to your work, for especially the multidisciplinary, multi-departmental nature of it is the thing that makes it work.",i
261,"I've seen when it's, you know, when it preceded Domi, when it was like just DPW, like one person, and then it was, it was just Domi, And then you weren't really syncing up public safety and parking authority with Domi.",i
262,It really is the thing that makes the difference.,i
263,"I saw that in person while attending one of- unfortunately attending- one of the fatal crash response team meetups And even just kind of daylighting for multiple people who don't spend a lot of time in like the upper Pitt campus, you know upper Oakland area, realizing, oh my gosh, this is probably the busiest area of the city traffic-wise.",i
264,"Yeah, It's like.",i
265,"oh, it's always at 530 in the morning, Like okay, let's really focus on this, Let's really take this seriously And let's work with our partners at Pitt And let's work with UPMC on, you know, their hospital entrances, And it really kind of just highlighted for me how important the multi-departmental part of this is.",i
266,"So really grateful, And I mean I don't have too many questions either.",i
267,I think we're all on the right track here.,i
268,"I am curious, though: like when do we expect the pilot program, the pilot program around the city, the city's public health program around?",i
269,"oh, red light, I think I understand- Around neighbors, residents, kind of doing their own interventions and having that ready to roll out?",i
270,"Because, while I think that, you know, the plus side of the fatal crash response team is to be able to focus in on a really harmful area and make almost immediate upgrades, while we're telling them we have long-term- you know we're going to have to do this.",i
271,We do have long-term upgrades to make.,i
272,that might cost a little bit more.,i
273,The hard part is this nature of everyone: has an issue on their street or in their neighborhood and don't feel like they have the power to take action or do anything.,i
274,"It's like they're at the mercy of where they are on the list and if it's approved by you know the growing, the overburdened staff, Because we have this growing list of areas that people are concerned about.",i
275,"So, yeah, when will they be able to take action by putting the planter there or following the instructions from thecionalists to do that?",i
276,"Yeah, So in terms of the kind of enforcement combination, I can also address the other one, but for the education and enforcement, I'm working on getting scheduled at all the zone council meetings.",i
277,"I actually did attend zone four, which was great.",i
278,"Yes, it was great And yeah, so we're working on drafting materials based on people's needs, for them to be able to hand out and flyer and put on cars, And we have, like zone four- commander is on board, So we're going to hopefully launch in the next month or so- the sooner the better.",i
279,"And then, in terms of that traffic community traffic calming, we are waiting back to hear from a grant.",i
280,So if we do get that grant funding we can kind of roll that process more quickly.,i
281,"If not, we will reevaluate and see what we can do in the short term, But that is still kind of on the table for this year.",i
282,"Okay, I do think that's going to be the difference maker in terms of, like people feeling like, okay, I realize that there's a long wait, or maybe they don't know there's a long wait, but we usually tell them like: yes, this is one of even just 50 and one district alone.",i
283,You know we're really working with you and as hard as we can And you know they can do something in the meantime.,i
284,So I think that we've heard loud and clear that there's interest in this community or resident based neighborhood traffic calming toolkit.,i
285,I think the act of putting together A grant proposal really helped us sort of put pen to paper of what that would look like.,i
286,"So I'm hopeful that, even if we don't get a grant, there's going to be this grant that we applied for.",i
287,"There will be other opportunities, But, yes, having to discuss.",i
288,"you know what does an application process look like, What are somebody still needs to review, say yes or no.",i
289,There's a question of liability and who carries it.,i
290,There's quite a number of things that have to get sorted.,i
291,"the cost of materials: you know where we store them, Where we purchase them.",i
292,"Laying the groundwork through this grant proposal, I think, was really beneficial and it came together truly through the Vision Zero working group.",i
293,We had to rely heavily on Stephanie to pull together that proposal.,i
294,"This probably all goes without saying, but the The point at which our law department became comfortable with it and DPW became comfortable with it.",i
295,DPW just wants to be sure that what people are building is doesn't create additional hazards or can doesn't melt the first time it rains or you know.,i
296,they have some specifications.,i
297,"So if a planter, then the planter should be like this, if should be like this, and I think they're they're kind of putting those specs together which I think will help clarify for everybody.",i
298,"and then you know, and then we need to.",i
299,I think we have actually figured out.,i
300,"So once it's in the right of way, It's ours And people probably need to understand that a little bit about it as well, because if it turns out it is creating more of a hazard or it's not up to spec or it does melt when it rains or something we probably have to go in and take it out or something.",i
301,So we're going to need to do some education with people about how together we're managing – we're creating more safety.,i
302,"but we have to make sure we're not creating additional risk and we're kind of owning this project together, because we want people to do it and we want them also not to get super upset if we say: you know, we've got to back this thing up eight inches because it's – so we're really going to have to collaborate on these.",i
303,but I think it's going to be fantastic.,i
304,"Yeah, and even having neighborhoods collaborate with other neighborhoods, because I'm thinking back to the early days of the pandemic and the play – like the play streets and we had the sandwich boy Mm-hmm And we had the boards and we gave them out and designated play streets and people loved that.",i
305,"and then we're really upset when we sort of decommissioned that program because it wasn't needed anymore And so, like the expectations on the front end as well, along with you know how permanent or how temporary these might be.",i
306,"Yeah, it's all very complicated, but okay, But will, I think, ultimately be a great thing.",i
307,"And no, I don't have any other questions.",i
308,"Thank you all, Yeah, thank you, Yeah.",i
309,"so yeah, thank you all, you know, for being here.",i
310,"I just think, generally speaking, you know, when we talk about traffic calming, this issue it has all been on the shoulders of DELMI for a long time.",i
311,I don't know if we have numbers on how many projects we've done around the city.,i
312,I know it's a lot.,i
313,"I don't know, Angie, if you have any – Dozens a year, Dozens a year.",i
314,"And in addition, we do signal replacement and signal adjustment projects.",i
315,"Yeah, Yeah, Yeah, And we do.",i
316,you know we do a lot of projects too.,i
317,"So you know lots of work, very expensive work, being done all over the city And you know there's always some frustration.",i
318,"I think for some residents with traffic calming anything that's new, you know, and folks who aren't you know, folks who have lived here for a long time, they're like: well, why do we?",i
319,you know what I mean.,i
320,"This doesn't I don't need this Like, I'm a good driver, you know.",i
321,"But it's different now, right, Cars are significantly bigger, Significantly bigger.",i
322,"People are on their phones, so distracted in a way that we haven't seen before.",i
323,"Speeding, I don't know.",i
324,"I always sort of challenge myself sometimes, you know, like if you drive the speed limit, like 25 miles an hour, it feels very slow, Like you're like, oh wow, I'm going really slow, But that's you know.",i
325,"and also we have a lot more vulnerable road users, right, All kinds of folks now who are biking and e-bikes, and people have their kids on bikes and you know what I mean, And you know folks walking in here and there.",i
326,So I think that's important to keep in mind.,i
327,I will say just to sort of shout out to Domi: you know I really do love the data-driven approach.,i
328,"You know, I think in past years it- and I notice it myself too- Like you'll sort of You'll see, you know early investments in traffic calming were sort of like maybe it was a little bit more of a squeaky wheel approach.",i
329,"So you'll sort of be in a neighborhood and you'll see like half a million dollars of infrastructure on a little tiny, you know, intersection And it's like, oh man, this could have been how many speed bumps, like in other places.",i
330,"So you know, I'm grateful that you guys are taking that.",i
331,"you know, on the high injury network, safe routes to school.",i
332,That's what we should be doing And that's just to also remind folks when they are asking for speed humps.,i
333,that's how we're doing it right.,i
334,We're doing it based on the need.,i
335,"Actually, one quick.",i
336,"Donna, would you want to come up to the table, Because I know that crossing guards are a big part And I know lots of folks have some questions on crossing guards.",i
337,So that is kind of my first.,i
338,"Okay, So my first question would be: you know what is the crossing guards?",i
339,Because I know I have requests for crossing guards at big intersections.,i
340,"in Squirrel Hill, in Hazelwood, We're hiring.",i
341,things are a little bit different And what can you tell us about sort of how things are going in the crossing guard world?,i
342,"The crossing guards are hiring, So anybody across the city can apply.",i
343,You need to live in the city.,i
