,sentence,classification
26,They recommended a number And this is the proposed resolution of the bill.,i
27,"The resolution was that the bill would be able to address a number of strategies to address barriers to new housing development within the City of Pittsburgh, to address housing affordability challenges.",i
28,One of them was this minimum lot size requirements that we have in the zoning code and which this bill is intending to address.,i
29,"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various smaller housing units.",i
30,"And so, again, I'm sorry to interrupt, I just wanted to say I think that's the most important thing, I think that's the most important thing.",i
31,"And so what the existing regulations do are, in many cases, are severely restricting the ability to add new homes, new dwelling units, to various new housing units, residential zoning districts within the city of Pittsburgh.",i
32,So what these requirements currently are doing in the zoning code is that they don't align.,i
33,"not only are they restricting new housing, but they don't even align with the historic built environment within most of our residential neighborhoods, which make up the majority of the city.",i
34,"And so what the Department of City Planning is proposing to do is to both is twofold- is to reduce minimum lot size requirements in the various residential sub-districts that exist in the city and to remove entirely minimum lot size per unit requirements, And we'll get into a little bit further what those are doing, but what we wanted to allow happen is to be able to for in lots that currently do not meet the zoning requirements.",i
35,"they either need an administrator's acceptance of the zoning code or they need to be able to do a separate or a separate exception or a variance, which is really just further prolonging the process and oftentimes, particularly with a variance, not being able to be granted because of the various requirements.",i
36,"So what we did was look at minimum lot size requirements, and so we have five sub-districts within the city of Pittsburgh.",i
37,"We have very high density, high density, moderate density, low density and very low density, And each of these have their own minimum lot size requirements, which is, you know, this is basically: you need so much lot area to be able to build a new unit on them.",i
38,"In the very high density, it's currently 1,200 square feet.",i
39,"In high density, it's 1,800 square feet, Moderate density it's 3,200 square feet.",i
40,"Low density- 5,000 square feet.",i
41,"And very low density- 8,000 square feet.",i
42,"And what we worked with the GIS department to run this analysis and we really appreciate their efforts in being able to provide this data for us to show what percentage of the existing lots within each of these residential sub-districts in the city are actually below these minimum requirements- And it's quite substantial, You know.",i
43,"it ranges anywhere from over half of the lots in the low density residential sub-districts to about 18% in the high density sub-districts- are non-conforming to these existing requirements, And so what this bill is proposing to do is to lower them, with the exception of in the very high density is to remove the minimum lot size requirement entirely.",i
44,"So in the high density we looked at lowering it to 1,200 square feet, which substantially reduces the amount of lots that are non-conforming.",i
45,"One thing to point out with these, particularly in the high density and very high density, is that some of these are actually condo lots, so really many of them actually do conform.",i
46,"They're just essentially on the zoning map and on the tax maps showing up as little condo lots that are part of a larger common ground lot, But again still down to 8%, from 18% In the moderate density, reducing it down to about a quarter from 40% In low density.",i
47,"this is more than having the percentage of lots that are non-conforming and the very low density, again reducing it by about half to 16%.",i
48,"Again, working with the GIS department, we have included there's a link to this dashboard that shows throughout the city where these lots are.",i
49,So the green lots are ones that are now would conform to the proposed changes to lot sizes.,i
50,The ones that are in blue are ones that are still below those proposed minimums.,i
51,"Again, if you look at some areas such as Oakland or Shadyside, where we do have a lot of condo units- that where the blue shows up, but for the most part in almost all neighborhoods, we see a significant reduction in the number of units that are not that would be conforming, whereas right now they're below the minimum lot size requirements.",i
52,"In the housing needs assessment they also point out to minimum lot size per unit requirements, which you know if you, which is essentially you have to have so much lot area per unit that you want to build.",i
53,"So they looked at here multi-unit residential, which really hinders the amount of units that you can actually build.",i
54,It doesn't.,i
55,the thing about the minimum lot size per unit is that you essentially can have the same building bulk You know you can have in the high density residential.,i
56,"you can have a nine-story building, but it can still require a variance.",i
57,It's depending on how many units are actually in that building.,i
58,"And one area where this is not just in the multi-unit residential but this is particularly becomes an issue in many of our two-family and three-family zoning districts, so our two and our three districts.",i
59,"what the minimum lot size per unit requirement is doing is that even though we allow, by right, say, a duplex, in many instances, such as the moderate density, you actually have to have more lot area than what the minimum lot size requirement is, which is almost making it effectively a single-family residential district, even though on paper we permit duplexes by right.",i
60,"So that's just one example of how these restrictions, both minimum lot sizes and the minimum lot size per unit requirement, is significantly restricting the amount of homes that can be built throughout our residential district.",i
61,"So to really summarize here, this chart really kind of summarizes it well.",i
62,"So again, to repeat, for very low density, we're going from the existing 8,000 square feet to 6,000 square feet.",i
63,"In the low density, it's going from 5,000 square feet to 3,000 square feet.",i
64,"Moderate density, 3,200 to 2,400.",i
65,"High density: 1,800 square feet to 1,200.",i
66,"And very high density, going from the existing 1,200 square feet to no minimum lot size.",i
67,"So again, this is just a little bit of a summary of what the minimum lot size requirement is And then again just removing entirely these minimum lot size per unit requirements And just to give you visual examples of what this means for Pittsburgh, just wanting to highlight many of the examples that we see throughout the various neighborhoods in the city of Pittsburgh, whether you're on the north side, you're in some of the South Hills neighborhoods, such as Brookline- I don't want to say they're insignificant, but these are very common throughout the city of Pittsburgh And what we want to do is essentially re-legalize a lot of the lots and homes that really were built prior to a lot of these more when a lot of these restricted requirements came in.",i
68,"after the fact, And just to highlight what this reform can do, again, we know land costs are a significant portion of the overall cost of constructing new housing.",i
69,"So reducing the amount of land that's needed per unit can help reduce the cost overall to build those new units And, as a result, given that the city, we're not expanding the boundary of the city, but we can increase the number of units that can be built within the city.",i
70,"simply by reducing the amount of land required per unit And by increasing the supply of housing, we can reduce the competition both between the cities and between the city.",i
71,"So we're trying to reduce the cost of building these renders between new units that are built, as well as home buyers, depending on whether they are for rent or for sale homes, And again, we want to reduce the artificial scarcity that a lot of these requirements are making.",i
72,"that, again we've demonstrated, don't match with the existing built environment within the city of Pittsburgh And, as a result of just being able to build at these higher densities, we also are promoting more walkability.",i
73,"and lastly, to wrap up, just with the amount of vacant lots that we have in the city, these can be better, more efficiently repurposed to be new housing for residents of the city, And we've used demonstrated the city of Houston, which is famously doesn't have a zoning code, but it has many land use regulations, one of them being a minimum lot size requirement.",i
74,"They reduced that significantly back in 1998 And then we've also increased the number of homes that are built in the inner core of the city and later expanding it to cover most of the city in 2013, And as a result of that, they've had significant home building that's been able to keep costs down, despite having significant population growth.",i
75,"Within the last census, the city had a 10% population increase and despite that, they still were able to have rent growth that was significantly below the national average and new homes that were able to be affordable to of households making right around the area median income in that city.",i
76,And I'll just walk through the process of how we got here.,i
77,"As Paul had noted, the housing needs assessment was completed in 2022, did have minimum lot size as one of the five under the soft density and infill by right recommendation from the city's housing needs assessment And then from that the department worked to draft a series of, you know, a couple of zoning amendments, one being a text amendment that covered accessory dwelling units, parking reform and inclusionary zoning in addition to minimum lot size.",i
78,"This was done partially in conjunction with a number of council members, including on the minimum lot size work, Councilwoman Warwick.",i
79,"on the parking, you know, trying to align and actually expanding that a little bit more broadly with some of the work that Councilperson Strasburger's office is doing, you know, with kind of the broad intention of, as Paul noted, being able to increase supply, both market rate for many of the reasons that Paul noted as well as you know, opportunities for affordable housing- restricted affordable housing, you know, for people who cannot afford housing in the city presently.",i
80,With this package of much larger amendments that included minimum lot size reform as a part of it.,i
81,"you know the city, through the department of city planning, did, you know, a series of outreach over, you know, kind of late 2024 and early 2025.",i
82,"There are 20 different community meetings that are on the screen presently that cover, you know, one aspect of that outreach.",i
83,"And then, additionally, you know, in the development of these amendments, including minimum lot size, you know there were meetings with city council, with advocates and developers as a part of this work And so those are shown on the screen.",i
84,"You know, once all of that had concluded and you know we had this kind of series of amendments developed, you know the larger package of housing needs needs assessment text amendments you know were presented to the planning commission through multiple briefings in late 2024.",i
85,"There was a public hearing held in January of this year where the planning commission recommended, you know, with conditions, you know the city, you know the city planning staff and the planning commission, to have the approval of the housing needs assessment text amendments.",i
86,"This council bill, again being specifically around the minimum lot size reform language, you know did separate that out from the larger text amendment.",i
87,None of the conditions in that planning commission or approval were referring to the minimum lot size provisions.,i
88,"So just to you know, to try to be clear, you know that.",i
89,"you know, obviously, with city planning staff, you know the planning commission, through its recommendation- not recommending, recommending its approval without any conditions- you know that they are supportive of the changes that are in this bill.",i
90,"you know and you know, and obviously the fact that this is implementation of a part of one of the land use recommendations from the housing needs assessment is something that is, you know, part of work that is important to the department And obviously, beyond this work, you know there is a lot more work to be done with the remainder of the housing needs assessment, which is a part of the planning commission's work.",i
91,"So you know the map amendment bill, you know that is has been referred to city council bill 2025 1545, The map amendment bill, which I kind of glossed over in a previous slide but is around transit oriented development, which is presently, you know, something that we is held at planning commission while we're doing some further study, And then other land use recommendations from the housing needs assessment that are drafted by city planning.",i
92,"So obviously, look to work forward, you know.",i
93,look forward to working with.,i
94,"you know, amongst a much broader coalition to try to move a lot of this broader work around housing and changes to our zoning and land use regulations around that.",i
95,"So with that, thank you All right, great Thank you for that great presentation And at this time we will move on to our speakers And I'll just say this: the notes again on public speaking.",i
96,You have three minutes And please state your first and last name for the record And also the neighborhood and or the neighborhood organization or affiliation you have with the neighborhood before you give your comments.,i
97,"Three minutes to speak And our first speaker is David Bringen, And sorry for that mix up, David.",i
98,"No problem, Good afternoon.",i
99,My name is Dave Bringen.,i
100,I'm the executive director of Lawrenceville United.,i
101,We're a membership organization of over 900 Lawrenceville residents And our mission is to improve and protect the quality of life for all Lawrenceville residents.,i
102,"Our organization supports the entire zoning package under the implementing the housing needs assessment amendments, including the proposed reforms to minimum lot sizes.",i
103,"This specific amendment is a common sense solution to allowing more housing types in more neighborhoods, especially those that are more affordable, more modestly sized and look more like the ones around them.",i
104,Lawrenceville is proudly on the National Registry of Historic Places.,i
105,Yet our zoning code today doesn't allow many of the homes that make up that historic designation to be built.,i
106,"Over my life, I myself have lived in six pretty standard old row homes in Lawrenceville, And half of them don't meet our current minimum lot size requirements.",i
107,"Had our current zoning code been followed, I or someone else may not have had the chance to live in Lawrenceville.",i
108,"Most importantly, the proposed minimum lot size reform would also help with our affordability challenges.",i
109,"Almost all of the affordable community land trust homes built in Lawrenceville have needed variances for minimum lot size, despite being really thoughtfully deserved, And the reason for that is because of the housing design.",i
110,"These trips to the zoning board create uncertainty and higher costs for the community land trust, which are already very difficult to pull off, and when we need so many more home ownership opportunities for working class families in our neighborhood.",i
111,"As another concrete example, in September we had a developer reach out to us about a vacant parcel stretching from one of our streets to our alleyways.",i
112,"Rather than building one larger luxury home on the streetfront, they offered to subdivide and build two more modestly sized units: one on the street, one on the alleyway, which already has a lot of housing on it.",i
113,Building two units would offer a lot of benefits.,i
114,The home would be more affordable and the housing would be more affordable.,i
115,The homes would each be significantly more affordable while still increasing the tax revenue for the city.,i
116,more than just one expensive home.,i
117,"The homes would be more climate friendly and look more like the housing around them, and we would get more neighbors to help care for the park across the street, support our local business district, use our bus system and hopefully become members of Lawrenceville United.",i
118,"While the benefits to everyone are better with two units, our zoning code currently prohibits it, which speaks to why this minimum lot size reform is necessary, so I commend Councilmember Warwick and everyone else who worked on this ordinance.",i
119,I also want to thank the City of Lawrenceville for the support they've given us.,i
120,Thank you All.,i
121,"this said, as a member of the Forging PGH Working Group under Mayor Peduto that spent a lot of time supporting the updated Housing Needs Assessment across two administrations, I want to stress that this entire zoning package is critically important and City Council should follow the advice of the Forging PGH Working Group, the Housing Needs Assessment, the Planning Commission, as well as the hundreds of people who participated in the 11-hour hearing, and carefully consider, but expeditiously move the entire package forward together, including with citywide inclusionary zoning.",i
122,These recommendations started under the previous mayor.,i
123,Citywide IZ was recommended by the Affordable Housing Task Force that City Council commissioned almost a decade ago.,i
124,Specific legislation from this package has been publicly available for the better part of a year and was overwhelmingly recommended by Planning Commission three months ago.,i
125,"Zoning is always going to be controversial and difficult, but we need to act.",i
126,"We have a housing crisis and we need comprehensive solutions to allow more housing, increase our tax base and provide housing opportunities for everyone in each of our 90 neighborhoods.",i
127,So please don't delay forward.,i
128,"Thank you, Thank you, Councilmember.",i
129,"Thank you, Councilmember.",i
130,"Thank you, Councilmember.",i
131,"Thank you, Councilmember.",i
132,I would be happy to speak further and please take up this entire zoning package and give it the attention it deserves.,i
133,"Thank you, Okay, Thanks.",i
134,Our next speaker is John Hanrahan.,i
135,"Good afternoon, My name is John Hanrahan.",i
136,I live in Fineview in Council District 1.,i
137,I am here first and foremost out of pure selfishness.,i
138,I love my home.,i
139,"my home sits on a lot, that is, 1,750 square feet in a high density district.",i
140,"If God forbid my home were to burn down for want of 50 square feet, which is probably the size of this table.",i
141,I could not rebuild my home because of the current lot size minimums.,i
142,"This bill is a compromise, though.",i
143,"There are homes in Fineview and elsewhere in the city that we have lost that once this bill passes, we will still not be able to rebuild because there will still be lot size minimums.",i
144,"So I appreciate the compromise being struck here and yet I also look forward to the hearing we'll have 10, 20 years from now when we further liberalize our lot size minimums.",i
145,"And, speaking of hearings that I look forward to in the future, I earnestly look forward to the hearings that we are going to hold on the two IZ bills, as well as accessory dwelling units, parking minimums and whatever else.",i
146,"I'm forgetting it, but I'm looking forward to the hearing.",i
147,Thank you all.,i
148,Thank you.,i
149,Our next speaker is Madeline McGrady.,i
150,"Hi Council, I'm Maddie McGrady.",i
151,"I'm a renter in Highland Park, a social worker, and I'm speaking today on behalf of the Human Rights City Alliance.",i
152,"We're a grassroots network of individuals, groups and organizations advocating for a human rights-based approach to policy in Pittsburgh.",i
153,We support minimum lot size reform.,i
154,"As Dave said, it's a common sense step that will support higher density and potentially more affordable housing.",i
155,"However, the minimum lot size.",i
156,reform alone is not going to be enough.,i
157,We need the entire zoning tax amendments package in order to work together and take a comprehensive approach and ensure that housing that is preserved and new housing that is developed meets the needs of Pittsburghers across the income spectrum.,i
158,"And we need you, City Council, to take action on the full package rather than taking a piecemeal approach.",i
159,We need a comprehensive approach and the Mayor's package provides that.,i
160,"As we've heard, the recommendations emerged from the 2022 Housing Needs Assessment, which was unanimously recommended by planning commission three months ago, after 11 hours of public testimony.",i
161,it's time to stop delaying.,i
162,it's time to schedule a public hearing and vote down councilman charlin's enhanced inclusionary zoning.,i
163,"it's time to schedule public hearings on the entire inclusionary, the entire suite of bills, including the inclusionary zoning, and i just want to add the federal, the federal administration's- approach.",i
164,"right now, the divestment from housing services resources is going to make the housing crisis so much worse, especially for the people who are most vulnerable, and the housing needs assessment is clear that that is residents making 30 percent ami and below.",i
165,so i hope the urgency of this problem is not lost on you.,i
166,"we need to take out the housing crisis and we need to take out the housing crisis and we need to take out the action now that will withstand the challenges that are coming, and that means taking a comprehensive approach, which the mayor's package does.",i
167,"so yeah, thank you.",i
168,thank you.,i
169,our next speaker is christopher beam.,i
170,"good afternoon, members of council.",i
171,"my name is christopher beam, resident bloomfield.",i
172,we're in the midst of a housing crisis here in pittsburgh.,i
173,we need housing policy reforms like this proposed reduction in minimum amount class size requirements.,i
174,we need them yesterday.,i
175,i urge you to pass this as soon as humanly possible so it might stop making new housing jump through hoops at the zoning board of adjustment for homes that fit our neighborhood's context.,i
176,"the 2022 housing needs assessment says that 80 percent of parcels in very high zones are smaller than the 1200 square foot minimum, and my own experience confirms this.",i
177,i'm a resident of bloomfield in the portion of theai of innovation in amherst and prawk portion of the neighborhood that is zoned R2VH Today.,i
178,"that means that you can build duplexes by right, but you must have a parcel of land that measures at least 1,200 square feet, or building both a single family home or duplex would require a variance With the proposed minimum lot size reforms.",i
179,"every parcel in my section of the neighborhood would suddenly become developable again, allowing more homes to get built, more neighbors to live here, supporting our local businesses.",i
180,I want to stress how stupid it ever was that the city would downzone Pittsburgh neighborhoods so that existing homes would be illegal to build.,i
181,"My home is built on a parcel that is exactly 1,200 square feet, but on just my street alone there are 10 homes built on parcels that are even smaller than mine, which would currently be illegal.",i
182,"More than that, several homes on my street are multifamily, so the minimum lot size per unit requirements add even more barriers to recreating my neighborhood.",i
183,"I want to thank Councilors Wilson, Warwick and Sharlin for their support.",i
184,I want to thank the City of Michigan for their support.,i
185,I want to thank the City of Pittsburgh for their support.,i
186,I want to thank the City of Pittsburgh for working on this policy and expediting it through Council.,i
187,"I urge the rest of Council to vote in favor of reducing minimum lot sizes and I urge you to continue pushing for more reforms to reduce the cost of housing for all Pittsburghers, like reducing setback requirements, eliminating parking requirements and, most importantly, allowing multifamily residential housing in all residential zones of Pittsburgh.",i
188,"As a reminder, almost all new housing in Pittsburgh is multifamily, and yet it is segregated to just a few neighborhoods or portions of neighborhoods that allow apartments and condos.",i
189,A mere 20% of the residents are in the area and the rest of the residents are in the city.,i
190,The city is a city of the city.,i
191,The city is a city of the city.,i
192,The city is a city of the city.,i
193,The city is a city of the city.,i
194,The city is a city of the city.,i
195,The city is a city of the city.,i
196,It was the first recommendation reported in the 2022 housing needs assessment and has been sidelined for years.,i
197,"Please make multifamily housing legal in all of Pittsburgh, Thank you.",i
198,Thank you.,i
199,Our next speaker is Dimitri Black.,i
200,"Hello, My name is Dimitri Black and I live in Squirrel Hill South District 5.",i
201,My family and I chose Squirrel Hill because of the many amenities within walking distance.,i
202,"I have two grocery stores, many restaurants, several specialty shops, preschools, daycares, a pharmacy, doctor's, dentist and a post office, all within a 10-minute walk of my home.",i
203,"What makes all of this possible is that, because my neighborhood was built mostly before zoning and before cars were a necessity, it has a higher density than areas that were designed to force a car-dependent lifestyle.",i
204,My name is Dimitri Black.,i
205,I live in the city of Pittsburgh.,i
206,"I live in Squirrel Hill South, District 5.",i
207,Many people raising children want to live in a neighborhood like mine.,i
208,The market prices of real estate tell you that.,i
209,"However, because of increasing urban housing costs, that is out of reach for too many families.",i
210,This bill to reform minimum lot sizes in the city goes a long way to make more density in my neighborhood and other neighborhoods possible.,i
211,"Density supports local businesses, it supports schools and it supports public transit.",i
212,"But, most compellingly, this bill partially limits the density of the city.",i
213,It is a big deal for the city and it is a big deal for me to see.,i
214,I believe that this bill is a good opportunity for the city to make a difference.,i
215,Now I want to thank the city council members who introduced this bill.,i
216,I hope this bill is the first of many that will fully legalize Pittsburgh neighborhoods and build the city of the future that will draw in more families to make dynamic and appealing neighborhoods.,i
217,Thank you.,i
218,Our next speaker is Amy Zace.,i
219,"Amy Zace, Beachview Neighborhood, Michigan.",i
220,"Hi, good afternoon council.",i
221,Thank you for your time today.,i
222,My name is Amy Zace.,i
223,I recently purchased my first home in the Beachview neighborhood.,i
224,I'm here speaking in support of the minimum lot size reform legislation ordinance 2025-1579.,i
225,"I want to thank council members Wilson, Warwick and Charlin for sponsoring the bill.",i
226,"Like the rest of the nation and others before me have said, Pittsburgh is in a housing crisis.",i
227,Minimum lot size rules contribute to our housing shortage by effectively banning homes on thousands of lots across the city.,i
228,These rules don't reflect how our neighborhoods would build.,i
229,Many of our most loved homes today wouldn't be possible to rebuild.,i
230,"For example, when I was shopping for my home in Beachview, I saw several illegal duplex conversions listed for sale.",i
231,"Beachview has great transit access and is already fairly dense, but attached housing like those existing duplexes aren't legal by current zoning rules.",i
232,A simple reform such as this ordinance would allow for homes like those to be brought into a conforming use.,i
233,"The proposal before you is a simple, effective step to make denser housing possible.",i
234,It legalizes much of what is already existing today in our legacy housing stock.,i
235,"In order to build new housing on existing lots, we must pass this reform.",i
236,Density promotes transit and walkability in our neighborhoods.,i
237,I urge you to pass this and bring up the other items.,i
238,I urge you to advocate for the right to move these homes to a better place.,i
239,We can't wait to see what happens now.,i
240,Thank you for your time.,i
241,"Thank you, Our next speaker is Caleb Grabowski.",i
242,Good afternoon Council Members.,i
243,My name is Caleb Grabowski.,i
244,I live in Arlington with my fiancé.,i
245,I am here to voice my support for reducing the minimum lot size requirement.,i
246,"This change is important to me personally because my home, which has stood safely and harmoniously within the neighborhood of Arlington for more than a decade, is safe and secure.",i
247,I am happy to say that it is also a quality home for many of our neighbors.,i
248,Thank you for your time.,i
249,"years, I think.",i
250,"it was built in like the 30s, which is insane.",i
251,"It was built on a 4,500 square foot lot.",i
252,"Under the current code it is considered non-conforming, needing 5,000 square foot.",i
253,"The current law states that my fiance and I should not live there, which I find deeply troubling.",i
254,"The proposed bill would bring that requirement down to 3,000 square feet, making my home perfectly conforming and legal.",i
255,"More importantly, on my street there are two empty lots where a home once stood but tragically burned down, and partially burned down the next house.",i
256,"Due to the square foot requirement, rebuilding a duplex or other similar style of building or housing is impossible on these parcels.",i
257,"These vacant lots now sit unused and that's a missed opportunity, not just for the block but for the community as a whole.",i
258,I believe this zoning change would better reflect the real character and history of our neighborhood.,i
259,It would bring homes like mine into compliance and allow the community to live in a more comfortable and more comfortable way.,i
260,I believe this zoning change would better reflect the real character and history of our neighborhood.,i
261,It would bring homes like mine into compliance and allow the those vacant lots to be restored in a way that fits the existing community fabric and potentially promote gentle housing density.,i
262,I respectfully urge the Council to support this adjustment.,i
263,Thank you.,i
264,Our next speaker is Nicholas Rizzio.,i
265,"All right, good afternoon members of council.",i
266,My name is Nick Rizzio and I'm a resident of downtown Pittsburgh.,i
267,I'm speaking today on behalf of Pro Housing Pittsburgh and organization that advocates for housing abundance and affordability in our great city.,i
268,Anyone who has recently tried to buy or rent a home in Pittsburgh knows that there are simply not enough housing options available in our city.,i
269,"Cutthroat competition for limited homes has pushed prices out of reach for many of our city's residents, and especially for our most vulnerable neighbors.",i
270,"Pro Housing Pittsburgh strongly supports today's proposed legislation, Bill 1579, which will uniformly reduce minimum housing costs for residents and residents of our city.",i
271,It will also reduce the cost of housing for residents who are living in the city.,i
272,It will also reduce the cost of housing for residents who are living in the city.,i
273,It will also reduce the cost of housing for residents who are living in the city.,i
274,It is hard to overstate how difficult it is to build more housing in Pittsburgh.,i
275,under our current minimum lot size rules.,i
276,Our city forbids new homes from being built if the plot of land is not large enough.,i
277,We estimate that in most residential districts in our city over half of these several thousand residential lots currently cannot legally support any homes that are not built.,i
278,We are now looking at a new plan to build more such housing in our city.,i
279,We have strongly ceased apportioning public todos in the city.,i
280,Such housing is the only reason that people are still allowed to live in these Frage 23 homes.,i
281,"after revLESish has entered state passed 60,000 additional housing size limits.",i
282,if the sum of the population is 1.,i
283,8 towns and 2.,i
284,"8 escorts, and then K- informal housing, level 2 of the city is now 1.",i
285,8.,i
286,"As in many situations NOW, annuities are made that would finish Sir Cassie Torres as 50,000 a year in order to support persons with lowem defenders.",i
287,"Thus in town as a city, the suisne, the level of residential ergonomics and 2002 installments have reduced really média housing costs from 8,000 households per month And these prices have become extremely low for mix families communities.",i
288,so now the only three stories tall does not comply with our minimum lot size law.,i
289,"A small, modest three-story townhome development with two courtyards, right next to rapid transit and a block away from a humongous 15-story high-rise is somehow illegal under our current zoning law.",i
290,It is clearly time for change.,i
291,We urge City Council to vote in favor of Bill 1579 and make it easier to build more homes on smaller lots in Pittsburgh.,i
292,"We would like to extend our deepest gratitude to Councilwoman Warwick for drafting this legislation and considering our input, Councilman Wilson for introducing it and Councilpeople Charland and Warwick for co-sponsoring it.",i
293,Thank you all for your time.,i
294,Thank you.,i
295,Our next speaker is Morgan Shaw.,i
296,Good afternoon Council.,i
297,My name is Morgan Shaw.,i
298,I live in Shadyside at 260 Shady.,i
299,"I'm here to speak in favor of the minimum lot size reform bill, One of the most, one of the best things about Pittsburgh.",i
300,I've lived in Pittsburgh about four years now.,i
301,"Unfortunately, I am moving to Memphis, Tennessee next month.",i
302,"so this might be one of the last times I get to speak to you guys, But I really I've made an effort to come here today because I think this is one of the most important things that we can do to make housing more affordable.",i
303,"in the city of Pittsburgh Right now, we've basically made it illegal to build affordable housing, and especially when you consider the fact that minimum lot sizes were invented quite literally to segregate our cities.",i
304,"The lots land is one of the most expensive pieces of any building, and when you require a certain amount of land, you essentially put a floor at how affordable that housing can be.",i
305,"By getting rid of that minimum lot size, you are undoing the racial segregation that we placed onto our city.",i
306,So I really urge you to pass this quickly.,i
307,"We've already wasted too much time and we've pushed too many of our neighbors, especially neighbors of color, especially our black neighbors, out of the city by forcing people to build houses on lots that are bigger than they need.",i
308,"So this is just one step to making these changes, or making the housing more affordable for everyone who wants to live here, And that's not just for me, that's for everyone who lives here right now.",i
309,that's for everyone who wants to live here in the future.,i
310,"Again, I've loved living in the city.",i
311,I'm sad to leave it.,i
312,"I'm excited for my new opportunities, but what I can tell you as somebody who's only lived here for a little bit of time is that Pittsburgh is a very special place and it's not in small part because of how it looks and how it's built.",i
313,Getting rid of the minimum lot size requirement would allow us to meet the needs and the desire to live here in this great city.,i
314,"So please pass this bill as quick as you can, Thank you.",i
315,Thank you And you're welcome.,i
316,"You know, if you get it done by May 14th it would be great, but either way, I'm excited to look back and check the news and everything like that and see that it's passed.",i
317,I appreciate your time and thank you for doing everything that you are.,i
318,with zoning right now.,i
319,It's really awesome to leave behind a city moving in the right direction and I hope that you guys continue that track.,i
320,Thank you very much.,i
321,I'm Bob Malakoff from Allegheny West.,i
322,Bill 1579 is council's next effort to take a chainsaw to the zoning ordinance and to Pittsburgh neighborhoods in the name of affordable housing.,i
323,"The population of the city is less than half of what it once was, but we were told that they should have major increases in density everywhere in the city.",i
324,Some neighborhoods need major development.,i
325,"In those cases, some rezoning would be helpful, but that should be the decision between city planning and the residents.",i
326,"In other neighborhoods, the same changes would not be helpful and could be detrimental.",i
327,"A while ago, a developer in Fineview wanted to build some townhouses on an R1D zone.",i
328,"Rather than work with the residents to rezone the area, they requested very little.",i
329,The townhouses had been built in fine view and they rolled out the plan.,i
330,The townhouses were finally approved by the city council.,i
331,The city council had given up on these variances for the board of entrustments.,i
332,"When board approval was overturned by the courts, they went crying to city council to basically remove the R1D tax category throughout the city.",i
333,"I'm not aware of any townhouses that are currently being built in fine view and I wonder how many attached houses have been built in R1D zones anywhere in the city Council and planning have been influenced by the anti-zoning radicals from San Francisco- name of Yimby, yes, in my backyard.",i
334,Their policy is essentially build anything anywhere.,i
335,Not a good idea for Pittsburgh.,i
336,Rather than helping the people to provide affordable housing.,i
337,the primary beneficiaries of this policy would be the people whom the mayor refers to as predatory landlords and the worst developers.,i
338,"I frequently hear, and I'm tired of hearing, that it is difficult or impossible to reveal the house that was demolished on the same site.",i
339,"under the current zoning ordinance, In cases where setback requirements and required lot sizes are a hardship or an impossibility, variances are routinely granted.",i
340,Some may argue that variances are granted without demonstration of hardship.,i
341,"In addition, I would refer people to Section 92501C, single unit dwelling Exemptions.",i
342,You know this.,i
343,talk about illegal housing is ridiculous.,i
344,I'm concerned about the very high density single family residential zones.,i
345,"1,200 square feet for lots are commonly there.",i
346,These areas are already very crowded.,i
347,so what are you planning to do?,i
348,Eliminate any minimum lot size standards so the neighborhoods could become even more crowded.,i
349,In New York they used to call them tenements.,i
350,Thanks a lot.,i
