,sentence,classification
44,We have a 470 million investment in critical drinking water infrastructure that we plan to undertake here in the next five to eight years.,i
45,These are projects that will modernize our water system and improve our service reliability.,i
46,The design: we're going to be using a lot of water.,i
47,The design work is currently underway for the capstone project for this plan and that is our clear well replacement.,i
48,"Our clear well is the last point in our disinfection, our treatment process at our water treatment plant before it goes into the distribution system and goes into customers' homes.",i
49,We have also selected construction firms for our Aspamal pump station and our Brecken pump station.,i
50,"Those are two pump stations that are in need of rehabilitation, As well as our water treatment plant.",i
51,"Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i
52,"Okay, Thank you.",i
53,"Okay, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thanks, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i
54,We are also in the process of building our new Highland pump station.,i
55,That station is 78% complete at this point.,i
56,"It is our first building that we've constructed, I believe, in the last 20 years Our community-led response.",i
57,"So I'm very proud to announce that we have replaced over 12,000 public-led service lines and over 9,000 private-led service lines.",i
58,"We recently had an event that celebrated our removal of our 12,000th lead service line, which was well attended.",i
59,"We have also consulted with 35 water utilities on lead best practices And these are utilities that have come to Pittsburgh Water to look at our programs, look at our best practices and we counsel them when we can.",i
60,We are also recognized by the US EPA as a national leader in lead service line replacement programs.,i
61,So now let's take a look at our capital improvement plan drivers.,i
62,So you can see at that top line there we have a total investment over the next five years of almost 1.,i
63,2 billion.,i
64,There are four programs that make up almost 80% of that capital improvement plan: The water reliability plan that I just spoke to you all about.,i
65,that is about 30% of our funding and programming for the next five years.,i
66,"Again, that is a mandated program.",i
67,We have a consent decree.,i
68,We have a mandate that mandates that.,i
69,"We also have our lead service line replacement program, which here in Pittsburgh we have pledged to get all of the lead out of our system by 2027, And so you can see, those numbers there make up another 16% of that capital improvement plan.",i
70,"We also have our small and large diameter water replacement, as well as sewer rehabilitation, along with that large and small and large water main replacement program.",i
71,"And then we have our public service line replacement program, which is also our lead service line replacement program, built into that as well.",i
72,"And then, while it's not as flashy as the others, our sewer rehabilitation program is something that is needed, as we are stewards of these public assets to ensure that there is no health or safety issues as well as water quality issues here in Pittsburgh.",i
73,"We have the remaining CIP there, which is 20%, So we have a lot of projects that we need to do to ensure that we can get the best out of our system.",i
74,So now I'll turn it over to Tony to talk about the stormwater program.,i
75,"Thank you, Thanks, Jen.",i
76,"So, basically, to bring you up to speed on some of the projects that we've completed, a total of 28 stormwater projects, seven of them are currently in planning stages, two under construction And total so far, we've spent upwards of 94 million since 2018 That was invested in the stormwater project, And you can see a nice spread of the projects across the city.",i
77,So some of the ongoing projects kind of go in a little more detail is the catch basin replacement- About 568 of them have been replaced- And also a lot of the cleaning has taken care of- up to 900 tons- and change of debris that's been removed.,i
78,"Along the same lines, we're continuing with sewer lining and replacement Lining- more than 15 miles of sewer and about one and a half miles have been reconstructed.",i
79,"The green infrastructure project, which we've been doing since after the 2016 green first plan, a lot of projects were implemented that you saw on that map.",i
80,We've been doing ongoing maintenance and inspection to optimize their performance.,i
81,One of the things we did this past year was bring a lot of that management in-house moving forward.,i
82,"In addition to that, we still face environmental compliance requirements- A lot of it on our outfalls- that outfall to the rivers and streams, And so there's quite a bit of inspection and protective measures.",i
83,The inspections are especially after events- storm events- to go out and inspect the system and make sure that we're not impacting water quality in the rivers and streams negatively.,i
84,"In terms of our capital budget, even though a lot of that was ratcheted down, the 2025 is still in the neighborhood of 29 million And a lot of that includes projects that are currently being constructed, like Braywood, the rapid a bus, rapid transit project, the catch basin inlet replacement we've talked about.",i
85,"There is money in there to complete as much as possible the design of the four mile run, And we're going to be doing that, We're going to be doing that, We're going to be doing that, We're going to be doing that.",i
86,There's a lot of work that needs to be done to get that done And then we're going to be looking at how we're going to do that And then we're going to be looking at how we're going to get a new stormwater improvement system.,i
87,"do some planning for Fowler Park with the parks and the city departments, The Oak Ridge storm sewer separation- that one actually has to go forward because we're taking illicit connections out of the system and putting them back in storm sewers.",i
88,There are other projects outside flats and woods run also earmarked for construction.,i
89,So the part that is still coming down the pipe is the what a consent decree.,i
90,"We're still in negotiations with Environmental Protection Agency, the Department of Justice, Pennsylvania Department of Environmental Protection and County Health.",i
91,So there's quite a few alphabet soup regulatory agencies involved.,i
92,"We got a draft consent decree beginning of towards the end of the year- October, November- But with the change in Washington DC leadership that's kind of come to a halt for a little bit until the current, The new administration.",i
93,The new administration figures out their priority of enforcement.,i
94,"While they're doing that, we're still moving forward and doing evaluation of the capacity of the sewer system, conducting water quality evaluations, as well as putting together operational maintenance metrics that we think we're going to need to run the system anyway.",i
95,So those are things that we're currently moving forward with.,i
96,"We've also submitted to them a draft operation and maintenance plan And we've worked tirelessly in the last- I want to say, 18 months doing flow monitoring, data collection to expand our hydraulic model, So the hydraulic model that Alka-Sand used to do their wet water planning.",i
97,the city Pittsburgh Water has expanded that to a much higher level of detail to help us understand the sewer capacity within the system.,i
98,"So that work is still ongoing, even as we speak.",i
99,Next slide.,i
100,So some of the things that we're keeping in mind as guiding principles.,i
101,"even though work has been suspended, we're thinking that we still need to maintain the existing infrastructure.",i
102,That responsibility doesn't go away.,i
103,"We still need to work with people who have either flooding issues, whether they be basement flooding or overland, To the extent that those are reported to us through the right channel.",i
104,Pittsburgh Water will still do the investigation to confirm where the problem is.,i
105,"Next slide, Next slide.",i
106,So we'll continue through the same thing.,i
107,"Anybody who's running anaffles without permission, who are impacted with the projects in question, are still trying to figure out best ways to go out and do community meetings and bring them up to speed what's going on and continue to maintain that two-way communication.",i
108,so it doesn't look like we kind of ran away.,i
109,"But at least the problem with things like that is when there's a void of information, people will fill it in with the wrong information and that's what we don't want to have happen.",i
110,"So projects that are moving forward: the Southside Flats sewer separation, the other one, the next one: we have partner projects with the Pittsburgh Rapid Transit folks that we regional transit- sorry, We have projects with them as well as PennDOT.",i
111,We've partnered with PennDOT with putting up the funds.,i
112,They actually have put together the projects and the contractor to do some of the stream restoration to help us with our permit.,i
113,The Woods Run Phase Two: AlkaSan is helping us with the growth funding on that one.,i
114,so that project is.,i
115,the intent is to move forward with the construction of it- MS4 compliance ones.,i
116,those are the two sites We are on the same permit with the city and those two sites are currently under construction: Glass Run and Shortier's Creek.,i
117,"And, like I mentioned earlier, we're completing design on the and, like I mentioned earlier, we're completing design on the Oak Ridge project and Fowler Park.",i
118,Fowler Park is a phase one over raw analysis that we're doing to see how whatever the projects that we come up with can still work for the park locally as well as help bring extra storm water to that park from the neighboring impervious areas Next slide.,i
119,So the main reason we're thinking the things that cause the project to grow.,i
120,So the main reason we're thinking the things that cause the project to grow.,i
121,"So the main reason we're thinking the things that cause the project to grow, the biggest one really is the funding side of it.",i
122,"And then there are also permitting challenges And, as most of you know, post COVID there's been a lot of escalation of construction costs and those continue to, where we have to consistently look at effectiveness of our project designs, look at ways to cut costs, if you will, moving forward with those projects.",i
123,"The other thing- that is the other thing that is helping us or we're thinking we're gonna look at, is: how do these projects fit in with the wet water plan that we need to do for CSO control?",i
124,How do those dovetail?,i
125,"How does it fit in with any of our storm water strategic planning that we've already done, as well as our wet water program that they're doing under their consent decree?",i
126,So that's another aspect that we're continuing to look at.,i
127,"even though it feels like everything is stopped, there's still work being done.",i
128,even though it feels like everything is stopped.,i
129,"even though it feels like everything is stopped, there's still work being done behind the scenes.",i
130,There's still work being done behind the scenes.,i
131,There's still work being done behind the scenes.,i
132,Next slide: They want one of the projects that has been front and center obviously is a four mile run project.,i
133,"We may go through during the Q&A we might handle some additional information on that, but right now just to say that the project is at 90% design.",i
134,a lot of the environmental green infrastructure type of things were removed for various reasons.,i
135,type of things were removed for various reasons.,i
136,type of things were removed for various reasons that we won't go into at this point.,i
137,"But this is basically now a storm water only project with the intent of addressing flooding, typically like a 10 year flood was the design for that.",i
138,We're looking very closely at constructability analysis.,i
139,There's a lot of when you think about what we're doing with the tunneling.,i
140,"we're going under an old railroad bridge, going through Greenfield Avenue, which is very, very crowded, and then we're running into a lot of obstacles on Second Avenue.",i
141,Some of it are Verizon conduits and things like that that may need to be moved in the process.,i
142,"So we're making sure that a lot of these things are taken care of, looked at before we go to final design and actually bid it, so we don't get in trouble with change orders and things like that.",i
143,"The one thing that has hampered us is, once those environmental and friendly parts of the project were kind of removed, You reduce the CSO overflow, which is the metric that AlkaSand uses to give the funding.",i
144,So it brought us below the funding threshold of the 10 million.,i
145,So AlkaSand has temporarily eliminated that for now.,i
146,"They're still asking us, once we finish the design, to come back and see if something can be remedied.",i
147,"We're not sure any of that will happen, But it's still a door that they've left open for conversation.",i
148,"But the projects have been completed within that four mile run region, The early action projects that were done on the bridle pad.",i
149,that has been very effective from what I understand from the people who live very close to that area.,i
150,The second thing that we think may actually be very impactful- but we don't know the extent of the impact- is the reconstruction of the M-29 outfall.,i
151,"There was a gate like a five foot high gate that was blocking, that was used to keep flow the river out of this sewer system.",i
152,That gate has been removed and now has a flap gate which acts differently from a hydraulic standpoint.,i
153,So one of the things we're thinking.,i
154,and then a lot of debris was also removed because you have a gate like that.,i
155,"it slows down flows, drops out a lot of stuff in the sewer, So we've also removed a lot of debris when that project is constructed.",i
156,"So we're having one of our M-29 outfalls, having one of our hydraulic engineers go to and do some evaluation now to look at to see if that improved anything.",i
157,"fortunately we haven't had really drastic storms since that project was completed, so we can judge by a level of flooding that has happened to date.",i
158,but we want to do a hydraulic evaluation just to confirm if our suspicions are correct.,i
159,so that's underway as we speak.,i
160,so looking forward the thought process and approaches to seek more grant funding.,i
161,"again, we don't know how, how these going to play out, but it's something that we are trying to look forward to doing and identifying any intermediary measures that we can.",i
162,"so, for example, just that evaluation i was talking about with the four mile run project and then working collaboratively with the council offices or anybody else that will have us to help beat the bushes, as they say, and see if we can come up with any kind of funding that will be helpful in the projects that we plan to do.",i
163,"next, and i think this is the questions, and yeah, thank you.",i
164,so we've also been joined by councilwoman strassberger.,i
165,does anyone else have anything they'd like to say before?,i
166,i can't see any more questions.,i
167,so we're gonna have to wait for the next one.,i
168,so we're gonna have to wait for the next one.,i
169,so we're gonna have to wait for the next one.,i
170,so we're gonna have to wait for the next one.,i
171,so we're gonna have to wait for the next one.,i
172,turn it over to members.,i
173,"no, okay, great, well, i'll.",i
174,"councilman charlin, let's go first.",i
175,you know i i don't really have anything specific because i think most of the presentation was about the four mile run projects.,i
176,like i said i i am concerned about the projects in south side.,i
177,i would like to have another discussion about that at some point in the future.,i
178,"but nothing, nothing more, for for today.",i
179,"you know, and i appreciate your ability to to juggle, as things from the federal government change dramatically and you have to react accordingly.",i
180,"so, but thank you, i appreciate it.",i
181,"thank you, councilman.",i
182,"well, i apologize and regret that another meeting kept me from from coming to see the presentation.",i
183,"i, as a board member, i have been briefed on this project and the trajectory it's taken, so i'm not unfamiliar.",i
184,"i guess my only question would be: is there anything that this that you think the city can do, as we have a a whole wide, not just on this project, but we have a whole sort of city-wide storm water management plan?",i
185,"is there any more that the city can do to partner, to assist, to help to achieve the same goals that we all have, which is a reduction in flooding, better quality of life for neighborhoods, procedures likething, storeeez and budget and ungefähr?",i
186,"thank you, new zone credit stock eerily.",i
187,"yes, we haven't kept in mind yet- umSenator mistakes origin, say, the south side park project on hold.",i
188,so i think what we had talked about was trying to figure out the types of mitigations that we could do.,i
189,"we could do as part of the project, like in phases, and work kind of closely with with dpw to see where there were opportunities where the projects could kind of mesh up.",i
190,"one of the things that friends of south side park would like to bring forward is the playground that is within the portion of south side park that i think is like right off of arlington boulevard, at the top near the football field.",i
191,so there's a playground that they have planned to build there and so that's something that they would like to move forward.,i
192,"so i think it sounded as though there was an opportunity to look at, look at the possibility of phasing.",i
193,"so where we could find opportunities to work with dpw to phase, i think would be useful.",i
194,does that leverage funds in a particularly strategic way?,i
195,sometimes maybe it's project dependent.,i
196,"okay, yeah, i think that we would need to look at the capital program to see where we would have opportunities to leverage anything.",i
197,"no, i'm interested in kind of hearing the the back and forth between the chair of this, this post agenda and pittsburgh water representative.",i
198,so i'll leave my questions at that for now.,i
199,"yeah, thanks.",i
200,so i guess my first question just to summarize again for folks: so what are the projects that are paused?,i
201,the list of projects that are paused?,i
202,we had a list the the major ones were the stewart avenue project for my run and i'm trying to go by up to top of my head.,i
203,do we have it on there?,i
204,"i'm sorry, i'm okay, i'm okay.",i
205,"yeah, i'm okay.",i
206,we've already met with the gardeners and there's one other one that escapes me now: south side park.,i
207,"so there's four, four projects altogether.",i
208,"so i'm obviously very familiar with the four mile run- yes, four mile run.",i
209,so i'm very familiar with the flooding impacts in that neighborhood.,i
210,what are the flooding impacts in the other three that have been put on pause?,i
211,they the stewart avenue.,i
212,one for sure is the flooding.,i
213,it's similar problems.,i
214,there was some road.,i
215,they had swells in the system before and then there was some road repairs that were done that basically eliminated that efficient way of getting the storm water out and that resulted in some localized flooding that we're also the plan was to alleviate with the new project and for that one does that affect.,i
216,are there residents that are affected by that one?,i
217,"so it's similar like oh yeah, but it's not the same level.",i
218,the four mile run one is fairly specific because it's more like a bowl area down by big jams.,i
219,"most of those are up a little higher, but it just it doesn't convey the water out efficiently enough, so it backs up on the streets and also, some of them, impacts their homes.",i
220,"okay, and then what about mlk field and south side park?",i
221,what?,i
222,what happens there when it floods?,i
223,"mlk field primarily- i mean south side park primarily- is a cso program, so i'm not sure it's so much a flooding issue.",i
224,"mlk, i'm not sure.",i
225,"mlk field was primarily looking at how we could retain water, and so the construction, the construction or the design plans were to install retention basins beneath a portion of the field and- and the main concerns- there was proper coordination with the gardeners so that their, so that their growing season would not be as as impacted by our water supply, and so it's a great thing to be able to do.",i
226,"but we were really looking at trying to retain, retain and hold back water.",i
227,"oh, i see, okay, so those were not like flood, like flood issues per se.",i
228,it was more.,i
229,"okay, so i guess- and i'll ask some questions- that i also that i do know some of the answers to.",i
230,19 was the last very bad flood.,i
231,"Yes, No, it was a 2020, That's right.",i
232,"21 was the last one we had a picture of, So 2021?",i
233,"Yeah, And just for anyone listening you know in the run and correct me if I'm wrong, but my understanding is that it is that when you get a very heavy rain, the water in the sewers comes down from Greenfield right And it overwhelms the pipes And what we get are manhole covers blowing off and literally the entire neighborhood from Acorn Street down to the playground and four mile run road filling with sewage.",i
234,And we have a lot of folks who live there And you know it's not.,i
235,"It's not a great situation, right, And it depends on how long the rain lasts, but basically it fills up, So it's like a lake, And then, once the rain stops, it drains.",i
236,"It takes relatively- I mean maybe 15, 20 minutes, something like that, for it to drain out, But we have had incidences.",i
237,"There was- I can't remember what year this was, but it happens very quickly- Yes, So one year, For example, there were customers coming out of big gyms and a man and his son had to scramble and to the top of their car and the fire department had to come And in fact, the fire department had a hard time reaching them because it was like they were out, sort of stuck in this lake.",i
238,That is what happens there.,i
239,"So, yeah, So you know this is sort of had a long history And I think it's really important that we agree with the neighborhood in this project.",i
240,"And obviously, just, you know This project for a number of years, for about six years was tied- at least the permits right.",i
241,"We're tied to the Mon Oakland Connector Project And you know the understanding from the community which you know is even now, even that I'm on counseling, I have a little bit more of an understanding of, like you know, the community, Like how things work and whatnot.",i
242,I still am not.,i
243,"you know, I'm still a little on the side of the conspiracy side of.",i
244,"you know, back in 2015 the city announced this project to build a road: 26 million was the original budget, over five, you know, over the years- for this project to build this road through Shenley Park and through 4 Mile Run And this project was really really close.",i
245,"It was 16 channel bundled to connect the universities in Oakland to a new development at the Hazelwood Green And of course, the residents and the run were beside themselves that this project was happening but their storm water project was not happening.",i
246,"And that you know that the city, of course, like we're all lumped in together, right, PWC of the city, right, It's all taxpayer money, but that somehow there was money to build this road for the universities and the development next door But there was no money to fix this flooding problem.",i
247,That's right.,i
248,"And then, just having, you know, the new public building now Bye-bye to the people over the time- And I think that wasn't part of the if- six- Chandler's upgrading, memorize the re.",i
249,"could you and Jay, Do you have back-share with you this flooding problem that had been going on?",i
250,"i mean, this is a community where people are, you know, replacing their boilers over and over again, just constant flooding.",i
251,"and so folks were upset and then, through the course of the six years where they, where residents, fought the city over the road, you know, then it was like, oh well, we're gonna do the project, the flood project, but it was tied to the road and residents felt again.",i
252,"i said and, and i felt at the time.",i
253,"i mean, i'm still a resident, but at the time i was, you know, just a just a neighbor- felt that folks in the run were being that they're, they're sort of that their flood project was sort of being held hostage, so to speak, by this road.",i
254,"that it was either like either you just shut up and accept this road or you just shut up and accept this road, and then you know, i mean- and i think that's something that i think that i've seen a lot of people have been doing in the community and i'm sure you've seen a lot of people have been doing that- and i think that's something that i think is really important to be able to see- is that you know you don't have to do it on the road if you want to get your flood project done or you don't get your flooding right.",i
255,"like you know it's, it's both and and in the permitting plans.",i
256,"i know this is painful, i know this is like this is a long, you know, but you know, over the and then and then you know, and then in the permitting you know it was very clear that the road was part of the permit for the flood right and so sort of underscoring this theory that it was like it was like either you get, either you do this road that the city wants or you don't get your flooding.",i
257,and you know the residents pushed back on that and pushed back on those permits.,i
258,"and you know lots of, lots of community organizing was done around that and finally, finally, after six years, right, we got a new mayor and that mayor, who had come down and you know, made this promise to us to stop this road project, kept his word, stopped the road project and then now, lo and behold, the flood project is cancelled as well.",i
259,so you can understand the line that is drawn between those two things.,i
260,"so you know, and i understand, that i i don't have, you know, i'm not on the pwsa board.",i
261,"i don't have control over what is done, what isn't done, so i can just ask questions about you know, from from residents.",i
262,"so, in terms of you know what's happening now in the run, like you know, i understand that there was some work done on the bridle path.",i
263,"i will say that since 2021, they're still like when we get a heavy rain, there is flooding, but it comes out of Shenley, but it's not.",i
264,it's not necessarily coming up out of the sewage.,i
265,"That's not what's happening, but we are still absolutely getting tons of mud that comes down from Shenley park, like down the zigzag trail, So that you know, I mean it's a heavy rain, It's like that whole section going into Panther hollow is just covered in mud, The playground is covered in mud.",i
266,"So you know, I don't, I don't know if I would say that the, that the projects up on the bridle trail are necessarily.",i
267,"I mean, I don't know again if those projects were intended to do, but but that is certainly still an issue I I've had, you know, working with Rachel ramp, you know I will say very responsive.",i
268,"you know, when I call and say, Hey, we've had a big storm, like can someone come down the run and like clean out these storm drains and whatnot.",i
269,So So I do appreciate that.,i
270,"but I guess you know, just to kind of start off, you know with the question, So so you know, one one thing that came up is sort of you know what's the difference between then and now, like what you know?",i
271,"you mentioned that you know the Alka sand project may help, like the, you know the, The M 29 outfall may have an impact.",i
272,So I want to let you all talk a little bit about that.,i
273,"So what is it that brought you to the place, aside from funding, right Aside from funding, brought you to the place of like, we don't need or or or.",i
274,"this is not urgent, as urgent as the other flood projects that are still moving forward, I mean, the only it's.",i
275,it's really funding.,i
276,"Yeah, honestly, it's really funding.",i
277,"the designing and the planning was moving along those lines even with the Alka sand project, but it's really the funding for the construction of the.",i
278,"So so why do we know, why can you explain why Alka sand pulled the 10 million Cause?",i
279,I know that the permits changed.,i
280,"I'll let, I'll let you talk a little bit about that Sort of the, the, what happened with the permit, And I've, I've, I've heard this, but I'll let you go into.",i
281,"So, the, the.",i
282,I never can tell what the acronym grow means: Greening out the grow project.,i
283,"They have a program where they fund reduction of storm water in the into the system, especially that storm water is shown to reduce the amount of combined sewer overflow that actually ends up in the streams.",i
284,"So when we did the initial analysis, it demonstrated that We're more than 20 million gallons- maybe closer to 30 million gallons- a year of combined sewer overflow that was reduced from the rivers by doing the daylighting portion that the Mon Oakland roadway would have been part of.",i
285,"So, if we're daylighted, the stream deepen the Pantaholo lake and dam and did all of those projects it would have resulted in, plus the storm sewer, It would have resulted in north of 20, 29 million gallons a year of combined sewer overflow And, based on the analysis, that we're able to say, okay, this makes sense for us to fund as part of those projects.",i
286,"When we took that part of the project out in order to move forward, it basically left us with just a storm sewer, and storm sewers, by definition, don't really reduce that much CSO because they don't start, They don't kick in Mm-hmm Until, like you know, two inches, three inches of rain.",i
287,What they were looking at was 24 hour stream Mm-hmm.,i
288,"Right, That was going into their system.",i
289,We were going to take that out.,i
290,Now that's still going into the system and we don't.,i
291,"we don't have the reduction, So it didn't.",i
292,we were not able to show up to 20 million gallons a year of CSO combined sewer overflow reduced.,i
293,"So, so again, and I was very familiar with those permits, right, I, you know at the time, The one thing I had to say to the people that I know that that was in the first year was in 2018.",i
294,"the road going away had no impact, as far as I could tell, on, I mean, and and the original plan was daylight the stream right.",i
295,So along the railroad track on the soccer field there would have been a daylit stream.,i
296,"you know that you, the, the, the run right Would have been daylit and then you know.",i
297,so why couldn't that be done?,i
298,"I mean, the road went away, but that didn't.",i
299,that was a separate The.,i
300,"the road going away Would have increased the cost Of the car data cost of the project in the sense that we're sharing back filling, so we're moving dirt from one to the other to help with the backfill.",i
301,so the road going away increased the cost.,i
302,but that wasn't the only reason.,i
303,the other reason was the getting permitting from the state.,i
304,on the actual daylighted street.,i
305,there were a lot of technical differences of opinion.,i
306,the state didn't like the approach we were using and the way they were recommending that we do it.,i
307,it came down: should you have a liner under that stream or not?,i
308,we thought you needed a liner.,i
309,"if you have a liner, you can maintain the water.",i
310,"state says: no, we don't want a liner.",i
311,"if you take the liner out, the water is going to disappear.",i
312,you're just going to have a dry channel.,i
313,"so that was, that was another point of technical difference.",i
314,and then the final one was at the at the lake point.,i
315,"the dam that holds the lake back right now is sitting on the right of way for the railroad, okay, and so the railroad gets involved.",i
316,"railroad says no, we're not going to give you guys a permit, some we you can't.",i
317,"once you start moving the dirt there, you have to get it totally off our right of way.",i
318,"and that was the third and final piece that there was no way we could do all those, meet all those different requirements within the timeline.",i
319,"we thought we needed to do that, to do the project between the railroad and getting the, the state to work out the liner issue, and then, with the roadway going away, those three pieces.",i
320,"basically, we said, okay, what can we do?",i
321,that still would help flooding the still.,i
322,and the consensus was we could still look at the storm sewer piece and just concentrate on that.,i
323,"once we made that decision, the 10 million dollars which would be enough to make sure that we got that water back to the system, and we could do it with the rain, because we could have used that more for the rain and we could have used it for water and we could have used it for the rain.",i
324,so it wasn't upfront money.,i
325,"we paid pittsburgh water, would have paid it up front and then got a reimbursement from our person.",i
326,"so, i guess, explain to me more about the liner.",i
327,"why couldn't we do, why couldn't we just update it and do it the way the state?",i
328,"if you thought we should do it, the amount of water that's coming off gonna fill it's, gonna go over a spillway and all of that water was gonna end up in this channel right all the way down, and that was a nice way to channel it.",i
329,"but when there's no rain, there was a continuous amount of stream that would be going through that channel, but it's very slow flow, so barely where you probably couldn't see it.",i
330,"if you don't have a liner, you'll be dry, you'll just infiltrate into the ground and you wouldn't see it, and so it'll be a dry bed pretty soon.",i
331,"all the stumps, tree stumps they were gonna put in out, all of that would die and it would actually be more of an eyesore.",i
332,"then it would be a living stream, which was the intention.",i
333,"so that difference of opinion in technical approach basically said you couldn't do the dry bed, okay, and then explain to me about the railroad because I thought that had to do with Panther Hollow Lake.",i
334,"yeah, it had to do with the lake being deepened and to do it we had to move the embankment, which the state considered a dam, and the toe of that dam.",i
335,"we don't have a map, but if you looked at the map, the way it is now, the current spillway and and the toe of the dam is right on railroad, right away, something you probably could have done in the 40s and 50s or whenever the dam was built, but you couldn't do that.",i
336,so which railroad is it that was not?,i
337,"yeah, I have to find.",i
338,"like, was it CSX?",i
339,"yes, yes, it was CSX, yes, so, just so I'm clear, what did CSX say we couldn't do?",i
340,"we have we would have to get the spillway off the right-of-way and we would have to move the embankment, the dam, off the right-of-way, which means we'll have to push all that back off the right-of-way.",i
341,"when you say back, you mean like toward the lake, yes, towards where the lake is not the right-of-way.",i
342,"so there's a whole lake down the right-of-way and that whole embankment would have to be pushed down the right-of-way and the spillway would have to be located off the right-of-way, and would that have been then connected to the stream sitting here right now I'm not even sure.",i
343,"just, it would be the.",i
344,"everything I just described just adds again, you just keep adding to the cost of the project.",i
345,so I'm still not totally clear.,i
346,"so this issue with the stream, you with the liner, okay, so let's just say like, was this a?",i
347,"i don't understand the 10 million dollar difference like, so we lost 10 million dollars because we took away the green infrastructure.",i
348,"that would have happened next, you know, along the soccer field, right along.",i
349,"yes, the 10 million dollars we were getting for the performance of the project, right, and the performance would have was the, the performance was there when you had the store, the, the green infrastructure, elements of it that would, that were like, yes, everything was there.",i
350,"once that went away, you rerun the models and you do the analysis.",i
351,you don't.,i
352,"you don't get the performance you get from a combined cerebral flow reduction, not a flooding.",i
353,the flooding remediation didn't change right.,i
354,"but what i'm asking is: so i, i understand about the lake, i understand that, like shifting panther hollow lake, you know, know, whatever, like 10 feet or yeah, whatever it would have had to have been.",i
355,"i get that, that is, you know, complicated, and moving the dam or whatever, but but the stream, i still don't understand.",i
356,"so, okay, there's, the state says no liner.",i
357,you say there should be a liner.,i
358,"yes, that seems overcomable.",i
359,"i mean, we can ask our army corps folks.",i
360,i don't know if you have any thoughts on liner versus no liner.,i
361,it depends on the intention for the stream.,i
362,"yes, yeah, i mean it.",i
363,"yes, the.",i
