sentence,classification
"Dr Ronald M Miller Bell Suver, Pittsburgh, Pennsylvania.",i
"Yes, USA and Frankfurt, Deutschland.",i
Are these global cities?,i
Are we supposed to be a global city here?,i
Global Intelligence Society- candidate for president 2028.,i
Globalinformationintelligencenetworknet: I taught global societies and invented it at the University of Pittsburgh.,i
"Structor Concerns of council include local government, neighborhoods, international, city, city allies.",i
"This is consistent with Three initiatives of mine for 2028: Local, non-party government, Neighborhood elected councils and city ally and country alliances amplified.",i
Local protests in US streets are safety negative.,i
Local pressure to get laws changed.,i
City council meetings are safety positive.,i
I appreciate what the SEIU has done and is doing on that point.,i
I am not the only one.,i
The president.,i
"This is European Intelligence Month, which I invented in 2010.",i
Localization is the primary function.,i
Globalization is subordinate to that.,i
Local government is primary.,i
This has been my position since 2010.,i
Consider H Wellman publication in 2024.,i
"The national government decentralization via the office of US president offers an opportunity for local government re-centralization, including in the city of Pittsburgh and across the United States.",i
"I think we can learn from Deutschland on this via the Grundesgesetz, the basic law from 1949.",i
I am opposed completely to any form of Nazism or neo-Nazism.,i
"by the way, Article 28 ensures and enshrines local government autonomy.",i
"in Germany, Locality Frankfurt is an extremely good example.",i
"I am not the only one, I am the only one.",i
The United States is the only one.,i
It is a good example.,i
"It has been listed with Pittsburgh as among the most livable cities in the world, for Frankfurt and for Pittsburgh.",i
"for the United States, Frankfurt has 770,000 people.",i
It is at the center of the EU.,i
There are a number of hubs.,i
"One is financial, is sometimes called bank bank fort.",i
"The European central bank is there, Deutsche Bank is there.",i
There is a hub for intelligence.,i
There is a hub for private sector.,i
"There is a hub for the European Central Bank Communications, DE CXI, which is the interstate exchange point for Europe.",i
The AI Center for Germany is there.,i
"Supercomputer Center, Airline Lufthansa has its headquarters there.",i
"What Frankfurt is doing, Pittsburgh can do.",i
"I think we should become more of a financial center than we are, And Frankfurt is also home to the local public sector alliance across Germany.",i
Thank you very much.,i
Our next registered speaker is Azasha Mennefield.,p
"Is Azasha Mennefield, with us Not seeing them online?",i
That exhausts our list of registered speakers.,i
We will now take comments from those in the chamber.,p
Is there anyone?,i
Anyone in the chambers that would like to speak?,i
"Please come to the podium, State your name and neighborhood for the record, You will have three minutes to speak.",i
"Good morning, My name is Yvonne F Brown.",p
I live at 715 Mercer Street.,i
"That's the high rise, That's the top of Bedford.",i
"I have been coming down for a couple years complaining about us, the seniors, that are being beaten.",i
We're the ham.,i
"I have been in the house all summer, beaten with sticks with a woman, the bad actor Rashida McKinley.",i
that's not allowed in the building.,i
"Now, April 1st, I heard her out on the third floor- That's where I live.",i
"She's hollering, telling Freddie Day: 304, let me in, let me in.",i
"He's saying no, no, She's hollering, you won't let me in.",i
We have citizens in the building that are afraid of her.,i
one woman she beat down and i know she let her and i said you let her in.,i
she said i.,i
she says she pushed me.,i
i pushed her back.,i
i said: but you let her in?,i
do you understand that this woman has had operations?,i
"she has stitches, she had staples.",i
"recita was in 7-eleven- this is the apartment- and she was getting ready to beat that woman who had all these stitches and the owner said: no, you're not going to fight her in here.",i
i've explained that she's chased me around.,i
when i went to the manager and said that i'm afraid.,i
and she said: don't say that.,i
and i said she's threatening me.,i
"she says, oh, she don't talk to me like that.",i
put her big breasts up in the air.,i
she don't talk to me like that.,i
"i left sad, confused and afraid for my life.",i
"she also went in and grabbed the manager by her neck and so i said to the manager: when i told you i was afraid, and that says: when you put your big breasts.",i
"she says, oh, she didn't.",i
"i said: well, why did you throw her down?",i
why were you rolling on the floor?,i
she's screaming: get her off of me.,i
"the manager says: i'm not hurt, i didn't hit her, i'm just holding her down.",i
i'm explaining to you what we're living through.,i
"we live with a woman who says: as long as my mother lives in this building, i'm coming.",i
"the police said that it's arbor and our med, straight, that's run, that's letting the ball go.",i
"he says police and the magistrate fatigue is supposed to be in her hands, or someone says they're actually kin to each other.",i
"i don't know whether it is or not, but you can check and see, because he should have recruits himself.",i
"he let this woman back in the building, knowing that her daughter has beaten up people.",i
now the mother came and was threatening me.,i
i said to her she said you're saying something.,i
i said i run from that thing.,i
that's what i call her a thing.,i
she's supposed to her and her sister's supposed to have killed the woman.,i
"i, i'm old, i don't want to be beaten up, walking around crippled because of a woman that's not allowed in the building and you won't do nothing about it.",i
"thank you, miss brown.",i
"next speaker, please.",p
good morning.,i
my name is pete schmidt.,i
"mexican war streets, north side 15212.",i
"i am also the western pa district leader for seiu, local 32.",i
thank you.,i
"i just want to formally thank our council members for sponsoring and moving forward with the introduction of the expansion of the paid sick days: council member warwick, council member mosley, council member coghill, council member charlin and obviously president labelle, who's not here today, and also council members wilson and gross.",i
i just want to formally go on record and thank you and we appreciate your support.,i
thank you very much.,i
good morning.,i
i wish to address the council on the topic of homelessness and similar activities in the pittsburgh area.,i
"my name is jacob pool, formerly zoltan jacob, and i have several names because american organizations were collecting children in the 80s and 90s, next to the civilian collapse, next to ukraine and next to serbia in the 80s.",i
"i see children cycle into children's camps, changing their names and altering identities and bringing us to america thousands of kids, one by one, and that's my story.",i
"so when i see all those tents all over downtown pittsburgh and along the river in pittsburgh, that's what i see.",i
i see children abducted by organizations who got money for every kid.,i
"child slave trade would change names and records to here and once they turned 18, people stopped receiving money for money for them and if they refused to take slave labor jobs which they were trying to be forced into, they became homeless.",i
"because they have no families, they have no name, they have nothing.",i
"it's a Nazi concentration camp, it's Nazi activity.",i
I have scars on my body to subdue me when I was 12 years old because I said European police said this is criminal activity.,i
"and I have scars on my body because of that, because people didn't want me walking around in high school in Ligonier, Pennsylvania saying there was mass calculations from Ukraine and from Serbia during the Soviet Union collapse to the area.",i
"so the surgical scar in my head, in my body, my back, and I have no records for them to silence me when I was 12 years old.",i
so this is real life and those homeless people all over Pittsburgh.,i
I bet you half of them have the same story as me.,i
"they just don't know it because they went through the same process when they were three years old, four years old, five years years old, eight years old, nine years old.",i
"The only way I know is because I was in European police custody when I was 12, 11, 12 years old.",i
They told me this.,i
They said they showed me around and took me to apartment complexes where women were held captive with tortured ladies and tortured people.,i
"children were taken from, put into American camps, changed their names and brought us to America All the guys that was helping us.",i
Now I'm alone.,i
"I have no family, no name, nowhere to go, struggling, and I'm no different from the thousands of homeless people that's surrounding the Pittsburgh area And that's their story: Secret surgical procedures to silence us, to change who we are, change our names.",i
"I have and you can Google me, you can ask, look at police records created around me and everything, Medical records to create this Nazi concentration camp I live in.",i
"My emails are blocked, my phone's blocked, social media blocked.",i
"I have no friends, no human contact, no family, year after year, while I'm constantly being targeted by slave labor sites operating in the Pittsburgh area trying to take me into their forced labor camps.",i
"Thank you, Thank you Next speaker, please.",p
"Hi, I'm Bernadette from Beachview.",i
"11 months ago, Pennsylvania House passes social media rules aimed at kids, teens, kids and teens.",i
"This bill will not solve all problems with social media, but what it does do is give parents a tool to help prevent bullying and other problems associated with these platforms, Representative Brian Monroe of Bucks County said in a statement.",i
"the bill would also require you know prior social media platforms to allow users to report conduct such as threats or bullying, as well as publicize a policy to how they will respond to these reports.",i
Monroe cited an ongoing negative impact on our youth's mental health from content found on social media and how it helps drive an increase of anxiety and depression in teens.,i
"according to the PennLivecom report, Some states- some states are enacting legislation to regulate social media and parents may request removal of their child's photos.",i
"A Brookline Facebook user, who is a local business owner, posted an obvious picture that had a child cornered to a wall for F-bombing.",i
That's all F-bombing.,i
"I researched the family, The child is 12.",i
Then several more posts about the little girl after they turned off comments.,i
I would like to see Pittsburgh a safe city of zero bullying of our kids.,i
"a database that if adults see something, they can upload instead of bullying kids on social media.",i
"Also in that database, a way to share the adults who are bullying.",i
The de-escalation trainings are outstanding.,i
I went to the one in Sheridan.,i
We need to have them neighborhood by neighborhood on an ongoing basis.,i
I once was a teen picture sharer on Facebook.,i
I was on Facebook.,i
I was on Facebook.,i
"I was in a group of kids who I thought were committing crimes, until one of my old foster girls, now an adult, said: mama bee, you don't know what's happening to them.",i
And she was right.,i
We need to make Pittsburgh a safe city for our youth.,i
We don't know the background of these kids And F-bombing.,i
really go to the United Kingdom.,i
They think it's cute.,i
Have a good day.,i
Thank you very much.,i
Are there any further speakers?,p
Any further speakers?,p
"There being no further speakers, we will now move on to the presentation of papers For the first committee of the day.",b
Councilperson Sharland Chair of Human Resources.,b
"Good morning, Madam President.",i
I was going to ask.,i
That's what I was going to ask.,i
Councilperson Sharland presents Bill Number 1730.,b
"Thank you, Bill Number 1730.",i
"bill number 1739, Resolution 1739 ordinance amending the Pittsburgh Code of Ordinances, Title V- Traffic.",i
"Article VII, Parking, Chapter 549, residential parking permit program to clarify the regulations for posting of signage.",i
And.,i
"Bill Number 1739 resolution amending resolution 98 of 2017 providing for the implementation of a residential permit parking program, area KK in the Southside Flats to expand the streets pursuant to Pittsburgh City Code, Chapter 549.",b
"Councilman Coghill, Chair of Public Safety and Wellness.",i
Can I waive Rule 8 or motion to waive Rule 8 on those?,i
"Motion to waive Rule 8 on On both bills, On both bills.",i
"Second, Is there a second?",i
"All those in favor of waiving the Rules of Counsel Aye, Aye Rules will be waived so that these Bill 1738 and 1739 appears on tomorrow's Standing Committee's agenda.",i
"Thank you, Thank you.",i
Thank you.,i
"Thank you very much, Councilman Coghill.",b
"No new papers, Madam Chair.",i
"Thank you very much, Councilwoman Gross.",b
Councilman Mosley.,i
"for Councilwoman Gross: No, I'm sorry.",i
"yes, I'm sorry.",i
Can you hear me?,i
We can hear you now.,i
"Oh, I apologize.",i
"No papers, Madam President.",i
"Thank you very much, Councilman Mosley.",b
Chair of Intergovernmental and Educational Affairs Committee.,i
"Thank you, Madam President.",i
"Agenda Achieved Agenda, Agenda 3 of 2.",i
"Mississauga, at the National Tourism Summit in 2009, was recognized as a State of the Land in 2015.",i
"The Board and the Council were recognized on August 19, 2014.",i
"Councilman Coghill- Yes, Councilman Coghill- Yes.",b
"Councilman Coghill, chair of intergovernmental and educational affairs committee.",i
"thank you, madam president.",i
"councilman Mosley presents bill number 1727 resolution authorizing the Pittsburgh land bank to acquire all the city's right, title and interests, if any, in into the publicly owned property in the 30th Ward of the city of Pittsburgh, designated in the deed registry office of Allegheny County as block 33 K, lot 128, 219 Reifert Street.",b
"council, district number three, at no cost to the city.",i
"and councilwoman Kale Smith, chair of recreation, youth and senior services committee.",b
councilman Mosley.,i
for a councilwoman Kale Smith: none new papers.,i
"madam president, thank you very much.",i
and my committee finance and law.,b
can we have council person Warwick for my committee?,i
"council person Strasburger presents bill number 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with Fragman del Rey, Burnson and lowly LLP in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters you.",b
"next we have councilwoman Barb Warwick, chair of public works and infrastructure committee.",b
"thank you, councilwoman Warwick.",i
"presents bill number 1729 resolution authorizing the mayor and the director of the department of mobility and infrastructure, on behalf of the city of Pittsburgh, to enter into an ownership and maintenance agreement with Albano LP for six bus shelters to be constructed along Second Avenue and Blair Street to correct building and maintenance of the Elevable käyt pani consists of a window, architecture scrapers, an Avenue and Blair Street in a Hazelwood neighborhood at no cost to the city.",b
"and we'll move on to councilman Wilson, chair of land use and economic development committee, because person Warwick, no new papers.",b
thank you very much.,i
"and for council president Lavelle, we have four appointments and we will need a motion to interview or approve once they are read.",b
"council president Lavelle presents bill number 1730 resolution appointing and Marie Allison as a member of the LGBTQIA plus Commission, term to expire April 1st 2029.",b
"bill 1731 resolution appointing Elliott Williams as a member of the shade tree Commission, term to expire April 1st 2029.",b
and.,i
"bill number 1732 resolution appointing Brian Murray to the Pittsburgh HIV AIDS Commission per title one, administrative commission.",b
and.,i
"bill number 1732 resolution appointing Brian Murray to the Pittsburgh HIV AIDS commission per title one, administrative article nine boards, commissions and authorities.",b
chapter 179 C: establishment of the Pittsburgh HIV and AIDS Commission- 179 co2 one in 179 co2 two of the Pittsburgh City Code of Ordinances.,i
bill number 1733 resolution appointing Clarice Jordan to the Pittsburgh HIV AIDS Commission.,b
"per title one: administrative article 9: boards, commissions and authorities.",i
chapter 179 C- establishment of Pittsburgh HIV AIDS Commission per title one: administrative.,i
"article 9: boards, commissions and authorities.",i
chapter 179 C- establishment of Pittsburgh HIV AIDS Commission per title one: administrative article 9 boards.,i
commission 179 C 0 2 1 and 179 C 0 2 2 of the Pittsburgh City Code of Ordinances.,i
commission 179 C 0 2 1 and 179 C 0 2 2 of the Pittsburgh City Code of Ordinances.,i
we need a motion to interview or approve.,i
"second: all those in favor, all those in favor of approving the motion to approve our nominees for the various commissions, please say aye, aye, aye, aye.",i
"we will now move on to two communications: bill number 1734, communication from Jake Paul act, director of the Office of Management and Budget, submitting the City Council attached status update from the grants office for the week ended April 11th 2025.",i
"and bill number 1735, communication from Felicity Williams, deputy chief of staff, submitting the equal opportunity review Commission quarterly report for the period ending March 31st 2025.",b
"we need a motion to read, receive and file.",i
so move second: all those in favor.,i
"aye, motion passes.",i
"and now we have one piece of sponsored legislation from council president Lavelle, in bill number 1736, ordinance amending the Pittsburgh code, title 6, conduct, article 1, regulated rights and actions, chapter 626, paid sick days Act, section 6 to 6: 0, 3, accrual of sixth time so as to change the rate at which employees can impute, accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated.",i
thank you very much.,i
that now moves us on to unfinished business.,b
"we have two appointments: bill number two, three, two, four, nine, eighty six resolution reappointing Afton Giles as a member of the clean Pittsburgh Commission, term to expire September 1st 2028.",b
and bill number 2025.,b
"1668 resolution reappointing Janet Evans as a member of the Housing Authority of the City of Pittsburgh Board of Directors, term to expire December 31st 2029.",i
we need a motion to approve.,i
motion to approve.,i
"second, second, second discussion.",i
"all those in favor, please indicate by saying aye, motion passes.",i
is there any other unfinished business before council?,i
"seeing none, we will now move on to reports of committees for final action.",b
we have the Finance and Law Committee.,b
"councilwoman Kale Smith, can you please submit my legislation for final action.",i
"thank you, thank you.",i
council person Strassburger.,i
presents bill number 1724.,b
reported a Committee on Finance and Law for April 9th 2025 with an affirmative recommendation.,i
"bill 1687 resolution authorizing the issuance of a warrant in favor of the County of Allegheny in an amount not to exceed thirteen thousand six hundred and forty seven dollars over one year, in full and final settlement of a claim for damage to the glycol line sidewalk heating system, the allegheny county courthouse by domey traffic division during sign placement on the forbes avenue sidewalk area of the courthouse on december 20th, december 3rd 2024.",b
you have heard the reading and the title of the bill.,i
is there any discussion on the bill?,i
"seeing none, the bill is now ready for final action.",i
all in favor of the passage of the bill will vote aye when their name is called.,i
those opposed will vote no.,i
"will the clerk please call the roll mr charlotte, aye.",i
mr coghill- aye.,i
ms gross: aye.,i
mr mosley: aye.,i
mrs kail smith.,i
"mrs warwick: aye, mr strasburger, chair: aye.",i
"seven eyes, zero nose.",i
"the bill, having received the legally required number of votes, is passed finally.",i
council person barbara warwick.,b
presents the committee on public works and infrastructure.,i
"thank you, madam president.",i
director of the Office of Management and Budget to apply for a grant from the Pennsylvania Department of Economic Development's multimodal transportation fund for the Penn Avenue lighting project.,i
"the grant proposal includes an ask of four hundred sixty one thousand eight hundred and fifty six dollars for this stated purpose, to accept the grant, reduce the grant amount and authorize necessary expenditures.",i
"and bill 1690 resolution amending resolution 133 of 2024, entitled: resolution authorizing the mayor and the director of the Department of Public Works to enter into an agreement or agreements or the use of existing agreements between the city of Pittsburgh and Paschak plus MTR, for the professional design services for the Fort Pitt Park phase one improvements at a cost not to exceed three hundred thousand dollars, by increasing the total cost by one hundred fifteen thousand one hundred and seventy dollars for a new total city cost not to exceed four hundred fifteen thousand one hundred hundred and fifty six dollars for the construction of the park phase one.",b
cost not to exceed four hundred and seventy dollars for the construction of the park phase one.,i
you have heard the reading in the title of the bill.,i
is there any discussion on the bill?,i
bills are now ready for final action.,i
all in favor of the passage of the bill will vote aye when their name is called.,i
those opposed will vote no.,i
will the clerk please call the roll?,i
mr Sharland?,i
"aye, mr Coghill.",i
hi miss gross.,i
mr Mosley.,i
hi mrs Kale Smith.,i
"mrs Warwick, hi mrs Strassberger.",i
"president, aye seven, ayes, zero, noes.",i
"the bill, having received the legally required number of votes, is passed finally.",i
now move on to councilman Kihari Mosley.,b
committee on intergovernmental and educational affairs.,i
"Thank You, madam president.",i
"councilman Mosley presents bill number 1726, reported a committee on intergovernmental and educational affairs for April 9th 2025, with an affirmative recommendation.",b
bill 1681 resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed fifty two thousand nine hundred sixty two dollars and twenty four cent.,b
bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utilities Commission in the amount of seventy two thousand five hundred dollars for delinquent debts owed by the city of Pittsburgh for 811 damaged prevention.,b
calls.,i
"bill 1683 resolution appealing resolution 366 of 2019, effective June 14th 2019, authorizing the urban redevelopment authority of Pittsburgh to acquire all the city's right, title and interests, if any, and into the publicly owned property in a 15th Ward city of Pittsburgh designated in the deed registry office of Allegheny County as block 56 B, slide 56 345, council district number five, at no cost to the city.",b
"bill 1684 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and the Pittsburgh land bank for the cellar block 10 J, lots 259 and 260, fifth Ward city of Pittsburgh, Aaron Street, council district number six, at no cost to the city.",b
"bill 1685 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and Island Avenue Holdings LLC for the sale of block 21 D, lot 42 a in the 27th Ward city of Pittsburgh, Island Avenue, council district number two, at no cost to the city.",b
bill 1686 resolution approving execution of a contract for disposition by sale of land between the URA of Pittsburgh and the Pittsburgh land bank for the cellar block 83 a.,b
"for the cellar block 83 a, the cellar block 83 at number six i lady starring city on Pittsburgh.",i
"look unique salary fee if n ms that will lateral and will be suppliedtrade pays by by all lease to the active parent and prices lily after we e five anchors and overhead wires upon city-owned property collectively, the DLC assets to manage vegetation on a certain property in the vicinity of the DLC assets and to perform landscaping in the vicinity of the DLC assets at no cost to the city.",i
You have heard the reading and the title of the bills.,i
Is there any discussion on the bills?,i
"Madam President, Yes, I have an amendment that I'm hoping I see being passed around.",i
We have it in front of us.,i
"Councilwoman, you are muted.",i
"If you're speaking, we cannot hear you.",i
"Yeah, my phone is cutting out.",i
I apologize.,i
This is the amendment we have in front of us.,i
It's just a request by PWSA.,i
It's a request by the PWSA clarifying who's responsible for landscaping at the pump house in Highland Park.,i
So I'm going to motion to amend.,i
Do we have a second Second?,i
All those in favor of the amendment before us please indicate by saying aye.,i
"Aye, Bill 1723 is amended.",i
Is there any further discussion from members?,i
The bills are now ready.,i
Seeing none.,i
the bills are now ready for final action.,i
All in favor of the passable.,i
"Aye, The passage of the bills will vote aye when their name is called.",i
Those opposed will vote no.,i
Will the clerk please call the roll Mr Sharland.,i
"Aye, Mr Coghill.",i
"Aye, Ms Gross.",i
"Aye, Mr Mosley.",i
"Aye, Mrs Kale-Smith.",i
"Aye, Mrs Warwick.",i
"Aye, Mrs Strasburger-President: Aye, Seven ayes, zero, noes, The bills having received the legally required number of votes are passed.",i
"finally, Any discussion.",i
"So, as the council members have said, we will now move on to the motion and resolution.",b
We will now move on to the motion and resolution.,b
We will now move on to the motion and resolution.,b
So anything from members?,i
"Yes, Council Member Warwick.",i
"Yes, Council Member Warwick.",i
"I just wanted to make a quick comment, That's OK.",i
"Yeah, So I just you know, with regard to the attack on Governor Shapiro's House and on his family over the weekend: Obviously horrific attack and terrifying.",i
I can't imagine how stressful that is for the governor and his wife and their kids.,i
"But more than that, I just wanted to note the fact that our president referred to the attacker as just some whack job, as if this was some random situation.",i
and it wasn't and it didn't have anything to do with the fact that this is a Jewish governor and that the attack was on the first night of Passover.,i
"to sort of wave it off as just some random situation, while at the same time, you know, actively disappearing from the picture Legal residents in the United States to foreign countries under the claim that they are terrorists, with no evidence whatsoever, totally illegal and totally unconstitutional.",i
"It's just, it's very scary, And I just wanted to mention it because I know that you know we're all here at city council, we're going about our business, we're doing you know we're going through an election, et cetera, et cetera.",i
"you know what I mean And I just wanted to mention it because I know that you know we're all here at We're going through an election, et cetera, et cetera, and everyone is doing that.",i
"right, Everyone is just going about their day and going to work and doing the things that we have to do, but people are feeling it and people and it's frightening and I just want to acknowledge that, acknowledge that that is, you know, that sentiment here in Pittsburgh and all across the country, that you know that we are aware here at City Council and that we appreciate the way that everyone is feeling, and certainly you know the way that our Jewish community members are feeling, given this attack on Sunday.",i
So that's all from me.,i
Thank you.,i
"Thank you, Council Member.",i
Is there anything further from members?,i
"Yes, Council Member, Strassberger, Council.",i
"thank you, Councilman Wilson, followed by Councilwoman Kale-Smith, Thank you.",i
"If I may, I'd like to register aye votes for the votes that I missed.",i
"So noted, Thank you.",i
"Thank you, Councilwoman Kale-Smith.",i
"Thank you, Thank you.",i
"I think this is just, I might say, half a bell on this, a lot.",i
"but there's just one thing that's interesting, which is obviously participation- and having a conversation about this is really packed with- is not relying on Generally Support all the time, But we again, I guess, just for the.",i
I'm just wondering if we can.,i
"Council Member Warren, Was there a school day that we didn't get an existing?",i
"No, not, we didn't.",i
"people help and trying to make sure that, and there's people here locally.",i
"I mean, I know that on the national level there's a lot going on and I leave that to our congresswoman.",i
"I know that she's, you know, doing what she can on that level.",i
"but on this level, in the city of Pittsburgh, there's people missing, there's people going missing.",i
"there's things that are happening in the city of Pittsburgh on a daily basis that needs addressed by this council and by this administration, because otherwise we're focusing on things we weren't elected to do.",i
"but we can do both, but our focus should be predominantly on what's happening in the city of Pittsburgh.",i
"that's what we're elected to do and for me, I really I see kids missing all the time in the city of Pittsburgh.",i
every week there's somebody going that you see a post that somebody has gone missing and to try to find that person.,i
"and, honestly, there's a lot to be said about what's happening in the homes of these, of our kids, and I think the more we just ignore this and just act like this is normal, the the worse, it's becoming, not better, and I think that we need to address what's happening here in Pittsburgh in terms of our young people leaving homes, missing, homes going missing.",i
there's just a lot.,i
"I mean, it's just so much.",i
"it's it's depressing, it really is.",i
"it's depressing- of what's happening, you know, and in our neighborhoods and each and every day and in our, the homes of kids across the city of Pittsburgh, and I wish we would do more partnering with, you know, DHS and CYF and others to get resources into and and and even our, our rec centers.",i
"they should have those resources available where kids are not just in schools but places where kids can get them after school hours or a place where they can reach, you know, resources more comfortably, and I just wish we would do more with that.",i
"and I know council on work and I are talking about a couple things with schools and and doing some partnerships in the evenings and other times, but I think generally across the city of Pittsburgh it needs to be done and I'm I know in Sheridan we have there's a lot of youth crime in the community in that area- 15, 16- There's a lot for kids to do and I tell people this all the time: if having something to do was Meant that there would be safety and kids would be safe, Homewood and Sheridan would be some of the safest neighborhoods because they have some of the best Resources.",i
"and Sheridan, they have the Jasmine- I read they have this Langley's supposed to be a community-based school Which is supposed to have programs available.",i
"They have the library, they have parks, They have people doing like hope for tomorrow and the boxing program at Langley.",i
I know there's a lot of programs in homeward because I used to partner with them and different things.,i
"But the problem is is that we set an expectation That an absence is something to do, is is it's okay to commit a crime, And what we ought to be doing is setting the bar a little bit higher for our kids, expecting a lot more for them and Trying to lead them in a better direction.",i
"And I just feel like, yes, there should be some more things for people to do.",i
"and yes, I'm eager for the Stevens school building to open.",i
"You know it has not opened and I do feel like it has been intentionally not open, delayed because it's needs so much work and And there's a.",i
I could say a lot to that and I will say a lot.,i
the conversation continues.,i
"I'll say a lot publicly every week, But what I'll say now is there's a lot of projects delayed in our district that would help kids and would do more for kids, But that's still not the overall answer.",i
"The answer is yes, give them some things, But let's also remember that we've got to set the bar high for our kids and teach them a little better like they do.",i
"in short, to your city, where it's.",i
"there's almost nothing for the kids to do down there except for Park in a ball field, But yet it has the highest, some of the highest, homeownership in the city of Pittsburgh, low crime, the kids Succeeding and doing well, and I think it's because they set the bar so high, so I just was.",i
it's when the community embraces everybody.,i
"I think it's it's coming together that we need to do a little bit all over the country, all over the city of Pittsburgh.",i
"Thank you, Thanks, councilwoman.",i
anything further from members.,i
"I think I saw council person Charlene first, followed by council and Mosley.",i
"All right, Yeah, thank you.",i
I would like to call for a motion for a.,i
"well, I'd like to call for a motion for a public hearing on our trash situation in Pittsburgh.",b
Just to make sure members know.,i
"after We did the will of counsel last week, My office has been blowing up with people with a lot of really good ideas For what we can do to fix our trash problem here throughout for the entire city, from all of your districts.",i
we've kind of become a- I Don't know a- nexus of this conversation.,i
So we'd really like to hold a public hearing.,i
We'd like it to be in the evening as an opportunity to bring people in and hear from their ideas on what we can do to Solve this trash issue here.,i
So I'd like to make that motion second.,i
"second: all those in favor Please say aye, aye, post extensions, motion passes.",i
"We will get that scheduled, Thank you.",i
"And one last thing: I did ask for a briefing on the CEO works Initiative that is in Homewood, how we can ask for other neighborhoods to apply.",i
I make sure this benefits the whole city.,i
"So that, I believe, is in the process of being scheduled right now.",i
"Thank you, Councilman Mosley.",i
"Yeah, I just wanted to echo the comments of my colleagues about Unfortunate situation that happened at the governor's mansion over the weekend.",i
I've known governor Shapiro For two decades.,i
"met him, you know, When we were much younger, when he served in the state legislature with my wife and I'm, you know, Consider him a friend.",i
I've known his family For a long time.,i
So my heart goes out to the governor First and foremost.,i
"but, like my colleagues said so eloquently earlier, this really underscores, You know, the unfortunate state of our current politics And it's so, very, so important that you know We can get to a point where you know We can agree without being disagreeable and work together on issues you know and come together because you know, I think, That you know it's not overreacting to start.",i
"you're being concerned about, you know, Our own safety as elected officials on every level of government.",i
"as you know, these heinous acts you know continue from, You know, what happened in Butler, PA, last summer To what happened at the governor's mansion this weekend.",i
"So I hope at some point we can get to a point where You know our public officials are not under attack And and and folks can't disagree with us and we can have robust Dialogue and debate, you know, in the true democratic spirit, without people resorting to violence.",i
"So again, you know, I, just you know- fear for the future and hope that you know these, these, this is an aberration and Not a trend.",i
and then I also do want to wish all those who are celebrating Passover a joyous and prosperous Passover celebration as well.,i
"Thank you, councilman.",i
anything further from members Seeing none?,i
we have a few meeting announcements.,b
"this afternoon at 1 pm, Council will hold an executive session on bill 1728 as it relates to ongoing litigation matters.",i
"tomorrow, Wednesday, April 16th, 10 am, Council will meet for their standing committees.",i
meeting Speaker speaker.,i
registration will close at 9 am.,i
Wednesday morning.,i
