sentence,classification
"Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Okay, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i
"Okay, So we have a process where, if somebody wants to purchase a city-owned property, they put hand money down, And is there a certain percentage that's always on that, Or is it always on the percentage of that sale of the building?",i
Is that right?,i
"It's a percentage of the sale of the building or the land, or 250, whichever is greater, Got it, Okay?",i
"So a constituent- Yeah, So a constituent, Yeah- came to me- this property lies in brookline, my district, of course- and told me the scenario that they had went through.",i
so what happened was they put the hand money down in expectation to get the property.,i
"you know, obtain the property, i think in our forms it says it could take anywhere from 18 to 12 to 18 months or something of that nature.",i
"so, so she put the money down, and a substantial amount, i would say, put the money down and i guess we put that money towards the administrative costs and things of that nature.",i
"is that, is that what we do with that hand money?",i
or do we just hold that?,i
it goes in escrow?,i
"because an escrow, okay, good, good.",i
so it went beyond the 18 months.,i
"it was, i think, a little bit over two years, finally that this person decided- you know what the place looks like- it's deteriorated beyond what is really repairable, okay.",i
"so he or she was asking for money back, right, and we talked about this.",i
"we were worried as a city that it might set precedence, because we don't typically do that- it's in the agreement- whereas you know you put the hand money down, you're kind of tied into the property at that point.",i
"there's no refunds, basically, well, not entirely okay.",i
so that's on the bills ofrez against you small area houses.,i
"but yeah, are there any real some other documents like hyphens, mentioned in, i think, maybe the statue, whatever?",i
is there stuff around the council?,i
so the reason why this last thoughts is continuing to take- i think that's what the discussion is going on for a wholeOUR.,i
"Okay, I just want to state that as the city, I think we have issues with our process more than anything.",i
But you're correct and you know we don't want to set a bad precedence.,i
"It's not, it's kind of in the agreement, but also in the agreement is eight, twelve to eighteen months and you know Things of that nature.",i
I think what's really wrong here- and the reason why I want to- I really wanted to just bring this to Light so we can correct this moving forward- is the 24 plus months right Now.,i
"I rode by, I go by this house, houses right at the bottom of the hill for me.",i
I went by there today and I'm telling you there was holes in the roof of this big around right.,i
"That's like bad, bad news all the way down, right.",i
I mean it's like This person is probably not the right person for this property.,i
I will tell you not at this point.,i
"The right person is somebody like me: a general contractor come in and has to like kind of strip this Property down to nothing, basically, and rebuild it.",i
That's kind of where I feel that's just an outside observation from the ground.,i
"I wasn't inside this place, I didn't inspect it or anything of that nature, right?",i
"So So this person wants to move that down payment at four thousand dollars That they had put down for the to the shore, that cost to shore this property up to another property, and we don't do that either.",i
We have not done that.,i
We've not.,i
"there's not a president's of that, That's not.",i
we've done it one time.,i
"Okay, and we did it one time because Solely on the part of the city, the and it may have even come to A point where their original application had been lost, and there was some.",i
"It was one of the sorbs, It was one exception to the rule.",i
I understand We don't want to make this a norm.,i
I get it.,i
I think you're doing the right thing by sticking to.,i
"you know, yeah, we don't.",i
"you know We don't want to go off course, share- We really don't.",i
and then who knows?,i
you know how many sales are pending out there.,i
I have no idea.,i
I'm honest with you.,i
"I have to say that the reason that it's like this is because at a certain point, the city starts to expend money in order to complete the sale.",i
"so we Pay, like quiet title costs which we hope to recuperate at the close of the sale.",i
"So, and this money comes out of the 3 TB trust fund, a trust fund that we've worked extremely hard To keep from going into the negative and have built it back.",i
"So if we consistently allowed people to actually do that and refund all of that money after we've expended it, Then that becomes a problem.",i
"right, I agree, and You know, to be honest with you, I'm not necessarily asking you to refund this person's money.",i
"I think that it is the right thing to do, and you know.",i
But I don't think we're in a position.,i
"We'd have to get our solicitor up here and, I think, talk further about this.",i
Unfortunately we don't have the time right.,i
"the sale of this property is coming up, I think within two weeks, as to that person needs to act on it or we just need to rescind the sale and they lose The money, right.",i
so so that's where we're at with this.,i
"I would love to Refund this person, but I understand exactly what you're saying.",i
"Okay, but again I feel like we're bad Realtors here.",i
I guess you right.,i
"I mean, we take hand money down and again this substantial amount, four thousand dollars, I think it's okay for me to say that, You know, on a piece of property that at the time was probably worth every bit of what that person's paying for it, two years goes by And again I'm almost positive.",i
"I can't say certainty, but the person would not have, You know, went ahead with that hand money had they seen the hole in the roof this big around in the front You can see from the street, you know, and that tells me basically big, big, big problems, right.",i
"So whether it was bad decision from their part, maybe, you know, maybe that place wasn't inspect out, in inspected two years ago.",i
Did it just all fall apart in two years?,i
I can't say that.,i
"you know, I could tell you that hole probably wasn't there because that would have been like so.",i
"so my, what I'm really trying to achieve is Moving forward.",i
I feel like we need to move these properties.,i
"We don't have to move them if we stabilize them though, right.",i
I mean I mean just bring in public works crews.,i
"right, We could do that in-house.",i
I would hope just to out of the 3 TV trust fund.,i
It needs to be paid from there.,i
"So unless that trust, we can't do in-kind work from the city.",i
"No, we can't say W charges us if we send.",i
"you know, if we send public works crew out to board up a building because The windows were broken out or the door has been compromised, I mean we charge us for it And it goes.",i
it gets charged to the trust fund.,i
"so I mean, Ideally that's the place that we would like to be in.",i
"director Hornstein, We're not you a bill, basically, For we pay holding it up and that goes.",i
where's that money?,i
"I'll go to it, It would go to them.",i
"or even if they charge us for demolition, I mean we hope to recoup costs on demolitions when we.",i
"but it gets, you know, bill to us.",i
"We may not pay it instantly, Instantly at that moment, but eventually, you know it's supposed to come from that trust fund and reimburse this.",i
"It's not necessarily in kind and something like repairing roofs- It gets paid out of the 3 TV trust fund, like we would have to Secure a contractor and pay for it.",i
"So even if you use in-house, were built for it, something like that- It's likely to give you a discount at least.",i
"So, anyway, what my point is this: moving forward, We need, if we accept hand money on a piece of property and if we're not sure, we can turn it around and say eight months, First of all, I'll need to be in writing.",i
this all needs.,i
you know that we have 12 to 18 months.,i
It could take.,i
this took 24 months.,i
"We need more clarity, right, We need to do in a certain time period or we need to stabilize.",i
I think the best thing is stable.,i
"part of that timeline, though, is also attributed to how fast the actual purchaser acts.",i
"so this specific purchaser we requested- I think we sent them a letter in October of 22- Said that the legislation had passed and you're now required to give us a title report, and we didn't get it.",i
It's supposed to be in within 60 days.,i
"We didn't get it until like four months after that, So we didn't get it till sometime in January.",i
"Yeah, I'm not Like China And we say 12 to 18 months, but there could be.",i
"there's things that we don't have control over and part of that is quiet title with the courts and Even though we may file a petition, it could take a long time for it to move through the court process in Order to get final orders and complete it.",i
"Okay, and let me just stop right there for a second.",i
"So if They, you know you do all the title clearance whatever- you pay an attorney, I guess, to do this groundwork.",i
"So if, like this person's asking to switch that credit that they put down to another property- What amount of work is done On that first property that we don't have to do again- that we could credit this person for meaning title clearance.",i
"right, I mean right, there's certain things that are done out of that hand money That will be there for the next buyer that we don't have to do again.",i
That's what I'm asking.,i
"right, we would put it up for what they call sealed bid and we would put a bid amount and send a letter to.",i
I Guess whoever else was interested in it could apply for it and we'd have to Put up for bid where they would enter in a bid price through them.,i
"I mean, we have to go through the whole same process for, so say, for instance, If we gave this person back there, refunded their hand money, Would you have to go through the same process every part of the expense that the titles already quieted, Expended the money for it.",i
"So it's title right, but it's quieted title in the name of the purchaser, So we would probably have to go back to court and adjust it to the city.",i
"Okay, I'm probably getting off too fast.",i
"Okay, I get it.",i
"You know, I know there's this complicated, believe me, and that's why I struggled with such a thing.",i
I'm like I've never been in this situation.,i
"David, you can say I'll let you speak as soon as I'm done with my last point here.",i
"Okay, the ultimate goal here, I feel, is like: right, this is a person, a young professional, wanting to go through the city of Pittsburgh, purchase a Affordable home.",i
what they thought or think is an affordable home.,i
"so Again, when I say we're bad Realtors, this person's leaving losing their hand money.",i
"I'm not, I'm not casting blame on us or this person, necessarily, But this is the result and sour to our process.",i
I'm sure I haven't spoken to that person on those terms and We got a property that's still blighted and sitting there.,i
"and you know, I'm thinking, if we did just stabilize this thing, I'm sure that person would have gone through with this sale and we'd have this thing back on the tax roll And so.",i
so now I still got a blighted piece of property there.,i
This person doesn't have a home and probably can't.,i
"You know, I don't know what 4,000 means to this person, Right, but to me it's a lot of money, to me still, right, and I'm 60, so So, so that's my goal is really to get the process moving.",i
I would like to see a stabilization now.,i
"I understand, director complications.",i
"if public works is billing us, Maybe we could straighten that out here at the table.",i
"I don't know, You know, I have no idea, to be honest with you, But but if we can use public works people just to do the basic repairs, So this property doesn't deteriorate to a point where it's- and you, you couldn't even move in this property for a year, There's that type of work to do: chimneys, roofs, Windows, siding, doors, you name it right, That's just the exterior.",i
So so I just don't want anybody else to be in a bad deal and- and I'm not saying we set this person up.,i
This property is probably worth what we're asking for to somebody like me who can come in with trucks and labor and not Expend that type of money on it.,i
So so I like the asking price.,i
"I just really want to make good for this person so they can use that money and- and if we can do it in any tricky way- Transfer, I don't know, you know, just find a way where they can still put use that some credit.",i
there Doesn't have to be all of it.,i
"you know, if we could Figure out what we expended on the first time that we don't have to this time, Maybe there's a difference there, I don't know.",i
So so that's my goal.,i
"Okay, I know you're uncomfortable with it, I'm uncomfortable with it.",i
"I I wish you, you know, wasn't in my lap to be honest with you.",i
So so go ahead.,i
I'm sorry.,i
"Yeah, please, Councilman, I just wanted to, you know, make sure that we're addressing your, your global concern, and not just the the minutia of this sale.",i
"right, and you know, as we've discussed, you know, we want to thank City Council for their work and investments on tools like the land bank.",i
I think the situation we're talking about here on a.,i
you know the specific case is Really well suited for a land bank transaction in the future.,i
the process started well before we got the land bank up and running and moving and processing properties.,i
"But the the flaws in the city sales process from a structural standpoint Right, are the reason why we've worked so hard to get the land bank functional after a decade of it not being functional.",i
And so I I just wanted to point out that you are correct.,i
"This probably isn't a, you know, great process for the scale of the project, for the individual in their capacity.",i
"and To your points about improving the process, I think we've already done a lot to improve the process and make the public options available through the land bank And you know that's a credit to City Council as well.",i
I Agree and you're absolutely right.,i
This really belongs in the land bank.,i
I feel right.,i
"I mean, this is what we kind of created the land bank for.",i
"this still, like you said, started before, So wasn't could even be part of that process.",i
"I guess could this sale of this property go to the land bank now, if I Mean- I Don't necessarily know the legality of it- We recent, if we it wouldn't solve, to answer your question, Most simply wouldn't solve the question at hand, which is that the legislation on the table right now does seek to refund the hand money, Which we'd like to see amended.",i
I think we would still like to see that part of the bill struck.,i
"and then whether or not it makes sense To move forward with a land bank transaction is a question beyond you know, the, the director and myself.",i
"it would have to involve You know land bank staff and other individuals talking to the interested party here and trying to figure that out, But I do think it's a potential solution for sure.",i
"Right, Is there a Director?",i
"is there a record of others asking for their money back, or is that something that doesn't commonly happen, or is it?",i
"there are some occasions where people do ask some situation like The buildings, like not what I mean.",i
"you know various situations And we've denied every single time: Okay, Well, that's, that's Even in the man.",i
"someone did take us to the magistrate over it and they held our contract, got it.",i
"Yeah, I understood, understood, And again, I'm not really trying to.",i
"I don't want to city to do something It's not comfortable with in a legal way, honestly.",i
"so I'm gonna vote for it Anyway today, just out of principle.",i
"but You know, I really Hope we could just dive right in and change how.",i
"to be clear, We're not against the principle, We're just Against, I guess, a precedent that it could set in the future.",i
"I believe that could bankrupt that trust fund and you should be, yeah, and you should be honestly so.",i
"you know again, I'm not casting fault or blame, I'm just saying when we take hand money on a piece of property, It should be at least in as good as shape as when we took that hand money.",i
But let's be clear.,i
this first point is: I'm gonna leave these times easy.,i
I think that is.,i
I would agree fully.,i
So you give me your take on this Question.,i
"first, Yes, you can probably see.",i
I thinkidades in a delay.,i
I haven't actually read it.,i
I'm gonna period.,i
Second question: definitely Ask: What is this difficult right here?,i
It's just this: this Consumption of money is absolutely Right.,i
I'd go this way.,i
So two families have iso.,i
The simplest solution here is shortening the amount of time that the sales process takes that way.,i
I agree with you in principle.,i
"Our goal should be, when somebody enters an agreement of sale for a property, that we should be moving as quickly to get that out of the public hands and into their hands so that what they've agreed to buy is in a substantially similar state and that they're able to get moving as quickly as possible.",i
"I think that benefits the individual, it benefits the neighborhood and the residents surrounding that property and, ultimately, is a fiscally responsible decision for the city, which is again why I will keep emphasizing the use of the land bank as a tool.",i
I think some of those other solutions you're bringing up may have been worth exploring.,i
"if something like the land bank— I got you- If we didn't have the land bank, the land bank wasn't up and running.",i
"You're not saying more Honestly, you're right on.",i
You really are.,i
This is an unfortunate situation.,i
I'm really just trying to—the person.,i
"I'm sure this money means a lot to them, and probably the difference of them securing a home or not.",i
I want people to be encouraged to use the city process to buy these homes.,i
I guess it's hard for me to speak up because I have no clue as to what the rest of the inventory looks like.,i
Is it buyable?,i
Is it movable?,i
"How much money do you have to put into a certain property, But this certain property, if this council doesn't approve this money back.",i
I don't think this candidate or this person has the resources.,i
It's going to be a quarter million dollars to bring this place up to speed.,i
I will tell you That's what I'm thinking about.,i
That's conservative.,i
I mean everything right From the top to the bottom.,i
Maybe the frame- Hopefully parts of the frame- are good.,i
"So, again, it was really the wrong customer for the wrong house and that's probably not our fault, honestly.",i
"That's all for now, Thank you.",i
Thank you for your time.,i
I think it's time for me.,i
"I guess I'll open up to other council members, Appreciate you working with me on this and hopefully the land bank could settle all this stuff for us in the future.",i
"So thank you, Madam Chair.",i
"Thank you, Sorry it takes so long.",i
"No, that's okay.",i
We have a couple of other members who have indicated they'd like to speak: Council Member Warwick and then I know Councilwoman Gross online would like to speak.,i
"Hey, thank you.",i
"Just so I'm clear on Okay, Okay, Okay, Okay.",i
So we had someone who wanted to buy.,i
This was a city-owned property- Someone who wanted to buy it.,i
How much was the for sale price?,i
"40,000, Okay.",i
"So they wanted to, So 40,000, and they put down 4,000, Like a 4,000 sort of hold.",i
What was this?,i
"4,000, Okay, And they put down 4,000, Yeah, So they put down 4,000.",i
"And they put down 2,000, Yeah, 2,000, So, 2,000, Okay, So every time they'd like to, So we have a chance to go inside and check it out and all of that Yep At the beginning.",i
"And was there some kind of like report, Like you know, state of the property report or something like that?",i
"We don't do that, but we will set up a.",i
"Okay, If they wanted to go in and view the property, they could bring whoever they'd like to go and view it with them and give opinions on how much things would cost and what repairs would be needed.",i
They could bring whoever they wanted to.,i
"Okay, So they could anybody.",i
"and then- that's part of the process- they could schedule a viewing with the staff and they'll take them out- Okay, to the property, open it up for them and they can go in and see- Okay, whatever they needed to see.",i
"and take any contractors- Okay, I wanted to with them.",i
and do we have someone there?,i
"like, if they want to do that, Do we have someone there?",i
they set up an appointment and my staff go out with them.,i
"Mm-hmm, They coordinate ahead of time.",i
They set a date just like you would.,i
"for you know, like a, I'm just a real estate agent, okay, open, not necessarily an open house where it's open and people come in and out, but they would schedule a viewing and After that they, if they decide to move forward, what they signed, some contract that says there's a proposal to purchase, Okay, that they sign it's a contract, and they put down their hand money, Okay, and then we send legislation to City Council- I think we actually have legislation on the books today with a List of properties that those are people that have applied, they've been approved as buyers.",i
They put down their hand money and now we're presenting them to you to okay the sale those properties to these individuals.,i
"okay, so, and in that contract does it say anything about, like, You're compelled to to go through with this?",i
"it, Regardless of what happens to the property between now and then?",i
"it does then okay, Okay, So.",i
"So we don't actually know, Sort of like, the state of the property.",i
"we don't have a record of the state of the property at the time that this initial exchange happened, Like whether there was a hole in the roof or whether now, so we, okay, Maybe that would be something to Even just like a, I mean if we're there anyway normally.",i
"so when we price a property, we look at comparable properties in the same area in order to determine a price.",i
"normally, if the staff is aware of compromises like that, some especially something that's visible, like a hole in the roof that you could see from the street, those things would have been noted and taken into consideration at the time of the pricing.",i
"okay, okay.",i
"so i mean, do we acknowledge that the whole came over the course of the?",i
"i would assume it would, would have come after, or else we probably would have noted that there was a hole in the room, there was a hole in the roof, okay and okay.",i
"so so the contract was signed, the they paid their four thousand dollars.",i
"you know, they put down their four thousand dollars and then you said there was, we sent them something and then it took four months for them to send it back.",i
"so after we send the legislation to council and council approves the sale, usually send a letter okay, stating that council has approved your sale, the sale is ready to move forward.",i
"you need to secure a title report and i think we give them 60 days, okay, in order to they're they're responsible for getting one and submitting to us, okay, a title report.",i
that title report is then used to start the quiet title process.,i
got it okay?,i
"so the 60 days, so two months, do we send like a reminder, like maybe they didn't get the letter or something like that?",i
i'm not sure if they do they.,i
i think manda might reach out if she notices that there's no response and it goes on for a while.,i
"okay but, and she may do that by phone or email, okay, okay, but in any case it was, it was four months to get get the quiet title process moving.",i
"yep, and then, and- and i know that this can vary, but in your experience, what is assuming you had, like you know, an attorney who was ready, you know, just had nothing better to do but quiet this title right, what would be, generally speaking, the, the fastest turnaround generally on on quieting a title?",i
"like eight months to a year, that's moving really quick i think and that depends on.",i
"so, as part of the title report there's a list of basically a creditor, like anyone that would have any financial interest in the, in the property, that, or any attachments, and they have to send notice to all of those people in that list and they have to give them a certain amount of time to respond in order to object to the quiet title of the property.",i
"so, depending on whether or not they hear back from the those individuals, they may have to mail things multiple times if they get no response from them.",i
"okay, so that.",i
"so that's like a year, basically, no matter whether you're the land bank, whether you're the city, whether you're, it takes, it takes months to actually do that, but it's at least 30 to 60 day notice, and if they don't receive something back, it may start that time clock all over again.",i
"okay, so, even like best case scenario, we're at 14 months, right, because of the initial delay and then, and then quieting the title.",i
the quiet title is the longest part of the process.,i
the quiet titles hands down.,i
"so, oh, and here's a question, how much do?",i
"well, do we know how much we paid to?",i
did we quiet the?,i
"we quieted the title on this property, okay, and do we know how much we paid to do that?",i
it's at least.,i
"i think it might actually depend, but i'm not entirely sure, but we did expend money to do it.",i
"So, a couple hundred dollars at least.",i
"Oh, just a couple hundred dollars.",i
It could be upwards of that I don't know.,i
Are you sure You know offhand?,i
"I'm sorry, That's okay.",i
I don't think we have a known cost.,i
"in addition to attorney's fees, You'd have to calculate in staff time and capacity spent.",i
These are all sort of the expenses to the public that the hand money is meant to account for.,i
"But it probably wasn't 4,000.",i
I have no idea.,i
"I don't know how much staff time or attorney time was spent on this property, So it's hard to say It really is.",i
"The filing fees could be a couple hundred to 1,000, but there could be more involved in that.",i
"Okay, Okay, And then again.",i
so I guess I'm a little confused too about DPW.,i
"So you know we have DPW workers who come and board up a house that we own, right?",i
"Yeah, I guess I didn't realize that either.",i
So they like invoice the finance department?,i
"Yeah, they can.",i
"I mean, they have costs as well.",i
"Sure, sure, sure.",i
"And this isn't like: keep in mind, we say city property, but these aren't strictly city-owned properties.",i
"These are properties that we took in treasure sale and the financial interest doesn't just lie with the city, It lies with the school district and the county, Mm-hmm.",i
"So, which is why there's a separate trust fund, Got it?",i
So DPW expends money in kind for properties that we own outright.,i
"Okay, That's their job, Got it Right.",i
"Okay, They maintain our city-owned parcels and buildings.",i
"Okay, This is not that These are separate.",i
Now I'm understanding.,i
"Okay, so that is because these properties are not just.",i
"it'd be like if me and my three friends owned a property and there were costs, all of us and this person did work.",i
"Yep, We're all.",i
that's how we all.,i
it's like a joint account that we all three pay.,i
"This trust fund would be responsible for paying any like water bills if there was water turned on, Got it.",i
Electric bills: It comes out of there.,i
"It does not come out of DPW, Got it?",i
It's like your joint account with your spouse or whatever You're like.,i
we pay all the family expenses out of this and then we have our own accounts for our own.,i
"That's exactly right, Right, right, right.",i
"Got it, got it, got it.",i
Okay.,i
So that makes a little bit more sense.,i
"Okay, So I guess I understand, and now just sort of a.",i
"so, generally speaking, because I understand, like, and you know, I'm very glad that the land bank is doing so well, So could you just overall sort of over, like last year, how many properties did the city move To sell.",i
you know how many properties did the city sell through this process?,i
Through this process?,i
"it's a couple hundred, which is actually the most that we've ever done.",i
"That was in 2024, Yeah, Okay.",i
So like 200.,i
and do we know how many we did in 2023?,i
I'm slightly shy of that.,i
"And then, prior to that, like, well, during the COVID era, next to nothing, Okay, And then prior to that, maybe 30 properties a year, Okay, Maybe, Maybe, Yeah.",i
So what has been the difference?,i
"Like, what's been the difference from?",i
"like 19, or just 19, 2000, I don't know- 18 between 2022?",i
"Like, what's the difference?",i
"Do you have more staff, Some of the process improved, better staff and process improvements that we have made?",i
"Okay, And granted, it's not perfect and it still is long, but it's way shorter than it has ever been and which has allowed us to actually do that.",i
"Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Okay, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Yeah, Okay, Okay.",i
"So, some to the URA, some to the land bank and some to, but we've significantly- It's like a third, a third, a third, so- Okay, Okay.",i
"So that's a major increase, So that's good, Okay.",i
"So now- and this is my last question, so just so I'm clear, so we're this.",i
this bill is to refund the person their money.,i
"Yes, And from your perspective, this is not something that we do.",i
"Once it reaches, once a sale goes past council approval and the city starts to expend the money to quiet the title and to complete the sale, then anything, if you were to back out of the deal after that point in time, then the city sees it as a forfeit and we keep the hand money in order to account for any holding costs or attorney costs that we would have incurred during that time.",i
And is that clear to the buyer up front before they?,i
"It's in the proposal, Okay, And it's in.",i
I think it's posted even online.,i
There's a standard sale process and I believe it's actually there as part of the standard sale process.,i
"Okay, And so, with this particular buyer, I mean, was there like some?",i
"well, I guess I don't know if it was like.",i
"I mean, I get it If it was someone who was confused or thought that it would be a great idea, I mean, you know that happens- like, oh, that'd be a great idea, Let's do it, It'll be easy, you know.",i
"And then it's like, oh my gosh, it's not.",i
it's actually not as easy as I thought it would be.,i
"And but we're worried of like sort of like a slippery slope, like if we do it for this person, Then we would, then we open the door, Then it would be like precedence to do it for other people.",i
That's right.,i
"And a concern is, if you allow even to transfer that money from you know this property to another one that they were wanting to purchase, what if they fell through on that purchase and then they wanted to do it to another one?",i
"Like, where does?",i
where's the line in the sand that we draw?,i
Do you see what I'm saying?,i
"And is the reason that we is, the reason that we take that down payment?",i
"is it because we're about to dive in and like spend a bunch of money to like quiet this title And so we don't want people just be like: oh yeah, I'll take it, sign me up.",i
"And then we spend all this money to quiet the title And then they're like: oh yeah, nevermind, Sorry, I'm not really interested.",i
So that's what this is about.,i
It's like.,i
"it's like you know, you have a catering business and someone's like: I'm having a big party And you're like, okay, great, Give us whatever Cause if we buy a bunch of stuff and spend a bunch of money and then you back out And they're at least compensated for what they put out.",i
