sentence,classification
"First of all, thank you, President and council members, for letting Reading is Fundamental Pittsburgh be a part of this amazing event.",i
"Our mission at RIF is to ensure that all kids in the Pittsburgh community have access to books and resources to motivate them to develop a love of reading, and in the past year we provided almost eighty four thousand books on the north side, the south side, the Hill District.",i
"Fazon, or Pittsburgh Faison, is the school at Homewood that we serve in Hazelwood and in Wilkinsburg, And my work specifically is in our mentoring program Rip- Everybody Wins, where we match volunteers to read for an hour a week with kids at Pittsburgh Faison in Homewood, at Pittsburgh Weill in the Hill District and at Pittsburgh King on the north side, as well as Manchester Academic Charter School.",i
So today I would just like to reiterate the importance of having adults in kids' lives and the power that reading has to let kids learn more about themselves and learn more about the world.,i
We like to say that books provide windows and mirrors for kids.,i
"They can see themselves reflected and their specialness and their importance shown on the page, while also learning about others in our community and in our community.",i
"So if you would be interested in reading for an hour a week with kids in one of our schools, we have over 200 mentors this year.",i
I would love to serve more kids next year.,i
"You can visit our website, riffpittsburghorg slash mentoring or you can come see me or my colleague Corey and we'll give you a card.",i
But thank you for letting us be part of this event and thank you to everyone in this room for what you do to support the kids here in Pittsburgh.,i
"Thank you, Thank you, Thank you, Thank you.",i
Thank you very much.,i
"While Director Barker is preparing for the litany and the litany first of all, did we pass one out?",i
We have someone from Carnegie Library.,i
"Yes, Carnegie, Yes, Hi, my name is John.",i
I'm going to bring this down to me.,i
"I had something prepared, but I'm not going to say it.",i
I just want to thank you for having us here.,i
We launched Cart Fest.,i
"Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes.",i
Thank you.,i
"Thank you very much, Carnegie.",i
Thank you.,i
"While Director Barker is preparing the litany, all the gentlemen, do you have one, A copy of the litany?",i
This is a litany.,i
This is our public commitment to our children and to our families.,i
"But while he's preparing, it is a call and response.",i
There are three sections.,i
"There are three sections individual read and then, of course, we will read the response, but I also want to take a second to tell you what's going to happen when we finish, immediately when this is over, downstairs, outside, set up, set up in the portico, as we have some tables, we have lunches and I believe the t-shirts from not mistaken will be there, okay, and we will also have our friends from a HN.",i
our focus is also men.,i
"you know, if, unless our arm is falling off, we don't go to the doctors, okay, and so we have someone down there checking all your vitals, your blood pressure and you a1c and all that stuff.",i
make sure you go past.,i
"that table takes maybe ten minutes, okay, guys, and so we got to make sure that we take care of that.",i
"also is miss candy here, who is our liaison from the board.",i
every year we organize.,i
the men that you see in blue shirts are part of the steering committee.,i
"we meet and we have a lot of people that are in the room that are in the room and we have a lot of people that are in the room and we have six, seven times a year to put together a theme to put to focus on this event.",i
"and thanks to the administration and to you, mr president of the school board.",i
"we're always assigned a liaison and this year, for the last three years, we've had Erica Gandhi.",i
"miss Gandhi, I know you're running around, if you could just stand and just wave your hand, that's all.",i
"we just want to say thank you, that there's the other.",i
"we just we just want to say thank you, and when you go you will see miss gandy.",i
I think she'll have some tickets.,i
you can get a ticket.,i
they're gonna be.,i
"we're gonna be raffling off- I think it's a basket of sporting Pittsburgh's, a signed, signed football from, still from the Steelers.",i
"yes, sir, miss gandhi, put them tickets aside.",i
"all right, we're tough, so make sure that you see her to get your name in here, okay.",i
"so, Dwayne, if you explain it to us and bring your speakers in, we'll see you in a minute, All righty.",i
so the presenters are going to read the presenter portion when they're done.,i
"in unison, members will try our best to stay on on cue.",i
we are going to be the ones to read the members piece.,i
"I would like for all three of the amazing men to come down and get us started with this litany that was actually written by dr Walters, the superintendent for Pittsburgh Public Schools.",i
"Excuse me, Dwayne, if we can just give me a second before that, I have to apologize.",i
I don't know.,i
the honorable mayor was right here in the in the crowd.,i
"please, mayor, say some words.",i
I know you got around.,i
"before I begin, can we give mark Brindley a round of applause for the number of years that he's done this program?",i
I just first and foremost want to thank Mark for the hard work and dedication that he's put in every year to connect fathers and fathers.,i
I just first and foremost want to thank Mark for the hard work and dedication that he's put in every year to connect fathers and fathers to the public schools.,i
I think it's amazing and I'm gonna tell you something: there's nothing like a father.,i
there's nothing like a father- and I tell people this all the time- is that one of the greatest gifts in life is to be able to grow up with a father.,i
"As someone who grew up with my father wasn't in my life like that, I know how the importance of what it means to be a father in my children's life, particularly with my daughters.",i
"I can see the smiles on my daughter's faces every single day, knowing that they have a father.",i
"that's there, My father's soul and sweet heart, and it's because of that that it's about each opportunity I get to figure out whether or not it really isn't too têm neck tight.",i
"it being as exhausted as it has made me there and having to put up with one thing: family is one of the jadi am Pulisza beaten of being a father, of being a father.",i
there's no greater joy in my life is being one.,i
"When I see all these men right here standing together talking about the support, civility- and I know it was just a great place- the support, the said thin in us, you.",i
but what's really going ö telling you to come together like this?,i
we can say: you invited our children first So you could face me with it.,i
"you can plan too, but we do believe, I'm positive, that one of these things I dont want to get você vull to our kids.",i
so i want to thank mark for having this and i'm going to tell you it's beautiful to me and i want to make sure i give him a shout out.,i
"it's not behind, but it's beside.",i
"every great man is a great woman and the day i see the aka's here and supportive of take your father to school and i think that's amazing when you see that level of unity- and i just want to make sure i recognize them as i stand here, because, at the end of the day, unity is what builds community- and for us to be here right now to talk about our children and how we play an active role in our children's life.",i
i just want to say thank you to the aka's and mark brindley: keep doing what you're doing.,i
"god bless, thank you.",i
"thank you, mayor.",i
"and you know, sometimes, mayor, you gotta holler.",i
sometimes he was standing there all the time and i wanted to get him in and out.,i
"so, but we appreciate you.",i
thank you so much and we all appreciate you and we all appreciate you and we all appreciate you and we appreciate you.,i
thank you so much and we all appreciate you.,i
thank you so much.,i
and we all also recognize the aka's.,i
"i understand their conference, or a convention or conference that they're having, is going to be starting real soon, tomorrow, here in pittsburgh.",i
so we are honored again to those beautiful young ladies in the pink and green.,i
that's how you can identify.,i
"wait, let me just take a sec.",i
"can y'all just stand up, because my wife would kill me if i don't.",i
please?,i
you know my wife's aka.,i
"please would y'all just stand, thank y'all, thank you, thank you.",i
thank you for the support you.,i
thank you.,i
thank you for the support.,i
"okay, director barker.",i
"yes, sir, all right, brother, mike, you ready?",i
"yeah, all right, let's get it started.",i
we dedicate the 2025 of a take your father school day to the involvement of fathers and father.,i
we dedicate the 2025 of a take your father school day to the involvement of fathers and father figures in the education of their children and to the collaborative support of educators and other stakeholders.,i
"we rejoice that fathers and father figures, students, educators and supporters are similar under the banner of the pittsburgh public schools: take a father to school day.",i
"we ask for guidance, as we will in our development concerning the importance and impact of fathers and father figures and our need to embrace relationships and resources for the benefit of your children.",i
and we love and We cherish dearly do the honor of our community agoréal the history of our device body.,i
"u mooi echo zurück of our community, and to all of those who share responsibility in raising our youth, to the administrators, teachers, parents and community leaders who are responsible for the equality of education for our children.",i
"Now we dedicate the 2025 Pittsburgh Public Schools: Take a Father to School Day To overcome the low levels of performance and the need for us to visualize, actualize, internalize, conceptualize and realize that we are a critical piece in our child's physical, social and emotional development.",i
"We raise our collective voices with a sense of urgency to say, feel, believe and show to all that we are here, we are proud and we are committed To the call for new and extended public education.",i
"We plant our commitment to the same goals as fathers and father figures in our education and the plan is to have a state of independent, independent initiatives in education where fathers and father figures can regularly be seen, heard and represented throughout the educational experience.",i
"We plant our commitment as fathers and father figures to do what is necessary for ourselves, our children and our future, And we understand that some things we must do for ourselves but ultimately are for ourselves.",i
"Thank you, Thank you.",i
"We, the benefactors of many who share the blood and life here to bring us to this point and are grateful for this opportunity, we dedicate ourselves to our children and future by continuing to serve as father and representation of fathers and father figures in Pittsburgh.",i
We acknowledge that both our presence and presence speak volumes to our children and pledge to finish this to make a difference in the life of our child.,i
"At this time, we would like for the Chief of Staff, Lamar Blackwell, to come up and close us out.",i
"brother, While the Chief of Staff is here preparing one thing we want to do just finally, we think it's important that we say our commitment to children.",i
we just was able to complete that.,i
"Secondly, we always end in our chair, so right after the Chief of Staff shares his comments, we're going to do our father's chair and then we'll see everyone downstairs.",i
"Thank you, Mr Barker.",i
"On behalf of Pittsburgh Public Schools and the community, we thank you for your support.",i
"In the name of the school, we would like to sincerely thank the City of Pittsburgh for officially declaring April 22: 2025: Take a Father to School Day in the City of Pittsburgh.",i
This declaration is so much more than an allocation of representation for our school district.,i
"It is a reminder that fathers in the City of Pittsburgh, specifically in Pittsburgh Public Schools, do show up and are genuinely committed and invested in the academic achievement of our students.",i
We thank the forefathers who were committed enough to displaying the fact that fathers are actually engaged in their child's lives.,i
"We thank the City of Pittsburgh for bringing light to a life-changing initiative and, most importantly, on behalf of Pittsburgh Public Schools, we want to thank all the fathers who consistently show up and have made this day possible for 27 years.",i
I think that deserves a round of applause.,i
"On behalf of Pittsburgh Public Schools, I declare that Take a Father to School Day will live on forever.",i
Thank you all.,i
"Thank you, Chief of Staff Blackwell.",i
We really appreciate it.,i
"Now, Mr President, he's going to come and share some things, but before Mr President comes, I want to take a moment to say thank you to you and to members of Council for opening the doors each and every year for us.",i
"We know it matters, We know it makes a difference, and we know, when you go into our schools, we see men who are volunteering in the PTAs, PTOs, PSCCs, and they're doing things.",i
And so how do you do it?,i
"Just one step at a time, And so we appreciate you guys, members of Council, for allowing us to come here.",i
"Mr President, Thank you.",i
"This will take all two seconds, but we'll have to read the end of it so we can formally dedicate the 20 seconds Now.",i
"therefore, it be resolved that the Council of the City of Pittsburgh, the City of Pittsburgh and the City of Pittsburgh, all members of Council, the Council of the City of Pittsburgh does hereby commend the thousands who participate and urge the entire Pittsburgh school district community to actively participate in this worthwhile event, and be it further resolved that the Council of the City of Pittsburgh does hereby declare April 22, 2025 to be Take a Father to School Day in the City of Pittsburgh.",i
"So, moved Second, All those in favor say aye, Aye, Congratulations, Thank you, Thank you.",i
"And in closing, we want to remember the history of the PTA.",i
Thank you.,i
We're just going to have to make sure that our – we used this day as a kickoff to get folks excited.,i
"The next day, the most important day, is next month.",i
"Please try to make it available to one of your, make yourself available to one of the schools And over the summer, we're focusing on reading.",i
"Spend the time in the libraries, Take a child and read, read and read.",i
Now we're going to close with our hands and our fist ball.,i
"Before we close, I saw Councilman Moore wants to give a comment.",i
"Yes, sir, Yes, sir, Yes, I do.",i
I just quickly.,i
"I want to thank everyone here so much for being here, Also the women of Alpha, Kappa, Alpha.",i
"So just today, I you know, while you're all still here, because I know you know so.",i
"today we're celebrating Take a Father to School Day, We're celebrating the women of Alpha Kappa Alpha, We are celebrating Fair Housing Month And we are celebrating National Community Development Week.",i
"And just for the folks in this room, I want briefly to acknowledge some mailers that came to many of your mailboxes over the Easter weekend.",i
"Campaigns are campaigns, Politics is politics, So I'm not going to comment on that.",i
"However, the implications that 30 years of purposeful neglect and disinvestment in Black communities is the fault or legacy of our first Black mayor is appalling.",i
Attacking the mayor's wife is appalling.,i
"Saying that contracts that were awarded to two Black women led organizations that went through the legal, fully vetted RFP process were somehow not transparent or somehow sweetheart deals feeds into the anti-black, anti-inclusion and anti-DEI rhetoric that we are seeing all over the country.",i
It's shameful and I am embarrassed and I feel the need to apologize on behalf of our entire city government.,i
"to be quite frank, But I do wanna say that, given this room, all of you, you all worked so hard, you all worked so hard for the betterment of your communities and I want you to know that Pittsburgh sees that, Despite of what's in the media, despite of nasty mailers like this.",i
there are so many people around this city.,i
"We see that we recognize that, And so I just wanna thank you all so much for being here today and for all the amazing work that you do.",i
"thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you for our chair, But I gotta tell you, councilwoman, as young folks would say, I felt that Thank you.",i
All.,i
"right, we're gonna hold just our fist ball in here to show our determination for educating our children and volunteering, and we're just gonna say our cheer.",i
"When I say Pittsburgh, you say fathers, And each time you go louder, we do it three times: Pittsburgh Fathers, Pittsburgh Fathers, Pittsburgh Fathers.",i
"Thank you, members of council, Thank you, Thank you.",i
Can you guys get in closer together?,i
"Come up, you can come to the front here.",i
"I'm short, I'm gonna get everybody into.",i
"No, I'm gonna take over.",i
"hey, councilwoman, come with me.",i
"sis, please come with me.",i
"nobody, we're gonna, we're gonna, we're gonna, we're gonna, we're gonna.",i
we would like to present to the first person who arrived the signed autograph wall number 51.,i
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you.",i
Alpha Sorority Incorporated.,b
please come forward.,i
"As they come forward, I'll just give a brief remark.",i
"We're here to acknowledge the fact that they do have a regional conference that begins this week, but we also want to acknowledge the long history that the AKAs have, both nationally and locally.",i
"and I will also tell you that I have a little bit of firsthand insight and knowledge to the planning of this conference and all the work that has gone into planning this conference, so I know it's going to be very excellent for all those that attend.",i
"I believe they're supposed to expect over 5,000 members to come into the city of Pittsburgh this week.",i
"Whereas Alpha, Kappa, Alpha Sorority Incorporated, AKA, established on Wednesday January 15th in 1908 at Howard University in Minor Hall, holds the distinction of being the oldest Greek letter organizations, founded by African American college educated women And with remarkable membership of over 365,000 women across 12 countries.",i
"AKA is celebrated as America's premier Greek letter organization for African American women, fostering leadership, service and sisterhood within communities worldwide.",i
"Whereas the Alpha- Alpha Omega chapter of AKA, chartered in 1927, was proudly served the greater Pittsburgh area for nearly a century, demonstrating a commitment to excellence through various community initiatives, mentorship programs and partnerships with local organizations, including Pittsburgh Public Schools, UPMC, Mercy McGee and the Greater Pittsburgh Food Bank.",i
"Whereas Gwendolyn Kirtley, Great Lakes Regional Director, leads the Alpha Kappa- Alpha Sorority Incorporated 94th Great Lakes Regional Conference- Greater Together- an artful tapestry of service and sisterhood in Pittsburgh, at the David L Lawrence Convention Center, from April 24th through the 27th- 2020, 2020, 2020- gathering over 7000 members from 99 chapters, celebrating 100 years of impactful service within the Great Lakes region.",i
"Whereas this momentous conference serves as a unique opportunity for personal and professional development for its participants, reinforcing the mission of AKA in cultivating a spirit of community engagement, leadership and empowerment among its members.",i
"Whereas Danette Anthony Reid, the international president of the Alpha- Alpha- Alpha Sorority Incorporated, the president and CEO of Alpha Kappa- Alpha Sorority Incorporated, exemplifies exemplary leadership and dedication to the sorority's foundational tenets, inspiring members to promote high scholastic and ethical standards, friendship and service to community.",i
"Whereas the commitment of Alpha Kappa- Alpha Sorority Incorporated to initiatives that empower families, builds economic wealth, enhance the environment, advocate for social justice and uplift the local community resonates deeply within the values of the city of Pittsburgh.",i
"And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 24th, to be Alpha Kappa- Alpha Sorority Incorporated Day in the city of Pittsburgh.",i
May we have a motion So moved.,i
"Second, All those in favor say aye, Aye.",i
Congratulations To President LaValle and to City Council.,i
"ladies and gentlemen, good morning.",i
My name is Toni Kendrick.,i
I'm the 20th.,i
I served as the 28th Great Lakes Regional Director right from Pittsburgh.,i
I was excited.,i
"I'm here this morning to represent our Great Lakes Regional Director, Miss Gwendolyn L Kirkley, who represents over 7,000 women in the states of Michigan, Western New York, Ohio, West Virginia and Western Pennsylvania.",i
We're excited.,i
"in about 48 hours There'll be over 2,600 women and guests and their pink and green converging on our beautiful city.",i
"Our General Chairman, Miss Colleen McMullen, has worked hard.",i
Our local president has supported Miss Peggy Harris and the ladies that you see before you.,i
"It is an honor that we will not only be wearing pink but also wearing white, And I'm so grateful to you, Miss.",i
"We will be wearing pink and green, but we will also be providing service to families and this local community.",i
It is truly an honor and a privilege.,i
"President DeValle, And I'd like to say your better half- is also working hard too.",i
"Again, we thank you very much for this honor And I will be presenting this to our Regional Director.",i
"Again, good morning and thank you.",i
"Good morning and thank you, President DeValle and Council assembled.",i
"It has just been an amazing year in our planning, in preparation for the 94th Great Lakes Regional Conference.",i
"here in my home city of Pittsburgh, We are delighted to as our 28th Regional Director shared to serve this community.",i
"That is something that we, as women, as members of Alpha Kappa, Alpha Sorority Incorporated, do is serve our community.",i
"Again, thank you, Council, Thank you, President DeValle, And thank you to all of our members of Alpha Kappa, Alpha Sorority who will be joining us this weekend in the city of Pittsburgh for our 94th Great Lakes Regional Conference.",i
"Good morning, Good morning to the Councilman and to the President DeValle for inviting us for this important moment.",i
"Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank youpg President Ellison, what is your message to all?",i
"and so, on behalf of the members of the Pittsburgh chapter and along with our regional past director, as well as the general chairman, I thank you for this opportunity to welcome us and we look forward to showcasing the wonderfulness of the city of Pittsburgh.",i
"thank you, Thank you.",i
Thank you.,i
"Yes, We used to have tissues.",i
I said when we first got elected- Here's some tissue When we first got elected.,i
"I don't know how long these have been in here, but Yeah, it's solid.",i
These look a little bit more.,i
I got one more Those here for National Community Development Week.,b
will you please come forward?,i
Thank you.,i
"So, first and foremost, I'll simply say, on behalf of the city of Pittsburgh and all our residents, we're grateful for all the work that you all do, day in and day out.",i
so we just want to acknowledge that you're equally important to all the success that occurs within our city.,i
so thank you.,i
Whereas the week of April 21st through 25th 2025 has been designated as National Community Development Week to celebrate the community development week.,i
to celebrate the community development week.,i
to celebrate the community development week.,i
to celebrate the community development week.,i
to celebrate the community development week.,i
to celebrate the community development block grant programs.,i
"Whereas the CDBG programs provide annual funding and flexibility to local communities to provide decent, safe and affordable housing, a suitable living environment and economic opportunities to low and moderate income people.",i
"Whereas, over the past three years, the city of Pittsburgh has received over 40.",i
"5 million in CDBG funds and has funded a variety of projects that have directly benefited our citizens and neighborhoods, Whereas for over 100 years the Urban League has been providing vital community services, such as housing counseling and employment training, to Pittsburgh residents, including nearly 1,000 city residents directly benefiting from CDBG dollars over the last three years.",i
"And now, therefore, be it resolved that the city of Pittsburgh designates the week of April 21st through 25th as National Community Development Week, in support of this valuable program that has made tremendous contributions to the viability of the housing stock, infrastructure, public services and the economic wellbeing of our city.",i
And be it further resolved that the Council of the City of Pittsburgh urges the United States Congress to provide the city with the necessary resources to ensure that the city of Pittsburgh is a safe and affordable place for all citizens.,i
And be it further resolved that the Council of the City of Pittsburgh urges the United States Congress to provide the necessary resources to all citizens.,i
"And be it further resolved that the Council of the City of Pittsburgh urges the United States Congress to provide the city with the necessary resources to ensure that the city of Pittsburgh is a safe and affordable place for all citizens, And the Trump administration to recognize the outstanding work being done locally and nationally with CDBG funding by supporting continued and increased funding for the program in fiscal year 2026.",i
"Do we have a motion to approve, So moved.",i
"Second, All those in favor say aye, Aye, Congratulations, thank you, Thank you.",i
my name is Kelly Russell.,i
"I'm the assistant director for this department, To just build on some of the councilman's work or, excuse me, council president's work.",i
National Community Development Week highlights the significance of HUD funding.,i
The Community Development Department is grateful for organizations like the Urban League of Greater Pittsburgh and the countless other nonprofits that our city council provides funding to.,i
We wanna say thank you and extend a thanks to the city council.,i
"I know at times we harass or hound you for your public service or your public service grant decisions, but there's a reason why.",i
So organizations like the Urban League and the other nonprofits can provide services on behalf of the city.,i
"Lastly, I would like to thank the community development team.",i
Your efforts are what make this department great.,i
You are what makes this department exceptional And I thank you and I want you to know you are all valued.,i
"And before I turn it over, a few years ago we were here a member of our team, Richard Morris, who passed.",i
Richard Malik Morris had passed away.,i
"You know how they say: there's six degrees of separation, but three in Pittsburgh.",i
Malik came from great cloth.,i
"He had great parents and I'm happy to say that his father, Richard Morris, is here to represent the Urban League today.",i
"So, Richard, please take your seat.",i
Thank you.,i
"On behalf of the Urban League, we wanna thank you for all the support.",i
Thank you for all the support that you have provided.,i
"That support allows us to advocate for people who are being evicted, people who are facing mortgage foreclosure, people who need a new chance in life and, most importantly, that it builds on the connective tissue of our community.",i
"We realize that we cannot do anything without being sure that we look out for each other, And these funds, these programs do that.",i
So thank you.,i
"And also, my son worked in this department.",i
"It was a blessing to him and a joy to his family, because his colleagues have shown him love and have honored his memory.",i
So thank you very much.,i
"Thank you, Thank you right there to the ourselves and to the Dan of us.",i
And next switched to flavor addressed homuty.,i
"going through each ring: any, when you attack, you'll see your name drops.",i
National Litterpered Veterans LemonurRain And Councilwoman Gross.,i
"Oh, thank you.",i
It's a momentous week in the city of Pittsburgh.,i
We have lots to celebrate.,i
Can I have everyone from Fair Housing up for Fair Housing Month?,b
Appreciate it?,i
"We have so much good work and so many important issues in front of Council all at the same time, especially in this time, I think, nationally, where we are kind of feeling, I think, our responsibility as local governments to doing what we, as our jurisdiction, and our responsibility to do in the jurisdictions that we represent.",i
"So I'm going to this is one that we give annually, but it's really important to remind us of the importance of these issues as we work through them.",i
"Whereas April 11th 2025 marks the 57th anniversary of the passage of the US Fair Housing Act, Title VIII of the Civil Rights Act of 1968, which, as amended, pronounces a national policy mandating fair housing opportunities for all citizens, regardless of race, color, religion, sex, national origin, disability or familial status, And whereas on December 16th 1958, Mayor David Lawrence signed the Fair Housing Practices Ordinance into effect which, as amended, additionally prohibits discrimination in housing on the basis of ancestry, gender identity, gender expression, place of birth, sexual orientation, status as a survivor and the right to housing.",i
And so we're going to be doing that.,i
"Thank you, DENISE GASH.",i
IEE L OFisticayıt.,i
"I can make one suggestion, And I think Hillary and I, chorus, are going to be saying this: but the community should be swaying in favor of fair housing, roz-ezingist TZT and ability to access access, whether it be custody, orøre years and the pract Czech language, Because we are all human beings And and we don't want criminal export or career hunting or slavery, and ending housing inequity for its citizens.",i
"Whereas the international community, in 2022 and 2023, issued recommendations to public officials in the US calling for improved efforts to address systemic discrimination that perpetuates poverty and homelessness and disproportionately harms racialized and other vulnerable populations.",i
"Whereas the city, through its mayor and council, reaffirmed the commitment to ensuring housing as a human right through its policy, implementation and enforcement.",i
"Now, therefore, be it resolved that the council of the city of Pittsburgh encourages all agencies, institutions and individuals, public and private, in the city of Pittsburgh, to abide by the letter and the spirit of the fair housing law in pursuit of expanding opportunities and improving the quality of life for all.",i
"Be it further resolved that the council of the city of Pittsburgh commits to make every effort to support the citizens of Pittsburgh and the departments, boards, offices and authorities of the city of Pittsburgh in their fight to end discrimination in housing and, affirmatively, further fair housing.",i
Be it further resolved that the council of the city of Pittsburgh does hereby proclaim April 2025 as fair housing month in the city of Pittsburgh.,i
May we have a motion So moved.,i
Is there a second Second?,i
"All those in favor say aye, Aye, Aye, Congratulations.",i
"Thank you, Appreciate it.",i
I will turn it over to our leaders.,i
"Thank you, Appreciate it.",i
And there's the information.,i
"Good morning, We are still morning.",i
"Yes, Thank you all for hanging out.",i
We really appreciate the opportunity to come before council every year and commemorate fair housing month.,i
"It is more important than ever, considering the state of fair housing across the country.",i
"We don't take for granted that we as a commission are still in good standing and able to do the work that we do every day, because you all put your faith in us to do that.",i
So thank you.,i
And with me today I have our commission staff.,i
"I want to thank them as well, because they come to the table every day ready to fight for fair housing.",i
"They it's not just a month, It's not just a day, It's every day with my staff.",i
